,,,Volumen Facturado (m3) - 2210 - Acumulado,,,,,,,,,,,,,,,,,
8,"8,008",LA CRUZ,186.2,226.42,220.5,108.55,,,35,EMAPAB S.R.L.,"1,148","1,173","1,198",606,,,0.18619595,0.22642323,0.22050451,0.10855161
8,"8,009",ZORRITOS,264.59,301.05,316.37,163.39,,,36,SEMAPA BARRANCA S.A.,"3,772","3,505","3,514","1,778",,,0.26458602,0.30104749,0.31637301,0.16339093
8,"8,010",CANOAS DE PUNTA SAL,113.58,121.74,228.92,107.58,,,37,EMAPICA S.A.,"13,436","13,557","13,774","6,991",,,0.11358257,0.12174498,0.22891674,0.1075815
8,"8,011",ZARUMILLA,550.71,519.9,508.35,261.63,,,38,EMPSSAPAL S.A.,"1,800","1,966","2,086","1,043",,,0.55070575,0.51989775,0.5083502,0.261627
8,"8,012",AGUAS VERDES,387.11,384.29,332.65,111.05,,,39,EPS SIERRA CENTRAL S.A.,"1,790","1,833","2,007","1,182",,,0.38711019,0.38429295,0.33265105,0.111048
8,"8,013",PAPAYAL,107.07,114.2,119.79,57.83,,,40,EPS NOR PUNO S.A.,"1,242","1,221",961,443,,,0.10706697,0.11419671,0.119788,0.057831
8,,POCITOS,0,0,0,0,,,41,SEDAJULIACA S.A.,"8,590","8,810","8,913","4,456",,,0,0,0,0
8,"8,014",MATAPALO,16.55,18.43,20.51,11.61,,,42,EPS MANTARO S.A.,"3,708","3,821","3,949","2,145",,,0.01655219,0.018433,0.02051,0.011608
9,"9,001",CERRO DE PASCO,"4,172.96","1,673.32","1,240.62",606.41,,,43,EMUSAP ABANCAY S.A.C.,"2,741","2,632","2,918","1,437",,,4.172956,1.6733225,1.24062,0.606408
9,,VICCO,0,0,0,0,,,44,EMSAP CHANKA S.C.R.L.,"1,075","1,108","1,143",561,,,0,0,0,0
9,,HUARIACA,0,0,0,0,,,45,EPS MARAÑON S.R.L.,"2,876","3,411","3,478","1,941",,,0,0,0,0
10,"10,001",PISCO,"2,841.07","3,082.11","3,188.88","1,621.62",,,46,SEDAM HUANCAYO S.A.,"19,495","19,445","19,619","9,331",,,2.84107,3.082109,3.188884,1.621616
