,,,Conexiones Activas de agua potable (Conex) - 2120,,,,,,,,,,,
10,,TUPAC AMARU INCA,,,,,,,50,EMSAPA YAULI S.R.L.,"2,853","2,923","2,939","2,929"
10,"10,003",LA VILLA TUPAC AMARU,"3,385","3,442","3,584","3,596",,,51,SEDAPAR S.R.L.,"5,260","5,047","5,349","5,349"
11,"11,001",CAJAMARCA,"32,801","34,109","34,936","35,036",,,,,,,,
11,"11,002",CONTUMAZA,906,"1,006","1,026","1,030",,,,,,,,
11,"11,003",SAN MIGUEL,"1,152","1,261","1,317","1,317",,,,,,,,
12,"12,001",TACNA,"73,902","75,256","76,693","77,781",,,,,,,,
12,"12,002",PACHIA,244,272,282,294,,,,,,,,
12,"12,003",LOCUMBA,301,399,396,403,,,,,,,,
13,"13,001",NASCA,"7,158","7,207","7,312","7,322",,,,,,,,
14,"14,001",CHIMBOTE,"68,619","70,788","72,061","72,402",,,,,,,,
14,"14,002",CASMA,"6,053","6,198","6,267","6,313",,,,,,,,
14,"14,003",HUARMEY,"4,415","4,707","4,899","5,004",,,,,,,,
15,"15,001",HUAMANGA,"41,500","43,391","44,603","45,229",,,,,,,,
15,"15,002",HUANTA,"7,248","7,558","7,748","7,844",,,,,,,,
16,"16,001",TARAPOTO,"27,463","28,156","29,515","29,541",,,,,,,,
16,,JUANJUI,,,,,,,,,,,,
16,,RIOJA,,,,,,,,,,,,
16,"16,002",SAPOSOA,"1,872","1,916","1,952","1,965",,,,,,,,
16,"16,003",LAMAS,"2,744","2,875","3,070","3,132",,,,,,,,
16,"16,004",SAN JOSE DE SISA,"1,668","1,921","2,061","2,087",,,,,,,,
16,,PICOTA,,,,,,,,,,,,
16,"16,005",BELLAVISTA,"2,576","2,639","2,788","2,843",,,,,,,,
16,,TOCACHE,,,,,,,,,,,,
17,"17,001",PUERTO MALDONADO,"13,961","14,564","15,400","15,954",,,,,,,,
18,"18,001",CHINCHA ALTA,"14,433","14,896","15,044","15,052",,,,,,,,
18,"18,002",TAMBO DE MORA,799,849,901,912,,,,,,,,
18,,EL CARMEN - NO ACTIVO,,,,,,,,,,,,
18,"18,003",CHINCHA BAJA,661,728,746,759,,,,,,,,
18,"18,004",PUEBLO NUEVO,"8,843","8,964","9,126","9,157",,,,,,,,
18,"18,005",GROCIO PRADO,"3,267","3,383","3,434","3,295",,,,,,,,
18,"18,006",SUNAMPE,"2,657","2,728","2,928","2,987",,,,,,,,
