,,,Conexiones Totales de Alcantarillado (Conex) - 2130,,,,,,,,,,,
10,,TUPAC AMARU INCA,,,,,,,50,EMSAPA YAULI S.R.L.,"2,653","2,688","2,704","2,697"
10,"10,003",LA VILLA TUPAC AMARU,"4,227","3,969","4,107","3,753",,,51,SEDAPAR S.R.L.,"3,181","3,247","3,269","3,269"
11,"11,001",CAJAMARCA,"36,678","38,009","38,923","39,168",,,,,,,,
11,"11,002",CONTUMAZA,888,"1,008","1,031","1,046",,,,,,,,
11,"11,003",SAN MIGUEL,"1,094","1,197","1,271","1,300",,,,,,,,
12,"12,001",TACNA,"86,698","87,854","89,650","90,306",,,,,,,,
12,"12,002",PACHIA,190,211,261,266,,,,,,,,
12,"12,003",LOCUMBA,279,425,427,429,,,,,,,,
13,"13,001",NASCA,"9,533","10,089","10,690","10,521",,,,,,,,
14,"14,001",CHIMBOTE,"72,191","75,386","76,478","76,498",,,,,,,,
14,"14,002",CASMA,"5,674","5,764","5,984","6,192",,,,,,,,
14,"14,003",HUARMEY,"4,178","4,289","4,370","4,421",,,,,,,,
15,"15,001",HUAMANGA,"39,694","42,352","43,379","43,981",,,,,,,,
15,"15,002",HUANTA,"6,729","7,058","7,224","7,323",,,,,,,,
16,"16,001",TARAPOTO,"25,393","25,997","27,463","27,760",,,,,,,,
16,,JUANJUI,,,,,,,,,,,,
16,,RIOJA,,,,,,,,,,,,
16,"16,002",SAPOSOA,"1,932","1,994","2,048","2,064",,,,,,,,
16,"16,003",LAMAS,"2,252","2,463","2,563","2,587",,,,,,,,
16,"16,004",SAN JOSE DE SISA,"1,127","1,200","1,391","1,398",,,,,,,,
16,,PICOTA,,,,,,,,,,,,
16,"16,005",BELLAVISTA,"1,904","1,950","2,046","2,088",,,,,,,,
16,,TOCACHE,,,,,,,,,,,,
17,"17,001",PUERTO MALDONADO,"7,634","8,290","8,659","9,288",,,,,,,,
18,"18,001",CHINCHA ALTA,"18,042","18,437","18,834","19,011",,,,,,,,
18,"18,002",TAMBO DE MORA,"1,051","1,077","1,095","1,104",,,,,,,,
18,,EL CARMEN - NO ACTIVO,,,,,,,,,,,,
18,"18,003",CHINCHA BAJA,783,824,866,879,,,,,,,,
18,"18,004",PUEBLO NUEVO,"10,601","10,773","10,941","11,176",,,,,,,,
18,"18,005",GROCIO PRADO,"3,213","3,384","3,576","3,615",,,,,,,,
18,"18,006",SUNAMPE,"2,911","3,018","3,210","3,296",,,,,,,,
18,"18,007",ALTO LARAN,414,,475,494,,,,,,,,
19,"19,001",LA MERCED,"4,981","5,275","5,508","5,582",,,,,,,,
19,"19,002",SAN RAMON,"3,104","3,216","3,298","3,343",,,,,,,,
19,,VITOC,,,,,,,,,,,,
19,,PERENE,,,,,,,,,,,,
19,"19,003",PICHANAKI,"4,241","4,343","4,536","4,574",,,,,,,,
19,,SANTA ROSA,,,,,,,,,,,,
19,"19,004",OXAPAMPA,"1,633","1,685","1,749","1,772",,,,,,,,
19,"19,005",VILLA RICA,593,638,645,645,,,,,,,,
19,"19,006",SATIPO,"3,164","3,364","3,674","3,750",,,,,,,,
19,,PANGOA,,,,,,,,,,,,
19,,MAZAMARI,,,,,,,,,,,,
20,"20,001",MOYOBAMBA,"9,010","9,278","9,572","9,724",,,,,,,,
20,,SORITOR,,,,,,,,,,,,
21,"21,001",HUANCAVELICA,"7,569","7,827","8,548","8,804",,,,,,,,
21,,IZCUCHACA,,,,,,,,,,,,
21,,ACOBAMBA,,,,,,,,,,,,
21,,CASTROVIRREYNA,,,,,,,,,,,,
22,"22,001",MOQUEGUA,"18,771","19,254","20,463","20,656",,,,,,,,
23,"23,001",YUNGUYO,"3,928","4,096","4,273","4,339",,,,,,,,
24,"24,001",HUARAL,"14,505","12,424","14,943","15,568",,,,,,,,
25,"25,001",SAYAN,"1,440","1,554","1,635","1,670",,,,,,,,
25,"25,002",VEGUETA,"1,285",,"1,291","1,291",,,,,,,,
25,"25,003",HUACHO,"21,807","23,062","23,749","24,096",,,,,,,,
26,"26,001",CARABAYLLO,"45,184","55,281","56,499","56,934",,,,,,,,
26,"26,002",COMAS,"67,051","67,885","68,630","69,179",,,,,,,,
26,"26,003",PUENTE PIEDRA,"52,377","53,392","54,749","55,225",,,,,,,,
26,"26,004",RIMAC,"25,874","25,972","26,108","26,099",,,,,,,,
26,"26,005",INDEPENDENCIA,"24,157","24,266","24,419","24,457",,,,,,,,
26,"26,006",SAN MARTIN DE PORRES,"95,196","97,245","99,467","100,006",,,,,,,,
26,"26,007",LOS OLIVOS,"48,887","49,184","49,544","49,679",,,,,,,,
26,"26,008",ANCON,"5,468","5,429","5,539","5,523",,,,,,,,
26,"26,009",SANTA ROSA,"3,236","3,213","3,395","3,361",,,,,,,,
26,"26,010",CALLAO,"65,727","66,149","66,410","66,425",,,,,,,,
26,"26,011",BELLAVISTA,"11,286","11,342","11,386","11,415",,,,,,,,
26,"26,012",CARMEN DE LA LEGUA,"3,473","3,487","3,496","3,507",,,,,,,,
26,"26,013",LA PERLA,"9,904","9,934","9,973","9,975",,,,,,,,
26,"26,014",LA PUNTA,"1,118","1,117","1,116","1,116",,,,,,,,
26,"26,015",VENTANILLA,"39,378","39,727","31,384","31,536",,,,,,,,
26,"26,016",EL CERCADO,"53,932","53,873","53,786","53,752",,,,,,,,
26,"26,017",BREÑA,"13,701","13,746","13,828","13,868",,,,,,,,
26,"26,018",JESUS MARÍA,"10,433","10,454","10,479","10,519",,,,,,,,
26,"26,019",LA VICTORIA,"31,132","31,230","31,369","31,387",,,,,,,,
26,"26,020",MAGDALENA DEL MAR,"8,432","8,469","8,520","8,528",,,,,,,,
26,"26,021",PUEBLO LIBRE,"12,896","12,930","12,974","12,986",,,,,,,,
26,"26,022",SAN MIGUEL,"21,211","21,285","21,347","21,402",,,,,,,,
26,"26,023",ATE-VITARTE,"81,217","83,578","85,307","86,175",,,,,,,,
26,"26,024",CHACLACAYO,"3,129","3,171","3,185","3,214",,,,,,,,
26,"26,025",CIENEGUILLA,"3,073","3,124","3,267","3,270",,,,,,,,
26,"26,026",EL AGUSTINO,"25,241","25,506","25,725","25,814",,,,,,,,
26,"26,027",LA MOLINA,"27,126","27,468","27,718","27,812",,,,,,,,
26,"26,028",LURIGANCHO,"8,317","9,149","9,530","10,187",,,,,,,,
26,"26,029",SAN LUIS,"7,669","7,716","7,762","7,780",,,,,,,,
