,,,Volumen Producido (m3) - 3130 - Acumulado,,,,,,,,,,,,,,,,,
32,"32,009",LAS LOMAS,"1,121",972,889,418,,,,,,,,,,,1.121201,0.972059,0.8891339,0.4175827
32,"32,010",LANCONES,70,69,68,33,,,,,,,,,,,0.0698,0.069185,0.0683847,0.032987
32,"32,011",SALITRAL,353,314,285,123,,,,,,,,,,,0.3532,0.314,0.284668,0.123
32,"32,012",MORROPON,546,541,523,247,,,,,,,,,,,0.546078,0.54095,0.523153,0.246621
32,"32,013",YACILA,93,86,94,46,,,,,,,,,,,0.093285,0.085516,0.093921,0.046274
32,"32,014",COLAN,386,407,421,229,,,,,,,,,,,0.385717,0.407474,0.421199,0.228779
32,"32,015",PUEBLO NUEVO,941,"1,003","1,021",488,,,,,,,,,,,0.941317,1.002873,1.021025,0.488286
32,"32,016",EL ARENAL,310,351,346,170,,,,,,,,,,,0.30968,0.351092,0.34596,0.169857
32,"32,017",VIVIATE,438,458,443,173,,,,,,,,,,,0.437938,0.458158,0.442566,0.172628
32,"32,018",AMOTAPE,201,175,146,69,,,,,,,,,,,0.201121,0.174651,0.145823,0.068882
32,"32,019",EL TAMBO,57,59,56,28,,,,,,,,,,,0.056961,0.059269,0.055905,0.028022
32,"32,020",MIRAMAR,281,278,268,136,,,,,,,,,,,0.281324,0.277983,0.268193,0.13563
32,"32,021",LA HUACA,397,382,381,153,,,,,,,,,,,0.396614,0.381893,0.381273,0.153121
32,"32,022",VICHAYAL,337,329,322,155,,,,,,,,,,,0.33706,0.328631,0.322228,0.155389
32,"32,023",NEGRITOS,"1,106","1,174","1,065",465,,,,,,,,,,,1.106314,1.173567,1.0653856,0.4648534
32,,EL ALTO,0,0,0,0,,,,,,,,,,,0,0,0,0
32,"32,024",MANCORA,"1,240","1,445","1,161",812,,,,,,,,,,,1.24024,1.44540404,1.161200585,0.81245736
32,"32,025",LOS ORGANOS,333,313,241,186,,,,,,,,,,,0.333238,0.31276345,0.24087732,0.1862606
32,"32,026",PAITA,"5,702","5,934","5,934","2,586",,,,,,,,,,,5.702188,5.933749,5.933994,2.585631
32,"32,027",CASTILLA,"9,124","11,029","11,537","6,126",,,,,,,,,,,9.12428395,11.02897476,11.53724525,6.12641686
32,,LOBITOS,0,0,0,0,,,,,,,,,,,0,0,0,0
33,"33,001",HUARAZ,"9,036","9,814","9,297","5,142",,,,,,,,,,,9.035795,9.813877,9.2965,5.142462593
33,"33,002",AIJA,287,296,249,122,,,,,,,,,,,0.286622,0.295737444,0.2488215,0.121828222
33,"33,003",CARAZ,"1,037","1,049","1,151",629,,,,,,,,,,,1.036817,1.049001889,1.151346,0.628506889
33,,YUNGAY,0,0,0,0,,,,,,,,,,,0,0,0,0
33,,RECUAY,0,0,0,0,,,,,,,,,,,0,0,0,0
33,"33,004",CHIQUIAN,813,792,754,240,,,,,,,,,,,0.8132,0.791741111,0.75448,0.240424815
34,"34,001",QUILLABAMBA,"7,355","7,351","8,063","3,875",,,,,,,,,,,7.355304,7.351074963,8.063131,3.875146
35,"35,001",BAGUA,"2,997","2,593","2,226","1,038",,,,,,,,,,,2.996605,2.592593,2.2259465,1.0383215
36,"36,001",BARRANCA,"8,001","7,623","7,069","3,482",,,,,,,,,,,8.001218,7.62254,7.068757,3.482255904
36,"36,002",SUPE,"1,527","1,443","1,526",766,,,,,,,,,,,1.527349,1.443365,1.5255,0.766335
37,"37,001",ICA,"17,215","17,892","16,496","8,175",,,,,,,,,,,17.215169,17.89165419,16.496345,8.174557662
37,"37,002",PALPA,837,701,770,396,,,,,,,,,,,0.837022,0.701321407,0.7700328,0.396118524
37,"37,003",PARCONA,"1,984","2,068","1,962",985,,,,,,,,,,,1.98449745,2.068284912,1.9622965,0.985499554
37,"37,004",LOS AQUIJES,123,130,131,66,,,,,,,,,,,0.123029,0.130364,0.1314,0.065876501
37,,INACTIVO (SANTIAGO),0,0,0,0,,,,,,,,,,,0,0,0,0
38,"38,001",SICUANI,"2,602","2,545","2,865","1,471",,,,,,,,,,,2.60238788,2.544668477,2.86511435,1.4714555
38,"38,002",SANTO TOMAS,502,571,461,246,,,,,,,,,,,0.50222352,0.570757012,0.4612422,0.2463665
39,"39,001",TARMA,"3,971","3,955","3,946","1,982",,,,,,,,,,,3.97068952,3.954782787,3.94577095,1.98249728
40,"40,001",AZANGARO,"1,325",838,801,402,,,,,,,,,,,1.32541525,0.8378665,0.800854,0.401869283
40,,LAMPA,0,0,0,0,,,,,,,,,,,0,0,0,0
40,,CARABAYA,0,0,0,0,,,,,,,,,,,0,0,0,0
40,,SANDIA,0,0,0,0,,,,,,,,,,,0,0,0,0
40,,PUTINA,0,0,0,0,,,,,,,,,,,0,0,0,0
40,"40,002",HUANCANE,391,430,417,210,,,,,,,,,,,0.391299,0.4304947,0.416502,0.210215813
41,"41,001",JULIACA,"10,007","10,340","10,641","5,206",,,,,,,,,,,10.00665,10.34038,10.641358,5.205656
42,"42,001",JAUJA,"2,587","3,096","3,101","1,466",,,,,,,,,,,2.586722,3.096144,3.10121627,1.4663657
42,"42,002",CHUPACA,"2,359","2,540","2,503","1,246",,,,,,,,,,,2.3591935,2.5399695,2.50250873,1.245514192
42,"42,003",CONCEPCION,"3,039","2,830","3,562","1,363",,,,,,,,,,,3.039211,2.83001432,3.56153012,1.36258716
43,"43,001",ABANCAY,"4,681","5,124","5,042","2,485",,,,,,,,,,,4.68062,5.123799,5.041511,2.484795
44,"44,001",ANDAHUAYLAS,"1,251","1,144","1,507",707,,,,,,,,,,,1.251256017,1.14358716,1.506988262,0.706894316
45,"45,001",JAEN,"5,432","4,914","5,790","2,855",,,,,,,,,,,5.432373461,4.914476889,5.78952,2.855476667
45,"45,002",BELLAVISTA,"2,939",749,729,377,,,,,,,,,,,2.938961,0.748782222,0.729172112,0.37716
45,"45,003",SAN IGNACIO,612,585,841,721,,,,,,,,,,,0.612462601,0.584988333,0.841438,0.721339444
46,"46,001",HUANCAYO,"18,690","21,657","22,638","10,909",,,,,,,,,,,18.68995262,21.65715421,22.63767405,10.9090528
46,"46,002",EL TAMBO,"6,910","7,541","6,089","3,588",,,,,,,,,,,6.909966,7.5413385,6.089438727,3.588032333
46,"46,003",CHILCA,522,711,547,253,,,,,,,,,,,0.521791,0.710832933,0.54715328,0.253190185
46,"46,004",HUANCÁN ,0,0,0,0,,,,,,,,,,,0,0,0,0
46,"46,005",CAJAS,0,0,0,0,,,,,,,,,,,0,0,0,0
46,"46,006",ORCOTUNA ,257,251,300,84,,,,,,,,,,,0.256749,0.25118,0.300227,0.084376296
46,"46,007",VIQUES,220,250,226,142,,,,,,,,,,,0.220127,0.24965,0.225858657,0.142345444
46,"46,008",HUACRAPUQUIO,0,0,0,0,,,,,,,,,,,0,0,0,0
47,"47,001",CALCA,"1,983",0,"1,464",716,,,,,,,,,,,1.98288,0,1.464132,0.715906
48,"48,001",AYAVIRI,"1,247",891,"1,394",784,,,,,,,,,,,1.246615,0.89068321,1.393634,0.784284
50,"50,001",LA OROYA,659,663,545,277,,,,,,,,,,,0.659213,0.663406667,0.544502,0.277327
51,"51,001",RIOJA,"1,714","1,375","1,374","1,481",,,,,,,,,,,1.714201,1.3749345,1.373628,1.481204
