,,,Volumen Producido (m3) - 3130 - Acumulado,,,,,,,,,,,,,,,,,
8,"8,010",CANOAS DE PUNTA SAL,254,242,510,270,,,37,EMAPICA S.A.,"20,160","20,792","19,360","9,622",,,0.2542154,0.24202426,0.50984,0.270103
8,"8,011",ZARUMILLA,"2,093","2,011","2,119","1,057",,,38,EMPSSAPAL S.A.,"3,105","3,115","3,326","1,718",,,2.09348232,2.01121184,2.1185936,1.05712032
8,"8,012",AGUAS VERDES,970,921,906,433,,,39,EPS SIERRA CENTRAL S.A.,"3,971","3,955","3,946","1,982",,,0.97044303,0.92077453,0.90596946,0.4327815
8,"8,013",PAPAYAL,564,569,635,332,,,40,EPS NOR PUNO S.A.,"1,717","1,268","1,217",612,,,0.56404495,0.56890806,0.6346183,0.3318
8,,POCITOS,0,0,0,0,,,41,SEDAJULIACA S.A.,"10,007","10,340","10,641","5,206",,,0,0,0,0
8,"8,014",MATAPALO,40,41,38,21,,,42,EPS MANTARO S.A.,"7,985","8,466","9,165","4,074",,,0.04031449,0.04054925,0.03809416,0.02088
9,"9,001",CERRO DE PASCO,"2,028","1,929","1,973",972,,,43,EMUSAP ABANCAY S.A.C.,"4,681","5,124","5,042","2,485",,,2.027726,1.92896325,1.972511,0.971924
9,,VICCO,0,0,0,0,,,44,EMSAP CHANKA S.C.R.L.,"1,251","1,144","1,507",707,,,0,0,0,0
9,,HUARIACA,0,0,0,0,,,45,EPS MARAÑON S.R.L.,"8,984","6,248","7,360","3,954",,,0,0,0,0
10,"10,001",PISCO,"10,290","7,186","4,133","2,017",,,46,SEDAM HUANCAYO S.A.,"26,599","30,410","29,800","14,977",,,10.28969364,7.18609325,4.132644,2.016588388
10,,INDEPENDENCIA,0,0,0,0,,,47,EMSAPA CALCA S.R.L.,"1,983",0,"1,464",716,,,0,0,0,0
10,"10,002",SAN ANDRES,0,731,0,0,,,48,EPS AGUAS DEL ALTIPLANO S.R.L.,"1,247",891,"1,394",784,,,0,0.730738,0,0
10,,TUPAC AMARU INCA,0,0,0,0,,,50,EMSAPA YAULI S.R.L.,659,663,545,277,,,0,0,0,0
10,"10,003",LA VILLA TUPAC AMARU,"2,209",847,"2,049","1,027",,,51,SEDAPAR S.R.L.,"1,714","1,375","1,374","1,481",,,2.20921071,0.84685,2.048516,1.026507398
11,"11,001",CAJAMARCA,"8,854","8,587","8,951","4,711",,,,,,,,,,,8.854167,8.586516,8.950823,4.7111244
11,"11,002",CONTUMAZA,148,164,125,62,,,,,,,,,,,0.148077,0.164301667,0.125449,0.0619164
11,"11,003",SAN MIGUEL,183,185,197,102,,,,,,,,,,,0.182957,0.184910667,0.196599167,0.102066
12,"12,001",TACNA,"20,151","19,886","20,248","10,411",,,,,,,,,,,20.15131386,19.88609832,20.24798183,10.41145567
12,"12,002",PACHIA,224,193,173,95,,,,,,,,,,,0.22405402,0.19346936,0.172650134,0.09505695
12,"12,003",LOCUMBA,143,144,121,54,,,,,,,,,,,0.142979,0.14392432,0.120503607,0.053983
13,"13,001",NASCA,"2,400","2,694","2,401","1,225",,,,,,,,,,,2.40017588,2.694327839,2.40116714,1.225285381
14,"14,001",CHIMBOTE,"23,877","26,580","28,780","14,106",,,,,,,,,,,23.8767746,26.579873,28.77997,14.105729
14,"14,002",CASMA,"1,851","1,991","1,861",890,,,,,,,,,,,1.850608,1.990851,1.861129,0.890246
14,"14,003",HUARMEY,"1,095","1,327","1,610",602,,,,,,,,,,,1.095091,1.326989,1.609894,0.6018443
15,"15,001",HUAMANGA,"12,649","14,857","15,676","7,946",,,,,,,,,,,12.64900965,14.856977,15.676232,7.94586
15,"15,002",HUANTA,"1,917","1,779","1,987","1,008",,,,,,,,,,,1.916567,1.778939,1.987467,1.007953
16,"16,001",TARAPOTO,"10,056","9,817","9,803","5,245",,,,,,,,,,,10.05588381,9.817018,9.802697,5.24471
16,,JUANJUI,0,0,0,0,,,,,,,,,,,0,0,0,0
16,,RIOJA,0,0,0,0,,,,,,,,,,,0,0,0,0
16,"16,002",SAPOSOA,792,721,798,404,,,,,,,,,,,0.792172,0.72092,0.797557,0.40447
16,"16,003",LAMAS,864,895,825,414,,,,,,,,,,,0.86356,0.8949,0.8245715,0.41446
16,"16,004",SAN JOSE DE SISA,501,521,447,225,,,,,,,,,,,0.501369,0.521016,0.446936,0.225492
16,,PICOTA,0,0,0,0,,,,,,,,,,,0,0,0,0
16,"16,005",BELLAVISTA,775,794,920,499,,,,,,,,,,,0.77524,0.79386,0.920152,0.49909
16,,TOCACHE,0,0,0,0,,,,,,,,,,,0,0,0,0
17,"17,001",PUERTO MALDONADO,"4,918","4,631","4,972","2,641",,,,,,,,,,,4.917756,4.63060765,4.97221,2.6412698
18,"18,001",CHINCHA ALTA,"8,144","7,492","6,092","2,366",,,,,,,,,,,8.14438198,7.49218544,6.092419645,2.36642016
18,"18,002",TAMBO DE MORA,319,495,280,101,,,,,,,,,,,0.319407,0.494756,0.28014484,0.101003346
18,,EL CARMEN - NO ACTIVO,0,0,0,0,,,,,,,,,,,0,0,0,0
18,"18,003",CHINCHA BAJA,901,853,674,214,,,,,,,,,,,0.90097,0.853074,0.6744807,0.21427714
18,"18,004",PUEBLO NUEVO,"5,020","4,667","3,685","1,435",,,,,,,,,,,5.02027668,4.66665076,3.684637455,1.43533618
18,"18,005",GROCIO PRADO,"1,825","1,718","1,373",528,,,,,,,,,,,1.82492422,1.71784581,1.37261759,0.527968855
18,"18,006",SUNAMPE,"1,502","1,408","1,157",471,,,,,,,,,,,1.50205698,1.40764851,1.157385935,0.4713928
18,"18,007",ALTO LARAN,489,458,389,164,,,,,,,,,,,0.48949718,0.45810402,0.388882155,0.16387509
19,"19,001",LA MERCED,"1,993","1,865","1,929","1,119",,,,,,,,,,,1.99274786,1.86483244,1.928534,1.119390162
19,"19,002",SAN RAMON,"2,926","2,835","2,832","1,416",,,,,,,,,,,2.92571288,2.83466304,2.83187376,1.415953132
19,,VITOC,0,0,0,0,,,,,,,,,,,0,0,0,0
19,,PERENE,0,0,0,0,,,,,,,,,,,0,0,0,0
19,"19,003",PICHANAKI,"1,955","2,136","3,585","1,056",,,,,,,,,,,1.954983,2.1356126,3.584977091,1.055553235
19,,SANTA ROSA,0,0,0,0,,,,,,,,,,,0,0,0,0
19,"19,004",OXAPAMPA,"3,108","1,659","2,054","1,023",,,,,,,,,,,3.108083,1.65888,2.053806545,1.022531974
19,"19,005",VILLA RICA,"1,638","2,490","2,502","1,253",,,,,,,,,,,1.637581,2.4897342,2.502269673,1.252823079
19,"19,006",SATIPO,"2,296","3,740","3,835","1,971",,,,,,,,,,,2.295854,3.739926,3.834865091,1.970766596
19,,PANGOA,0,0,0,0,,,,,,,,,,,0,0,0,0
19,,MAZAMARI,0,0,0,0,,,,,,,,,,,0,0,0,0
20,"20,001",MOYOBAMBA,"3,438","3,553","3,609","1,763",,,,,,,,,,,3.43813027,3.552769675,3.60938021,1.762899244
20,,SORITOR,0,0,0,0,,,,,,,,,,,0,0,0,0
21,"21,001",HUANCAVELICA,"3,637","3,640","3,680","1,731",,,,,,,,,,,3.6367002,3.6399892,3.68007,1.731146025
21,,IZCUCHACA,0,0,0,0,,,,,,,,,,,0,0,0,0
21,,ACOBAMBA,0,0,0,0,,,,,,,,,,,0,0,0,0
21,,CASTROVIRREYNA,0,0,0,0,,,,,,,,,,,0,0,0,0
22,"22,001",MOQUEGUA,"7,159","7,304","7,605","3,817",,,,,,,,,,,7.159143,7.304143,7.605053,3.816606917
23,"23,001",YUNGUYO,"1,076","1,040","1,086",520,,,,,,,,,,,1.07622148,1.03983075,1.0864646,0.520378148
24,"24,001",HUARAL,"6,685","6,883","6,888","3,522",,,,,,,,,,,6.684945,6.8832315,6.887623,3.522068519
25,"25,001",SAYAN,334,351,310,166,,,,,,,,,,,0.334124,0.350519,0.309961,0.166125
25,"25,002",VEGUETA,379,426,440,218,,,,,,,,,,,0.37854481,0.426333303,0.44037614,0.217692028
25,"25,003",HUACHO,"6,760","6,949","6,607","3,542",,,,,,,,,,,6.75993222,6.94862217,6.60734783,3.541589378
26,"26,001",CARABAYLLO,0,0,0,0,,,,,,,,,,,0,0,0,0
26,"26,002",COMAS,0,0,0,0,,,,,,,,,,,0,0,0,0
26,"26,003",PUENTE PIEDRA,0,0,0,0,,,,,,,,,,,0,0,0,0
