,,,Conexiones Totales de Agua Potable (Conex) - 2110- Excepto SEDAPAL (2090),,,,,,,,Conexiones Totales de Agua Potable (Conex) - 2110- Excepto SEDAPAL (2090),,,
10,,INDEPENDENCIA,0,,,,,,47,EMSAPA CALCA S.R.L.,"3,150","3,558","3,598","3,598"
10,"10,002",SAN ANDRES,"3,461","3,299","3,367","3,258",,,48,EPS AGUAS DEL ALTIPLANO S.R.L.,"6,304",0,"6,689","6,594"
10,,TUPAC AMARU INCA,0,,,,,,50,EMSAPA YAULI S.R.L.,"3,215","3,276","3,320","3,302"
10,"10,003",LA VILLA TUPAC AMARU,"4,778","4,357","4,543","4,111",,,51,SEDAPAR S.R.L.,"5,733","5,893","6,181","6,181"
11,"11,001",CAJAMARCA,"36,627","38,028","38,912","39,220",,,,,,,,
11,"11,002",CONTUMAZA,965,"1,068","1,098","1,103",,,,,,,,
11,"11,003",SAN MIGUEL,"1,262","1,374","1,462","1,472",,,,,,,,
12,"12,001",TACNA,"88,168","89,208","90,872","91,532",,,,,,,,
12,"12,002",PACHIA,318,340,349,356,,,,,,,,
12,"12,003",LOCUMBA,350,454,456,460,,,,,,,,
13,"13,001",NASCA,"8,504","8,929","8,955","9,145",,,,,,,,
14,"14,001",CHIMBOTE,"73,816","76,228","77,283","77,356",,,,,,,,
14,"14,002",CASMA,"6,342","6,432","6,513","6,570",,,,,,,,
14,"14,003",HUARMEY,"4,837","5,096","5,361","5,440",,,,,,,,
15,"15,001",HUAMANGA,"44,078","45,684","47,271","48,070",,,,,,,,
15,"15,002",HUANTA,"7,988","8,261","8,473","8,590",,,,,,,,
16,"16,001",TARAPOTO,"29,810","30,575","31,365","32,756",,,,,,,,
16,,JUANJUI,0,,,,,,,,,,,
16,,RIOJA,0,,,,,,,,,,,
16,"16,002",SAPOSOA,"1,977","2,053","2,108","2,142",,,,,,,,
16,"16,003",LAMAS,"3,164","3,400","3,542","3,620",,,,,,,,
16,"16,004",SAN JOSE DE SISA,"1,978","2,204","2,349","2,392",,,,,,,,
16,,PICOTA,0,,,,,,,,,,,
16,"16,005",BELLAVISTA,"3,045","3,130","3,290","3,353",,,,,,,,
16,,TOCACHE,0,,,,,,,,,,,
17,"17,001",PUERTO MALDONADO,"15,046","16,044","16,935","17,376",,,,,,,,
18,"18,001",CHINCHA ALTA,"20,028","20,447","20,861","20,990",,,,,,,,
18,"18,002",TAMBO DE MORA,"1,436","1,464","1,490","1,498",,,,,,,,
18,,EL CARMEN - NO ACTIVO,0,,,,,,,,,,,
