id_persona,prestacion,tipotra,tipoben,beneficio
79926603232,2,2,4,80.65000000000001
21087584215,1,2,4,175.09
64044301204,1,2,4,134.32
08878300222,1,2,4,
95319801232,1,2,4,177.62
78918202232,1,2,4,158.15
25255004222,1,2,4,110.67
82999400232,2,2,4,106.97
92183684226,1,2,4,58.72
27326100221,1,2,4,29.47
56013402227,1,2,4,101.24
96558184219,1,2,4,155.13
92305684226,1,2,4,202.84
08597600222,1,2,4,822.81
08499002222,1,2,4,428.91
94893184226,1,2,4,79.51000000000001
43797584208,1,2,4,73.68000000000001
08296402222,1,2,4,477.32
08393200222,1,2,4,594.75
57077900206,2,2,4,58.54
84328603232,1,2,4,244.64
23791203229,1,2,4,213.01
84934702232,1,2,4,263.48
08819502222,1,2,4,448.94
95523602232,1,2,4,200.23
95743502232,1,2,4,213.99
40389702225,1,2,4,613.39
16253884202,1,2,4,130.72
08642002222,1,2,4,1005.53
81085584232,1,2,4,133.31
93871302207,1,2,4,629.8200000000001
08584302222,1,2,4,483.9
17970284209,1,2,4,299.57
99217384232,1,2,4,196.2
95732502232,1,2,4,178.04
01427201208,1,2,4,316.95
05634501204,1,2,4,150.04
47598984210,1,2,4,100.71
08665002222,1,2,4,756.02
22283700229,1,2,4,330.35
67669502230,1,2,4,233.66
78341500232,1,2,4,201.61
50001700221,1,2,4,666.81
73661101225,1,2,4,573.75
79264803232,1,2,4,108.16
08524103222,1,2,4,174.69
85769900232,1,2,4,110.74
86539000232,1,2,4,105.36
86036603232,1,2,4,54.96
57127101224,1,2,4,141.77
78966003232,1,2,4,19.38
29844401221,1,2,4,205.37
64887584220,1,2,4,130.63
80830284232,1,2,4,159.15
81943401232,1,2,4,116.94
25187100221,1,2,4,332.14
62230900229,1,2,4,169.83
56108800227,1,2,4,1324.5
24072900221,1,2,4,188.43
62009060229,1,2,4,132.8
08850305222,1,2,4,496.43
78557004232,1,2,4,92.53
56151905230,1,2,4,202.86
46282001210,1,2,4,310.38
29535400210,1,2,4,1312.44
36949660229,1,2,4,259.31
34675900208,1,2,4,437.92
11303004220,1,2,4,324.65
77306660232,1,2,4,846.06
77231700232,1,2,4,988.21
05610505204,1,2,4,284.08
84993060232,1,2,4,191.34
33911160229,1,2,4,247.39
34095702229,1,2,4,197.41
56013360227,2,2,4,81.48
08539560222,1,2,4,702.52
35058460229,1,2,4,226.93
47238000210,1,2,4,499.08
80146801232,1,2,4,240.69
03943100218,2,2,4,144.66
20923100218,1,2,4,190.16
24921000221,1,2,4,765.01
51869505229,1,2,4,675.16
09385100222,1,2,4,968.88
54008160227,1,2,4,358.51
98162405232,1,2,4,341.88
07187901222,1,2,4,726.38
37016605229,1,2,4,329.06
81737405232,1,2,4,201.43
76079060208,1,2,4,174.28
52017460210,1,2,4,254.63
85270260232,1,2,4,185.11
08719100222,1,2,4,600.04
89589900220,1,2,4,251.14
08904360222,1,2,4,759.49
69889060229,1,2,4,164.9
08344800222,1,2,4,529.21
64291200220,1,2,4,264.63
06726605222,1,2,4,671.22
81842604232,1,2,4,145.05
14050002206,1,2,4,137.97
94926302232,1,2,4,210.23
08969305222,1,2,4,696.11
22088005229,1,2,4,168.63
94901402232,1,2,4,283.86
08466101222,1,2,4,948.12
25061300221,1,2,4,162.96
81645100219,1,2,4,393.07
20089602209,1,2,4,259.95
15641860216,1,2,4,122.54
91530202219,1,2,4,213.35
33014000229,1,2,4,166.46
08449805222,1,2,4,691.37
42001760222,1,2,4,222.3
85506601207,1,2,4,185.23
22574900229,1,2,4,151.95
08476305222,2,2,4,294.84
27697660229,1,2,4,95.61
40601905225,1,2,4,217.58
36111060208,2,2,4,86.56999999999999
