"Municipalidad","PIA","PIM","Certificación","Compromiso Anual","Atención de Compromiso Mensual","Devengado","Girado","avance","periodo","PROVINCIA"
"MUNICIPALIDAD DISTRITAL DE LOS OLIVOS",71487473,122946958,100994000,95591745,89454711,89246884,88912102,72.6,2017,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE LURIGANCHO (CHOSICA)",72101999,94961582,83024018,72197625,72197625,72197625,71478511,76,2017,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE LURIN",56914816,69476026,58806314,57920816,54811847,54811847,54811847,78.9,2017,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE MAGDALENA DEL MAR",40715888,51998217,50101227,41861967,41323181,40461695,38149070,77.8,2017,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE",39790577,53683542,46893801,42102529,41982253,36826507,36628252,68.6,2017,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE MIRAFLORES",187664639,204730412,199223526,195972169,195938549,195938549,195865800,95.7,2017,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE MIRAFLORES",187664639,204730412,199223526,195972169,195938549,195938549,195865800,95.7,2017,"151001-301389: MUNICIPALIDAD PROVINCIAL DE YAUYOS"
"MUNICIPALIDAD DISTRITAL DE PACHACAMAC",43208492,68106784,57206121,55947292,55478571,54022736,53831212,79.3,2017,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE PUCUSANA",10085687,15744049,14111392,13413122,13399538,13394538,13370139,85.1,2017,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE PUENTE PIEDRA",84866412,142225616,137476906,107747543,107747283,107741023,107677694,75.8,2017,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE PUNTA HERMOSA",11864680,16145448,13871302,13804702,13802609,13328123,13325213,82.6,2017,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE PUNTA NEGRA",8318569,10146301,8971633,8615462,8472217,7829708,7778822,77.2,2017,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE RIMAC",29998739,58029530,51532740,48163627,48163627,48163627,48006458,83,2017,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE SAN BARTOLO",9429468,14105351,10681899,9955535,9585505,9585505,9540133,68,2017,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE SAN BORJA",98401524,117743941,110251437,106854805,106831365,106831365,106678184,90.7,2017,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE SAN ISIDRO",191431859,235450881,218954513,203655086,198712182,197332434,197328691,83.8,2017,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE SAN JUAN DE LURIGANCHO",152011525,227348237,215261139,196079191,195557856,192903243,192777897,84.8,2017,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE SAN JUAN DE MIRAFLORES",71218267,106803251,95608822,92228152,87071824,77058696,76990428,72.2,2017,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE SAN LUIS",23081487,52357103,49503886,46585775,46088830,45570685,44319304,87,2017,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE SAN LUIS",23081487,52357103,49503886,46585775,46088830,45570685,44319304,87,2017,"150501-301311: MUNICIPALIDAD PROVINCIAL DE CAÑETE - SAN VICENTE DE CAÑETE"
"MUNICIPALIDAD DISTRITAL DE SAN MARTIN DE PORRES",96354796,155422292,150038585,117313956,117278849,116945558,116607318,75.2,2017,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE SAN MIGUEL",81842278,101785422,91566956,85156721,85156721,84595651,84589607,83.1,2017,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE SANTA ANITA",43661396,93352712,83011189,58825556,58538338,58538338,58479870,62.7,2017,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE SANTA MARIA DEL MAR",6483195,7709836,6677674,5971280,5480816,5479679,5334318,71.1,2017,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE SANTA ROSA",5937138,8731399,7929541,7626210,7626120,7626120,7626120,87.3,2017,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE SANTIAGO DE SURCO",246611677,273491925,247591899,238705125,225893485,225140967,225058561,82.3,2017,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE SURQUILLO",42488699,50468542,45939457,43991966,43691923,42571349,42374630,84.4,2017,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE VILLA EL SALVADOR",78757121,180656346,155017128,139836385,139758948,139368263,138920631,77.1,2017,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE VILLA MARIA DEL TRIUNFO",66428304,106254800,91861922,78886514,75042583,70734727,69510753,66.6,2017,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD PROVINCIAL DE BARRANCA",24900783,37985226,32806762,29911916,29767874,28215350,28212586,74.3,2017,"MUNICIPALIDAD PROVINCIAL DE BARRANCA"
"MUNICIPALIDAD DISTRITAL DE PARAMONGA",6322608,10937901,9157504,7425265,7397488,7397488,7385487,67.6,2017,"MUNICIPALIDAD PROVINCIAL DE BARRANCA"
"MUNICIPALIDAD DISTRITAL DE PATIVILCA",5019247,12280734,11715658,11433527,11370451,10841807,10793420,88.3,2017,"MUNICIPALIDAD PROVINCIAL DE BARRANCA"
"MUNICIPALIDAD DISTRITAL DE SUPE",6358167,16420237,14462031,13012847,13012847,13011847,12786683,79.2,2017,"MUNICIPALIDAD PROVINCIAL DE BARRANCA"
"MUNICIPALIDAD DISTRITAL DE SUPE PUERTO",3188922,5253455,4018518,3563889,3487283,3469449,3407011,66,2017,"MUNICIPALIDAD PROVINCIAL DE BARRANCA"
"MUNICIPALIDAD PROVINCIAL DE CAJATAMBO",1619092,3087261,2112651,2088963,2088963,2070423,1969565,67.1,2017,"150301-301299: MUNICIPALIDAD PROVINCIAL DE CAJATAMBO"
"MUNICIPALIDAD DISTRITAL DE COPA",614731,1614467,1103920,1103920,1098625,1098625,1098005,68,2017,"150301-301299: MUNICIPALIDAD PROVINCIAL DE CAJATAMBO"
"MUNICIPALIDAD DISTRITAL DE GORGOR",903476,1509333,1407548,1405421,1405421,1405421,1405421,93.1,2017,"150301-301299: MUNICIPALIDAD PROVINCIAL DE CAJATAMBO"
"MUNICIPALIDAD DISTRITAL DE HUANCAPON",508945,870155,849737,769737,769553,769553,769389,88.4,2017,"150301-301299: MUNICIPALIDAD PROVINCIAL DE CAJATAMBO"
"MUNICIPALIDAD DISTRITAL DE MANAS",865039,3107799,2064714,2051834,2051834,2049869,2049419,66,2017,"150301-301299: MUNICIPALIDAD PROVINCIAL DE CAJATAMBO"
"MUNICIPALIDAD PROVINCIAL DE CANTA",2849141,4873044,4195829,4152731,4041109,4041109,4041109,82.9,2017,"150401-301304: MUNICIPALIDAD PROVINCIAL DE CANTA"
"MUNICIPALIDAD DISTRITAL DE ARAHUAY",550000,1160277,1057034,1050996,1050996,1050996,1050996,90.6,2017,"150401-301304: MUNICIPALIDAD PROVINCIAL DE CANTA"
"MUNICIPALIDAD DISTRITAL DE HUAMANTANGA",616844,1211744,1021583,966915,966915,966915,965715,79.8,2017,"150401-301304: MUNICIPALIDAD PROVINCIAL DE CANTA"
"MUNICIPALIDAD DISTRITAL DE HUAROS",680564,1225465,955003,885204,885204,885204,868404,72.2,2017,"150401-301304: MUNICIPALIDAD PROVINCIAL DE CANTA"
"MUNICIPALIDAD DISTRITAL DE LACHAQUI",530000,8829558,8555373,2778512,2724592,2724592,2706757,30.9,2017,"150401-301304: MUNICIPALIDAD PROVINCIAL DE CANTA"
"MUNICIPALIDAD DISTRITAL DE SAN BUENAVENTURA",490000,958021,781526,781526,781526,754846,754846,78.8,2017,"150401-301304: MUNICIPALIDAD PROVINCIAL DE CANTA"
"MUNICIPALIDAD DISTRITAL DE SANTA ROSA DE QUIVES",3093423,17181293,16650100,16275059,8507656,8108965,8094844,47.2,2017,"150401-301304: MUNICIPALIDAD PROVINCIAL DE CANTA"
"MUNICIPALIDAD PROVINCIAL DE CAÑETE - SAN VICENTE DE CAÑETE",57023544,80787932,58134005,53320839,53150561,50059310,49898242,62,2017,"150501-301311: MUNICIPALIDAD PROVINCIAL DE CAÑETE - SAN VICENTE DE CAÑETE"
"MUNICIPALIDAD DISTRITAL DE ASIA",22494984,35878443,24451670,20162799,19803115,19789561,19785525,55.2,2017,"150501-301311: MUNICIPALIDAD PROVINCIAL DE CAÑETE - SAN VICENTE DE CAÑETE"
"MUNICIPALIDAD DISTRITAL DE CALANGO",1572572,5333309,4906696,3292852,3292852,3291352,3286258,61.7,2017,"150501-301311: MUNICIPALIDAD PROVINCIAL DE CAÑETE - SAN VICENTE DE CAÑETE"
"MUNICIPALIDAD DISTRITAL DE CERRO AZUL",6559177,12634356,8589541,8051837,8001291,7945953,7943418,62.9,2017,"150501-301311: MUNICIPALIDAD PROVINCIAL DE CAÑETE - SAN VICENTE DE CAÑETE"
"MUNICIPALIDAD DISTRITAL DE CHILCA",10387785,31935083,30578981,22096982,22025902,15980003,15961831,50,2017,"150501-301311: MUNICIPALIDAD PROVINCIAL DE CAÑETE - SAN VICENTE DE CAÑETE"
"MUNICIPALIDAD DISTRITAL DE COAYLLO",2547960,6697633,6135219,4546384,4546384,4546384,4546384,67.9,2017,"150501-301311: MUNICIPALIDAD PROVINCIAL DE CAÑETE - SAN VICENTE DE CAÑETE"
"MUNICIPALIDAD DISTRITAL DE IMPERIAL",10648048,14024895,11477069,11324216,11078267,10197871,10194688,72.7,2017,"150501-301311: MUNICIPALIDAD PROVINCIAL DE CAÑETE - SAN VICENTE DE CAÑETE"
"MUNICIPALIDAD DISTRITAL DE LUNAHUANA",2225410,5862816,5011762,4049552,4020103,4020103,4020103,68.6,2017,"150501-301311: MUNICIPALIDAD PROVINCIAL DE CAÑETE - SAN VICENTE DE CAÑETE"
"MUNICIPALIDAD DISTRITAL DE MALA",13325621,30354026,26368407,25403303,25027429,24938428,24929557,82.2,2017,"150501-301311: MUNICIPALIDAD PROVINCIAL DE CAÑETE - SAN VICENTE DE CAÑETE"
"MUNICIPALIDAD DISTRITAL DE NUEVO IMPERIAL",7808324,38595816,35475336,35196473,35052928,23733479,23594146,61.5,2017,"150501-301311: MUNICIPALIDAD PROVINCIAL DE CAÑETE - SAN VICENTE DE CAÑETE"
"MUNICIPALIDAD DISTRITAL DE PACARAN",959278,13722959,7504384,3857731,3340910,3340910,3339310,24.3,2017,"150501-301311: MUNICIPALIDAD PROVINCIAL DE CAÑETE - SAN VICENTE DE CAÑETE"
"MUNICIPALIDAD DISTRITAL DE QUILMANA",5570178,11911927,10934043,10801937,10569844,10316834,9991598,86.6,2017,"150501-301311: MUNICIPALIDAD PROVINCIAL DE CAÑETE - SAN VICENTE DE CAÑETE"
"MUNICIPALIDAD DISTRITAL DE SANTA CRUZ DE FLORES",2754136,5624470,4830029,2984566,2980075,2970336,2941175,52.8,2017,"150501-301311: MUNICIPALIDAD PROVINCIAL DE CAÑETE - SAN VICENTE DE CAÑETE"
"MUNICIPALIDAD DISTRITAL DE ZUÑIGA",1535394,2479744,1977283,1953599,1820185,1789395,1773126,72.2,2017,"150501-301311: MUNICIPALIDAD PROVINCIAL DE CAÑETE - SAN VICENTE DE CAÑETE"
"MUNICIPALIDAD PROVINCIAL DE HUARAL",39931280,67037296,65170777,56613218,51210425,50685762,50684029,75.6,2017,"150601-301327: MUNICIPALIDAD PROVINCIAL DE HUARAL"
"MUNICIPALIDAD DISTRITAL DE ATAVILLOS ALTO",973805,1656432,1219514,1136827,1136827,1136827,1109227,68.6,2017,"150601-301327: MUNICIPALIDAD PROVINCIAL DE HUARAL"
"MUNICIPALIDAD DISTRITAL DE ATAVILLOS BAJO",686212,2236654,1628765,1628765,1628765,1628765,1621904,72.8,2017,"150601-301327: MUNICIPALIDAD PROVINCIAL DE HUARAL"
"MUNICIPALIDAD DISTRITAL DE AUCALLAMA",7653951,10946974,9081203,7894163,7086551,6896044,6879524,63,2017,"150601-301327: MUNICIPALIDAD PROVINCIAL DE HUARAL"
"MUNICIPALIDAD DISTRITAL DE CHANCAY",18926084,29121028,26166833,26082085,26082051,26081851,26081851,89.6,2017,"150601-301327: MUNICIPALIDAD PROVINCIAL DE HUARAL"
"MUNICIPALIDAD DISTRITAL DE IHUARI",1556800,3628514,2943460,2527753,2527753,2527753,2527753,69.7,2017,"150601-301327: MUNICIPALIDAD PROVINCIAL DE HUARAL"
"MUNICIPALIDAD DISTRITAL DE LAMPIAN",466805,1195447,930077,927577,927577,925746,924086,77.4,2017,"150601-301327: MUNICIPALIDAD PROVINCIAL DE HUARAL"
"MUNICIPALIDAD DISTRITAL DE PACARAOS",723078,2011160,1959548,1959547,1959546,1959546,1959546,97.4,2017,"150601-301327: MUNICIPALIDAD PROVINCIAL DE HUARAL"
"MUNICIPALIDAD DISTRITAL DE SAN MIGUEL DE ACOS",496894,1253796,1087833,1087833,1087833,1087833,1087102,86.8,2017,"150601-301327: MUNICIPALIDAD PROVINCIAL DE HUARAL"
"MUNICIPALIDAD DISTRITAL DE SANTA CRUZ DE ANDAMARCA",955558,2890933,1814410,1811604,1810074,1806569,1806257,62.5,2017,"150601-301327: MUNICIPALIDAD PROVINCIAL DE HUARAL"
"MUNICIPALIDAD DISTRITAL DE SUMBILCA",697499,4512639,4346077,2895462,2888023,2888023,2888023,64,2017,"150601-301327: MUNICIPALIDAD PROVINCIAL DE HUARAL"
"MUNICIPALIDAD DISTRITAL VEINTISIETE DE NOVIEMBRE",442217,1048087,965750,901800,901800,901800,901800,86,2017,"150601-301327: MUNICIPALIDAD PROVINCIAL DE HUARAL"
"MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA",10376050,21511478,18285575,15447408,15447095,15447095,15447095,71.8,2017,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE ANTIOQUIA",793864,2424125,1960821,1941021,1941021,1939621,1916749,80,2017,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE CALLAHUANCA",1674423,3086614,2686124,2266347,2263047,2261914,2257258,73.3,2017,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE CARAMPOMA",1373055,2280263,1922492,1883386,1882761,1880886,1554721,82.5,2017,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE CHICLA",3896558,7561126,6564697,5587438,4741495,4707154,4706293,62.3,2017,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE SAN JOSE DE LOS CHORRILLOS - CUENCA",589959,1161688,1108664,1108664,1108664,1108616,1080296,95.4,2017,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE HUACHUPAMPA",1439266,3174316,1803558,1788810,1788810,1788810,1788810,56.4,2017,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE HUANZA",1453195,3015578,2541668,2385737,2385737,2385737,2377737,79.1,2017,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE HUAROCHIRI",790313,1901957,1367917,1367915,1367915,1367915,1367915,71.9,2017,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE LAHUAYTAMBO",608161,1573720,1487734,1477767,1477767,1477767,1477767,93.9,2017,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE LANGA",599984,1920318,1239354,1239325,1235525,1235525,1232881,64.3,2017,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE SAN PEDRO DE LARAOS",1334865,2526863,1651323,1651323,1649872,1649872,1649872,65.3,2017,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE MARIATANA",791926,2360816,1901529,1887929,1887929,1880259,1880259,79.6,2017,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE RICARDO PALMA",2550016,4515765,4216578,4194753,4185953,4127110,4088829,91.4,2017,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE SAN ANDRES DE TUPICOCHA",753224,1304497,1217016,1217016,1217016,1217016,1148960,93.3,2017,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE SAN ANTONIO",5878038,24515530,21672313,19214552,19214552,19213002,19193806,78.4,2017,"150501-301311: MUNICIPALIDAD PROVINCIAL DE CAÑETE - SAN VICENTE DE CAÑETE"
"MUNICIPALIDAD DISTRITAL DE SAN ANTONIO",5878038,24515530,21672313,19214552,19214552,19213002,19193806,78.4,2017,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE SAN BARTOLOME",1044772,1735510,1410679,1409679,1409678,1409678,1395544,81.2,2017,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE SAN DAMIAN",739130,1070602,1000707,998207,998207,998207,995837,93.2,2017,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE SAN JUAN DE IRIS",1221718,2382236,1901956,1871753,1871753,1871753,1848902,78.6,2017,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE SAN JUAN DE TANTARANCHE",555019,2275753,2134125,2133498,2133498,2133498,2130123,93.7,2017,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE SAN LORENZO DE QUINTI",811967,1655448,1068557,1067627,1067627,1066927,1066927,64.4,2017,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE SAN MATEO",3793680,6601189,5803107,5732587,5316028,5258756,4935727,79.7,2017,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE SAN MATEO DE OTAO",1267977,2160294,1970667,1920246,1918417,1916461,1914779,88.7,2017,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE CASTA",1587445,3118104,2199590,2199087,2191683,2191683,2191683,70.3,2017,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE SAN PEDRO DE HUANCAYRE",457731,1306582,863735,863734,860999,860999,860999,65.9,2017,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE SANGALLAYA",558648,4255555,3553186,3393186,3392958,3392958,3390474,79.7,2017,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE SANTA CRUZ DE COCACHACRA",921529,2190196,1935372,1821397,1800792,1776858,1760985,81.1,2017,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE SANTA EULALIA",5061999,14673595,12402631,11779561,11668948,10940368,10859231,74.6,2017,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE SANTIAGO DE ANCHUCAYA",552588,954896,890835,888515,871639,870580,868410,91.2,2017,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE SANTIAGO DE TUNA",598910,1539585,1403470,1228357,1228357,1099269,1014634,71.4,2017,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE SANTO DOMINGO DE LOS OLLEROS",2964649,6746114,5773634,5699856,5584635,5565521,5554206,82.5,2017,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD DISTRITAL DE SURCO",1584781,2166853,1968613,1966363,1966363,1966363,1809130,90.7,2017,"150701-301339: MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI - MATUCANA"
"MUNICIPALIDAD PROVINCIAL DE HUAURA",38769722,60544441,48153227,41126838,39359002,38972083,38966505,64.4,2017,"150801-301371: MUNICIPALIDAD PROVINCIAL DE HUAURA"
"MUNICIPALIDAD DISTRITAL DE AMBAR",1211194,3235136,2948012,2331813,2307504,2263058,2161969,70,2017,"150801-301371: MUNICIPALIDAD PROVINCIAL DE HUAURA"
"MUNICIPALIDAD DISTRITAL DE CALETA DE CARQUIN",1983445,3224224,2908205,2876822,2865338,2792242,2711903,86.6,2017,"150801-301371: MUNICIPALIDAD PROVINCIAL DE HUAURA"
"MUNICIPALIDAD DISTRITAL DE CHECRAS",655962,3678841,2486314,2430928,2430928,2430928,2430928,66.1,2017,"150801-301371: MUNICIPALIDAD PROVINCIAL DE HUAURA"
"MUNICIPALIDAD DISTRITAL DE HUALMAY",5912701,9382774,9193780,8665083,8341358,8341358,8333602,88.9,2017,"150801-301371: MUNICIPALIDAD PROVINCIAL DE HUAURA"
"MUNICIPALIDAD DISTRITAL DE HUAURA",9435248,12982688,11755572,11094483,10875844,10873527,10840690,83.8,2017,"150801-301371: MUNICIPALIDAD PROVINCIAL DE HUAURA"
"MUNICIPALIDAD DISTRITAL DE LEONCIO PRADO",980710,4838608,4407662,4147306,4147306,4134046,4134046,85.4,2017,"150801-301371: MUNICIPALIDAD PROVINCIAL DE HUAURA"
"MUNICIPALIDAD DISTRITAL DE PACCHO",806539,5416103,4966094,4700306,4700306,4700306,4694757,86.8,2017,"150801-301371: MUNICIPALIDAD PROVINCIAL DE HUAURA"
"MUNICIPALIDAD DISTRITAL DE SANTA LEONOR",674883,3479919,3180329,3180329,3180329,3176696,3172733,91.3,2017,"150801-301371: MUNICIPALIDAD PROVINCIAL DE HUAURA"
"MUNICIPALIDAD DISTRITAL DE SANTA MARIA",10047900,19833134,16694675,15511221,15511221,15511221,15462228,78.2,2017,"150801-301371: MUNICIPALIDAD PROVINCIAL DE HUAURA"
"MUNICIPALIDAD DISTRITAL DE SAYAN",8269716,25339865,22932125,21102466,20860779,20860779,20857828,82.3,2017,"150801-301371: MUNICIPALIDAD PROVINCIAL DE HUAURA"
"MUNICIPALIDAD DISTRITAL DE VEGUETA",6932067,15835193,13189975,12020343,12020343,12020343,12019583,75.9,2017,"150801-301371: MUNICIPALIDAD PROVINCIAL DE HUAURA"
"MUNICIPALIDAD PROVINCIAL DE OYON",9039037,18386411,14286599,13884995,13884995,13884995,13864582,75.5,2017,"150901-301383: MUNICIPALIDAD PROVINCIAL DE OYON"
"MUNICIPALIDAD DISTRITAL DE ANDAJES",568723,1334732,1065437,1012014,1012014,1012014,1012014,75.8,2017,"150901-301383: MUNICIPALIDAD PROVINCIAL DE OYON"
"MUNICIPALIDAD DISTRITAL DE CAUJUL",535157,1663275,1315444,1315444,1315444,1315444,1315244,79.1,2017,"150901-301383: MUNICIPALIDAD PROVINCIAL DE OYON"
"MUNICIPALIDAD DISTRITAL DE COCHAMARCA",726669,3946200,1622585,1527685,1527685,1527685,1525885,38.7,2017,"150901-301383: MUNICIPALIDAD PROVINCIAL DE OYON"
"MUNICIPALIDAD DISTRITAL DE NAVAN",596596,1519409,1136412,1085349,1085349,1085349,1085349,71.4,2017,"150901-301383: MUNICIPALIDAD PROVINCIAL DE OYON"
"MUNICIPALIDAD DISTRITAL DE PACHANGARA",1850766,4088015,3538298,3427132,3381135,3381065,3374266,82.7,2017,"150901-301383: MUNICIPALIDAD PROVINCIAL DE OYON"
"MUNICIPALIDAD PROVINCIAL DE YAUYOS",3941601,7592891,5877728,5877027,5877027,5800421,5800421,76.4,2017,"151001-301389: MUNICIPALIDAD PROVINCIAL DE YAUYOS"
"MUNICIPALIDAD DISTRITAL DE ALIS",1017040,3137300,2950626,2950626,2950626,2950626,2949315,94.1,2017,"151001-301389: MUNICIPALIDAD PROVINCIAL DE YAUYOS"
"MUNICIPALIDAD DISTRITAL DE AYAUCA",1819255,3693902,2026317,1990324,1977853,1977853,1957275,53.5,2017,"151001-301389: MUNICIPALIDAD PROVINCIAL DE YAUYOS"
"MUNICIPALIDAD DISTRITAL DE AYAVIRI",493833,1027548,951729,949446,949446,949446,927358,92.4,2017,"151001-301389: MUNICIPALIDAD PROVINCIAL DE YAUYOS"
"MUNICIPALIDAD DISTRITAL DE AZANGARO",471893,1044397,819364,819364,819364,818944,810694,78.4,2017,"151001-301389: MUNICIPALIDAD PROVINCIAL DE YAUYOS"
"MUNICIPALIDAD DISTRITAL DE CACRA",459408,898538,851222,851222,850910,849320,849320,94.5,2017,"151001-301389: MUNICIPALIDAD PROVINCIAL DE YAUYOS"
"MUNICIPALIDAD DISTRITAL DE CARANIA",453566,1188431,1060850,932589,932584,932033,932032,78.4,2017,"151001-301389: MUNICIPALIDAD PROVINCIAL DE YAUYOS"
"MUNICIPALIDAD DISTRITAL DE CATAHUASI",561022,1168248,1108801,1107801,1107801,1107801,1107801,94.8,2017,"151001-301389: MUNICIPALIDAD PROVINCIAL DE YAUYOS"
"MUNICIPALIDAD DISTRITAL DE CHOCOS",625227,2141060,1944469,1512440,1512440,1512440,1512440,70.6,2017,"151001-301389: MUNICIPALIDAD PROVINCIAL DE YAUYOS"
"MUNICIPALIDAD DISTRITAL DE COCHAS",458501,962457,776708,776708,776708,776708,776708,80.7,2017,"151001-301389: MUNICIPALIDAD PROVINCIAL DE YAUYOS"
"MUNICIPALIDAD DISTRITAL DE COLONIA",654830,1093404,1055014,1055014,1055014,1054824,1054824,96.5,2017,"151001-301389: MUNICIPALIDAD PROVINCIAL DE YAUYOS"
"MUNICIPALIDAD DISTRITAL DE HONGOS",466949,1198020,893976,858897,857806,857806,851617,71.6,2017,"151001-301389: MUNICIPALIDAD PROVINCIAL DE YAUYOS"
