"Municipalidad","PIA","PIM","Certificación","Compromiso Anual","Atención de Compromiso Mensual","Devengado","Girado","avance","periodo","PROVINCIA"
"MUNICIPALIDAD DISTRITAL DE SAN JUAN DE MIRAFLORES",80509286,88474006,72765606,69321208,68661705,67380679,67039064,76.2,2019,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE SAN LUIS",35000219,36784692,31821675,23696545,23348243,21050115,20806856,57.2,2019,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE SAN LUIS",35000219,36784692,31821675,23696545,23348243,21050115,20806856,57.2,2019,"150501-301311: MUNICIPALIDAD PROVINCIAL DE CAÑETE - SAN VICENTE DE CAÑETE"
"MUNICIPALIDAD DISTRITAL DE SAN MARTIN DE PORRES",126979011,157016910,135241301,123474515,118911473,115861636,114797223,73.8,2019,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE SAN MIGUEL",87526876,91227508,81242304,78024214,77556391,76371388,76369600,83.7,2019,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE SANTA ANITA",60433601,89252563,72353881,59121401,59121401,59121401,58908420,66.2,2019,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE SANTA MARIA DEL MAR",6846961,8267182,7025284,6715247,6483768,6000926,5809956,72.6,2019,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE SANTA ROSA",7622019,9962083,9462862,8951015,8882450,8382629,8310420,84.1,2019,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE SANTIAGO DE SURCO",268778379,317180675,270479157,245709957,244651192,244343904,244265772,77,2019,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE SURQUILLO",43863183,60329089,51757694,48733274,48209534,48088978,47676805,79.7,2019,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE VILLA EL SALVADOR",86092546,137873181,131519010,111564902,105156090,104199843,104152543,75.6,2019,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD DISTRITAL DE VILLA MARIA DEL TRIUNFO",78451916,105765065,92394020,87525234,85789394,82326060,82306081,77.8,2019,"MUNICIPALIDAD METROPOLITANA DE LIMA"
"MUNICIPALIDAD PROVINCIAL DE BARRANCA",31543318,42465941,39712789,34627639,34137292,32819344,32599316,77.3,2019,"MUNICIPALIDAD PROVINCIAL DE BARRANCA"
"MUNICIPALIDAD DISTRITAL DE PARAMONGA",7503944,12981563,12661493,9912529,9125567,8944026,7416307,68.9,2019,"MUNICIPALIDAD PROVINCIAL DE BARRANCA"
"MUNICIPALIDAD DISTRITAL DE PATIVILCA",5683105,6962902,6071947,5695274,5571943,5571359,5531016,80,2019,"MUNICIPALIDAD PROVINCIAL DE BARRANCA"
"MUNICIPALIDAD DISTRITAL DE SUPE",12257832,12592600,9327872,7824470,7787315,7662831,7661124,60.9,2019,"MUNICIPALIDAD PROVINCIAL DE BARRANCA"
"MUNICIPALIDAD DISTRITAL DE SUPE PUERTO",4026494,5402010,4950901,4773553,4770366,4568405,4557110,84.6,2019,"MUNICIPALIDAD PROVINCIAL DE BARRANCA"
"MUNICIPALIDAD PROVINCIAL DE CAJATAMBO",1694766,3995796,3341895,3312956,3234511,3230676,3230676,80.9,2019,"150301-301299: MUNICIPALIDAD PROVINCIAL DE CAJATAMBO"
"MUNICIPALIDAD DISTRITAL DE COPA",679145,726568,617854,617854,617854,617854,617754,85,2019,"150301-301299: MUNICIPALIDAD PROVINCIAL DE CAJATAMBO"
"MUNICIPALIDAD DISTRITAL DE GORGOR",1058270,3996741,3652082,3519572,3158468,3158468,3158468,79,2019,"150301-301299: MUNICIPALIDAD PROVINCIAL DE CAJATAMBO"
"MUNICIPALIDAD DISTRITAL DE HUANCAPON",3011753,1107573,1006718,988869,988869,988869,988629,89.3,2019,"150301-301299: MUNICIPALIDAD PROVINCIAL DE CAJATAMBO"
"MUNICIPALIDAD DISTRITAL DE MANAS",746245,1301572,1130270,1070766,1068631,1068631,1068549,82.1,2019,"150301-301299: MUNICIPALIDAD PROVINCIAL DE CAJATAMBO"
"MUNICIPALIDAD PROVINCIAL DE CANTA",2881900,5302778,4223261,3261521,3259363,3252601,3230626,61.3,2019,"150401-301304: MUNICIPALIDAD PROVINCIAL DE CANTA"
"MUNICIPALIDAD DISTRITAL DE ARAHUAY",602763,2755832,2434095,2408493,2408073,2408073,2399867,87.4,2019,"150401-301304: MUNICIPALIDAD PROVINCIAL DE CANTA"
"MUNICIPALIDAD DISTRITAL DE HUAMANTANGA",690023,2626551,2433345,2428336,2428336,2428336,2427180,92.5,2019,"150401-301304: MUNICIPALIDAD PROVINCIAL DE CANTA"
"MUNICIPALIDAD DISTRITAL DE HUAROS",663554,1009144,877835,868097,867581,867581,846001,86,2019,"150401-301304: MUNICIPALIDAD PROVINCIAL DE CANTA"
"MUNICIPALIDAD DISTRITAL DE LACHAQUI",591532,6790459,6429018,4788148,4788148,4783483,4723039,70.4,2019,"150401-301304: MUNICIPALIDAD PROVINCIAL DE CANTA"
"MUNICIPALIDAD DISTRITAL DE SAN BUENAVENTURA",549109,1574766,913546,724594,720358,720358,669808,45.7,2019,"150401-301304: MUNICIPALIDAD PROVINCIAL DE CANTA"
"MUNICIPALIDAD DISTRITAL DE SANTA ROSA DE QUIVES",6462015,14164745,12591209,12195233,10486934,10425855,10425455,73.6,2019,"150401-301304: MUNICIPALIDAD PROVINCIAL DE CANTA"
"MUNICIPALIDAD PROVINCIAL DE CAÑETE - SAN VICENTE DE CAÑETE",42400491,63174244,52182382,44385539,39260583,34769742,34685036,55,2019,"150501-301311: MUNICIPALIDAD PROVINCIAL DE CAÑETE - SAN VICENTE DE CAÑETE"
"MUNICIPALIDAD DISTRITAL DE ASIA",23214482,36943890,26215928,21536493,21023405,19862733,19398131,53.8,2019,"150501-301311: MUNICIPALIDAD PROVINCIAL DE CAÑETE - SAN VICENTE DE CAÑETE"
"MUNICIPALIDAD DISTRITAL DE CALANGO",1689018,3392624,2923936,2555941,2420971,2238538,2184436,66,2019,"150501-301311: MUNICIPALIDAD PROVINCIAL DE CAÑETE - SAN VICENTE DE CAÑETE"
"MUNICIPALIDAD DISTRITAL DE CERRO AZUL",7704713,12085143,10854133,10303543,10145931,10064447,9870956,83.3,2019,"150501-301311: MUNICIPALIDAD PROVINCIAL DE CAÑETE - SAN VICENTE DE CAÑETE"
"MUNICIPALIDAD DISTRITAL DE CHILCA",15875342,28690111,17438033,16728639,16559655,16437353,16385204,57.3,2019,"150501-301311: MUNICIPALIDAD PROVINCIAL DE CAÑETE - SAN VICENTE DE CAÑETE"
"MUNICIPALIDAD DISTRITAL DE COAYLLO",2617887,6256256,4900970,4900970,4900969,4900969,4900969,78.3,2019,"150501-301311: MUNICIPALIDAD PROVINCIAL DE CAÑETE - SAN VICENTE DE CAÑETE"
