"Municipalidad","PIA","PIM","Certificación","Compromiso Anual","Atención de Compromiso Mensual","Devengado","Girado","Avance %"
"MUNICIPALIDAD DISTRITAL DE MIRAFLORES",573089,869828,776564,776564,776564,776564,776564,"  89.3"
"MUNICIPALIDAD DISTRITAL DE OMAS",642024,992343,832076,813662,813262,813262,813262,"  82.0"
"MUNICIPALIDAD DISTRITAL DE PUTINZA",657951,712911,698176,698176,689384,689384,687663,"  96.7"
"MUNICIPALIDAD DISTRITAL DE QUINCHES",782340,898305,628204,628204,628204,628204,627736,"  69.9"
"MUNICIPALIDAD DISTRITAL DE QUINOCAY",646976,858735,698822,698122,690885,690885,690885,"  80.5"
"MUNICIPALIDAD DISTRITAL DE SAN JOAQUIN",589146,935874,914971,914971,914741,914741,914741,"  97.7"
"MUNICIPALIDAD DISTRITAL DE SAN PEDRO DE PILAS",545751,1011313,732698,732437,732087,732087,731259,"  72.4"
"MUNICIPALIDAD DISTRITAL DE TANTA",788337,1274619,1098436,1098436,1098436,1098436,1098436,"  86.2"
"MUNICIPALIDAD DISTRITAL DE TAURIPAMPA",611413,1028414,810161,810161,810161,810161,810161,"  78.8"
"MUNICIPALIDAD DISTRITAL DE TOMAS",2113229,6725678,6636249,6437313,1630092,1630092,1630092,"  24.2"
"MUNICIPALIDAD DISTRITAL DE TUPE",770132,1076911,961050,939980,911894,906947,896815,"  84.2"
"MUNICIPALIDAD DISTRITAL DE VIÑAC",1332790,1523669,1442053,1441522,1421222,1398045,1397421,"  91.8"
"MUNICIPALIDAD DISTRITAL DE VITIS",752476,1233258,1211701,1192164,989090,941226,938726,"  76.3"
