"Resultados a nivel de distrito, de la Evaluación Censal de Estudiantes 2016 - Cuarto de primaria",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,Comprensión Lectora,,,,,,,,Matemática,,,,,,,
CODGEO,REGION,PROVINCIA,DISTRITO,Cobertura ie,Cobertura estudiantes,N° Estud. Previo al inicio,N° Estud.      En inicio,N° Estud. En proceso,N° Estud. Satisfactorio,% Previo al inicio,% En inicio,% En proceso,% Satisfactorio,N° Estud. Previo al inicio,N° Estud.      En inicio,N° Estud. En proceso,N° Estud. Satisfactorio,% Previo al inicio,% En inicio,% En proceso,% Satisfactorio
050602,AYACUCHO,LUCANAS,AUCARA,100.0,100.0,0,0,3,3,0.0,0.0,50.0,50.0,0,0,3,3,0.0,0.0,50.0,50.0
050603,AYACUCHO,LUCANAS,CABANA,100.0,100.0,0,5,8,2,0.0,33.3,53.3,13.3,2,3,5,5,13.3,20.0,33.3,33.3
050604,AYACUCHO,LUCANAS,CARMEN SALCEDO,100.0,100.0,0,3,10,6,0.0,15.8,52.6,31.6,0,4,10,5,0.0,21.1,52.6,26.3
050605,AYACUCHO,LUCANAS,CHAVIÑA,100.0,100.0,1,2,2,4,11.1,22.2,22.2,44.4,1,2,4,2,11.1,22.2,44.4,22.2
050606,AYACUCHO,LUCANAS,CHIPAO,100.0,100.0,5,12,13,18,10.3,25.0,27.3,37.5,7,10,12,19,14.4,20.8,25.3,39.5
050607,AYACUCHO,LUCANAS,HUAC-HUAS,100.0,100.0,0,2,3,0,0.0,40.0,60.0,0.0,0,1,2,2,0.0,20.0,40.0,40.0
050608,AYACUCHO,LUCANAS,LARAMATE,100.0,100.0,1,6,7,3,5.9,35.3,41.2,17.6,2,3,10,2,11.8,17.6,58.8,11.8
050609,AYACUCHO,LUCANAS,LEONCIO PRADO,100.0,100.0,0,1,3,1,0.0,20.0,60.0,20.0,0,0,5,0,0.0,0.0,100.0,0.0
050611,AYACUCHO,LUCANAS,LUCANAS,100.0,100.0,7,12,7,4,23.3,40.0,23.3,13.3,6,11,9,4,20.0,36.7,30.0,13.3
050612,AYACUCHO,LUCANAS,OCAÑA,100.0,100.0,1,4,6,2,7.7,30.8,46.2,15.4,3,5,4,1,23.1,38.5,30.8,7.7
050613,AYACUCHO,LUCANAS,OTOCA,100.0,100.0,0,5,7,1,0.0,38.5,53.8,7.7,0,1,7,5,0.0,7.7,53.8,38.5
050614,AYACUCHO,LUCANAS,SAISA,100.0,100.0,0,0,0,1,0.0,0.0,0.0,100.0,0,0,1,0,0.0,0.0,100.0,0.0
050615,AYACUCHO,LUCANAS,SAN CRISTOBAL,100.0,100.0,0,7,3,0,0.0,70.0,30.0,0.0,1,2,5,2,10.0,20.0,50.0,20.0
050616,AYACUCHO,LUCANAS,SAN JUAN,100.0,100.0,2,2,0,3,28.6,28.6,0.0,42.9,2,2,2,1,28.6,28.6,28.6,14.3
050617,AYACUCHO,LUCANAS,SAN PEDRO,100.0,100.0,15,11,3,2,48.4,35.5,9.7,6.5,9,15,4,3,29.0,48.4,12.9,9.7
050619,AYACUCHO,LUCANAS,SANCOS,100.0,98.6,9,18,22,21,13.0,25.9,31.1,30.0,11,14,27,18,15.8,20.1,38.5,25.6
050621,AYACUCHO,LUCANAS,SANTA LUCIA,100.0,93.8,1,5,6,3,6.7,33.3,40.0,20.0,1,7,4,3,6.7,46.7,26.7,20.0
050701,AYACUCHO,PARINACOCHAS,CORACORA,100.0,99.1,16,49,87,74,7.1,21.9,38.4,32.6,7,53,99,67,3.1,23.5,43.8,29.6
050702,AYACUCHO,PARINACOCHAS,CHUMPI,100.0,100.0,3,12,10,1,11.5,46.2,38.5,3.8,3,5,9,9,11.5,19.2,34.6,34.6
050703,AYACUCHO,PARINACOCHAS,CORONEL CASTAÑEDA,100.0,100.0,5,10,1,0,31.3,62.5,6.3,0.0,3,10,3,0,18.8,62.5,18.8,0.0
050704,AYACUCHO,PARINACOCHAS,PACAPAUSA,100.0,100.0,0,4,2,4,0.0,40.0,20.0,40.0,0,1,5,4,0.0,10.0,50.0,40.0
050705,AYACUCHO,PARINACOCHAS,PULLO,100.0,97.2,8,24,43,31,7.6,22.3,40.8,29.2,6,21,48,30,5.8,20.3,45.7,28.2
050706,AYACUCHO,PARINACOCHAS,PUYUSCA,100.0,91.7,1,8,11,4,4.2,33.3,45.8,16.7,1,7,13,3,4.2,30.6,52.8,12.5
050707,AYACUCHO,PARINACOCHAS,SAN FRANCISCO DE RAVACAYCO,100.0,100.0,0,4,1,1,0.0,66.7,16.7,16.7,1,2,3,0,16.7,33.3,50.0,0.0
050801,AYACUCHO,PÁUCAR DEL SARA SARA,PAUSA,100.0,97.9,2,9,19,16,4.5,19.5,41.2,34.9,1,12,26,8,2.1,26.3,54.3,17.2
050802,AYACUCHO,PÁUCAR DEL SARA SARA,COLTA,100.0,100.0,4,8,2,0,28.6,57.1,14.3,0.0,6,6,2,0,42.9,42.9,14.3,0.0
050803,AYACUCHO,PÁUCAR DEL SARA SARA,CORCULLA,100.0,100.0,1,3,0,2,16.7,50.0,0.0,33.3,0,5,0,1,0.0,83.3,0.0,16.7
050804,AYACUCHO,PÁUCAR DEL SARA SARA,LAMPA,100.0,100.0,2,7,18,6,6.1,21.2,54.5,18.2,1,6,21,5,3.0,18.2,63.6,15.2
050805,AYACUCHO,PÁUCAR DEL SARA SARA,MARCABAMBA,100.0,100.0,0,2,3,2,0.0,28.6,42.9,28.6,0,0,5,2,0.0,0.0,71.4,28.6
050806,AYACUCHO,PÁUCAR DEL SARA SARA,OYOLO,100.0,100.0,10,12,4,2,35.7,42.9,14.3,7.1,8,11,9,0,28.6,39.3,32.1,0.0
050809,AYACUCHO,PÁUCAR DEL SARA SARA,SAN JOSE DE USHUA,100.0,100.0,0,2,2,1,0.0,40.0,40.0,20.0,0,3,2,0,0.0,60.0,40.0,0.0
050901,AYACUCHO,SUCRE,QUEROBAMBA,100.0,100.0,2,5,17,16,5.0,12.5,42.5,40.0,3,4,17,16,7.5,10.0,42.5,40.0
050902,AYACUCHO,SUCRE,BELEN,100.0,100.0,0,4,2,0,0.0,66.7,33.3,0.0,1,5,0,0,16.7,83.3,0.0,0.0
050903,AYACUCHO,SUCRE,CHALCOS,100.0,100.0,0,3,2,0,0.0,60.0,40.0,0.0,1,3,1,0,20.0,60.0,20.0,0.0
050904,AYACUCHO,SUCRE,CHILCAYOC,100.0,100.0,1,2,0,2,20.0,40.0,0.0,40.0,0,2,2,1,0.0,40.0,40.0,20.0
050905,AYACUCHO,SUCRE,HUACAÑA,100.0,100.0,2,0,0,3,40.0,0.0,0.0,60.0,0,2,1,2,0.0,40.0,20.0,40.0
050907,AYACUCHO,SUCRE,PAICO,100.0,100.0,2,3,1,0,33.3,50.0,16.7,0.0,3,2,1,0,50.0,33.3,16.7,0.0
050909,AYACUCHO,SUCRE,SAN SALVADOR DE QUIJE,100.0,100.0,4,5,2,0,36.4,45.5,18.2,0.0,4,4,3,0,36.4,36.4,27.3,0.0
051001,AYACUCHO,VÍCTOR FAJARDO,HUANCAPI,100.0,100.0,0,3,4,2,0.0,33.3,44.4,22.2,3,0,3,3,33.3,0.0,33.3,33.3
051003,AYACUCHO,VÍCTOR FAJARDO,APONGO,100.0,100.0,1,2,2,2,14.3,28.6,28.6,28.6,0,2,3,2,0.0,28.6,42.9,28.6
051005,AYACUCHO,VÍCTOR FAJARDO,CANARIA,100.0,100.0,1,14,19,10,2.5,31.4,43.9,22.1,1,8,24,9,2.3,19.5,56.2,22.0
051007,AYACUCHO,VÍCTOR FAJARDO,COLCA,100.0,100.0,0,0,4,10,0.0,0.0,28.6,71.4,0,0,6,8,0.0,0.0,42.9,57.1
051009,AYACUCHO,VÍCTOR FAJARDO,HUANCARAYLLA,100.0,100.0,9,15,11,3,24.5,39.3,27.9,8.3,9,14,12,3,24.1,36.6,31.4,7.9
051010,AYACUCHO,VÍCTOR FAJARDO,HUAYA,100.0,100.0,2,18,12,7,5.1,46.2,30.7,18.0,2,13,19,5,5.2,33.4,48.6,12.8
051011,AYACUCHO,VÍCTOR FAJARDO,SARHUA,100.0,100.0,14,16,0,0,46.7,53.3,0.0,0.0,11,15,4,0,36.7,50.0,13.3,0.0
051012,AYACUCHO,VÍCTOR FAJARDO,VILCANCHOS,100.0,100.0,8,5,1,0,57.1,35.7,7.1,0.0,12,1,1,0,84.6,7.7,7.7,0.0
051101,AYACUCHO,VILCASHUAMÁN,VILCAS HUAMAN,100.0,92.9,1,9,4,0,8.2,61.2,30.6,0.0,6,2,6,0,39.8,15.3,44.9,0.0
051103,AYACUCHO,VILCASHUAMÁN,CARHUANCA,100.0,100.0,3,3,1,2,33.3,33.3,11.1,22.2,2,3,3,1,22.2,33.3,33.3,11.1
051104,AYACUCHO,VILCASHUAMÁN,CONCEPCION,100.0,97.6,5,17,17,2,11.9,41.3,41.3,5.6,5,9,25,3,11.9,21.4,59.5,7.1
051105,AYACUCHO,VILCASHUAMÁN,HUAMBALPA,100.0,94.4,4,7,7,0,23.6,36.8,39.6,0.0,2,8,8,0,11.1,43.1,45.8,0.0
051107,AYACUCHO,VILCASHUAMÁN,SAURAMA,100.0,100.0,5,1,2,0,62.5,12.5,25.0,0.0,3,4,1,0,37.5,50.0,12.5,0.0
051108,AYACUCHO,VILCASHUAMÁN,VISCHONGO,100.0,95.5,2,20,32,12,3.0,30.4,48.1,18.5,4,9,39,13,6.3,14.4,59.0,20.3
060101,CAJAMARCA,CAJAMARCA,CAJAMARCA,100.0,98.3,181,1014,1657,1678,4.0,22.4,36.6,37.0,174,900,2143,1311,3.8,19.9,47.3,29.0
060102,CAJAMARCA,CAJAMARCA,ASUNCION,100.0,97.4,17,59,54,26,11.0,37.9,34.3,16.8,15,43,62,36,9.8,27.5,39.4,23.2
060103,CAJAMARCA,CAJAMARCA,CHETILLA,100.0,98.9,23,40,14,11,26.1,45.2,16.2,12.5,23,28,25,12,26.4,31.3,28.7,13.6
060104,CAJAMARCA,CAJAMARCA,COSPAN,100.0,95.7,61,60,34,8,37.5,36.8,20.6,5.1,58,49,49,7,35.3,30.0,30.1,4.6
060105,CAJAMARCA,CAJAMARCA,ENCAÑADA,97.3,95.0,101,171,87,22,26.5,44.9,23.0,5.7,88,139,112,41,23.0,36.6,29.5,10.9
060106,CAJAMARCA,CAJAMARCA,JESUS,100.0,98.7,84,157,102,48,21.5,40.2,26.0,12.2,113,97,132,49,28.9,24.9,33.8,12.5
060107,CAJAMARCA,CAJAMARCA,LLACANORA,100.0,100.0,12,22,29,12,16.0,29.4,38.7,16.0,11,14,40,10,14.6,18.7,53.4,13.3
060108,CAJAMARCA,CAJAMARCA,LOS BAÑOS DEL INCA,100.0,97.7,49,214,226,112,8.1,35.6,37.7,18.6,52,134,291,124,8.6,22.3,48.5,20.6
060109,CAJAMARCA,CAJAMARCA,MAGDALENA,100.0,98.6,44,63,70,40,20.3,28.9,32.3,18.5,39,41,88,50,18.0,18.6,40.3,23.2
060110,CAJAMARCA,CAJAMARCA,MATARA,100.0,100.0,10,20,16,15,16.4,32.8,26.3,24.6,12,16,23,10,19.7,26.2,37.7,16.4
060111,CAJAMARCA,CAJAMARCA,NAMORA,100.0,96.6,51,87,53,17,24.4,42.1,25.3,8.2,39,60,77,32,18.6,29.1,36.9,15.4
060112,CAJAMARCA,CAJAMARCA,SAN JUAN,100.0,96.1,28,28,13,7,36.9,36.4,17.4,9.2,22,27,16,11,28.3,35.7,21.4,14.6
060201,CAJAMARCA,CAJABAMBA,CAJABAMBA,97.4,89.0,77,207,189,181,11.8,31.6,28.9,27.6,81,149,282,143,12.4,22.7,43.1,21.8
060202,CAJAMARCA,CAJABAMBA,CACHACHI,100.0,95.2,170,266,147,104,24.8,38.6,21.4,15.2,169,171,236,112,24.6,24.9,34.3,16.2
060203,CAJAMARCA,CAJABAMBA,CONDEBAMBA,100.0,98.6,77,92,99,29,26.0,30.8,33.4,9.9,85,74,113,24,28.7,25.0,38.1,8.2
060204,CAJAMARCA,CAJABAMBA,SITACOCHA,100.0,96.5,58,79,44,19,29.1,39.4,22.2,9.3,50,76,59,15,24.9,38.0,29.4,7.7
060301,CAJAMARCA,CELENDÍN,CELENDIN,100.0,97.4,59,153,169,190,10.4,26.8,29.6,33.2,47,115,235,175,8.2,20.1,41.1,30.7
060302,CAJAMARCA,CELENDÍN,CHUMUCH,100.0,97.1,35,22,10,2,50.2,31.9,15.0,2.9,27,19,20,3,38.6,27.8,29.2,4.3
060303,CAJAMARCA,CELENDÍN,CORTEGANA,100.0,100.0,54,51,38,10,35.2,33.4,24.8,6.5,36,37,58,22,23.5,24.2,37.9,14.4
060304,CAJAMARCA,CELENDÍN,HUASMIN,100.0,94.8,42,66,36,11,27.0,42.7,23.2,7.2,31,44,62,17,20.2,28.7,40.1,11.0
060305,CAJAMARCA,CELENDÍN,JORGE CHAVEZ,100.0,87.5,1,3,2,1,14.3,42.9,28.6,14.3,0,1,7,0,0.0,14.3,85.7,0.0
060306,CAJAMARCA,CELENDÍN,JOSE GALVEZ,100.0,85.3,0,11,11,12,0.0,32.8,32.6,34.6,0,6,6,22,0.0,17.6,18.2,64.2
060307,CAJAMARCA,CELENDÍN,MIGUEL IGLESIAS,100.0,99.0,32,44,17,3,33.3,45.8,17.7,3.1,16,33,37,10,17.1,34.0,38.5,10.4
060308,CAJAMARCA,CELENDÍN,OXAMARCA,100.0,98.2,53,40,17,2,47.2,35.7,15.3,1.8,46,39,23,3,41.3,35.0,20.9,2.7
060309,CAJAMARCA,CELENDÍN,SOROCHUCO,100.0,97.6,32,34,48,14,25.2,26.4,37.4,11.0,32,31,34,30,25.2,24.7,26.3,23.8
060310,CAJAMARCA,CELENDÍN,SUCRE,100.0,92.7,27,40,24,19,24.5,36.1,21.9,17.5,24,33,36,17,22.0,29.7,33.0,15.3
060311,CAJAMARCA,CELENDÍN,UTCO,100.0,90.0,3,5,2,0,33.3,44.4,22.2,0.0,6,3,1,0,55.6,33.3,11.1,0.0
060312,CAJAMARCA,CELENDÍN,LA LIBERTAD DE PALLAN,100.0,97.9,30,54,45,17,20.6,36.7,31.0,11.6,20,48,60,18,13.7,32.9,41.0,12.3
060401,CAJAMARCA,CHOTA,CHOTA,95.0,90.0,63,165,350,229,7.8,20.5,43.4,28.3,40,107,334,326,4.9,13.2,41.4,40.4
060402,CAJAMARCA,CHOTA,ANGUIA,100.0,94.3,7,21,32,11,10.4,29.2,45.5,14.9,9,16,25,21,12.3,22.0,35.5,30.1
060403,CAJAMARCA,CHOTA,CHADIN,100.0,100.0,9,30,19,4,14.5,48.4,30.6,6.5,7,22,30,3,11.3,35.5,48.4,4.8
060404,CAJAMARCA,CHOTA,CHIGUIRIP,100.0,93.0,7,17,16,17,12.2,29.7,27.6,30.5,6,7,26,18,11.2,12.2,45.0,31.6
060405,CAJAMARCA,CHOTA,CHIMBAN,100.0,92.9,7,14,18,3,16.4,33.6,42.9,7.1,3,10,24,5,8.2,23.7,56.0,12.1
060406,CAJAMARCA,CHOTA,CHOROPAMPA,100.0,97.3,0,4,19,13,0.0,11.7,52.3,36.0,1,2,13,20,3.1,6.3,36.0,54.5
060407,CAJAMARCA,CHOTA,COCHABAMBA,100.0,98.9,8,28,36,16,9.1,31.9,41.1,17.8,4,24,29,31,4.5,27.3,33.1,35.1
060408,CAJAMARCA,CHOTA,CONCHAN,100.0,100.0,23,46,45,11,18.4,36.8,36.0,8.8,12,37,50,26,9.6,29.7,39.9,20.8
060409,CAJAMARCA,CHOTA,HUAMBOS,100.0,95.9,15,30,48,31,12.0,24.1,38.7,25.3,17,13,49,44,13.8,10.9,39.5,35.9
060410,CAJAMARCA,CHOTA,LAJAS,100.0,97.1,11,66,84,44,5.6,32.3,40.8,21.3,7,48,78,71,3.6,23.5,38.2,34.7
060411,CAJAMARCA,CHOTA,LLAMA,100.0,98.1,11,18,33,44,10.9,16.8,31.0,41.3,6,25,35,39,5.7,23.5,33.4,37.4
060412,CAJAMARCA,CHOTA,MIRACOSTA,100.0,96.6,13,10,6,0,44.8,34.5,20.7,0.0,15,7,3,4,51.7,24.1,10.3,13.8
060413,CAJAMARCA,CHOTA,PACCHA,100.0,96.5,5,27,30,23,6.0,31.5,35.3,27.2,4,14,39,27,4.8,17.0,46.1,32.1
060414,CAJAMARCA,CHOTA,PION,100.0,100.0,5,8,2,0,33.3,53.3,13.3,0.0,5,6,4,0,33.3,40.0,26.7,0.0
060415,CAJAMARCA,CHOTA,QUEROCOTO,100.0,97.2,43,62,46,28,24.1,34.8,25.6,15.5,40,48,62,28,22.6,26.9,34.9,15.5
060416,CAJAMARCA,CHOTA,SAN JUAN DE LICUPIS,100.0,100.0,0,2,0,0,0.0,100.0,0.0,0.0,1,0,1,0,50.0,0.0,50.0,0.0
060417,CAJAMARCA,CHOTA,TACABAMBA,100.0,97.5,34,114,82,47,12.4,41.1,29.6,16.9,22,70,127,57,8.0,25.4,45.9,20.7
060418,CAJAMARCA,CHOTA,TOCMOCHE,100.0,87.5,5,3,0,0,57.1,42.9,0.0,0.0,1,3,3,0,14.3,42.9,42.9,0.0
060419,CAJAMARCA,CHOTA,CHALAMARCA,100.0,98.9,13,68,57,45,7.2,37.1,31.4,24.4,12,41,47,83,6.7,22.2,26.0,45.2
060501,CAJAMARCA,CONTUMAZÁ,CONTUMAZA,100.0,91.2,30,29,45,33,21.9,21.2,33.0,23.9,21,26,56,34,15.3,19.2,40.7,24.8
060502,CAJAMARCA,CONTUMAZÁ,CHILETE,100.0,98.1,1,15,22,14,1.9,29.3,41.2,27.7,1,9,23,19,2.0,17.7,44.9,35.5
060503,CAJAMARCA,CONTUMAZÁ,CUPISNIQUE,100.0,100.0,0,2,6,0,0.0,25.0,75.0,0.0,0,5,3,0,0.0,62.5,37.5,0.0
060504,CAJAMARCA,CONTUMAZÁ,GUZMANGO,100.0,93.6,9,15,15,8,19.2,31.9,31.9,17.0,0,17,15,15,0.0,36.2,31.9,31.9
060505,CAJAMARCA,CONTUMAZÁ,SAN BENITO,100.0,98.0,4,11,19,15,8.9,22.4,37.6,31.0,2,9,22,16,4.1,18.7,43.7,33.5
060506,CAJAMARCA,CONTUMAZÁ,SANTA CRUZ DE TOLED,100.0,100.0,1,7,1,4,7.7,53.8,7.7,30.8,0,1,8,4,0.0,7.7,61.5,30.8
060507,CAJAMARCA,CONTUMAZÁ,TANTARICA,100.0,97.5,2,6,24,8,5.6,13.9,60.3,20.2,0,5,20,15,0.0,11.6,49.9,38.5
060508,CAJAMARCA,CONTUMAZÁ,YONAN,100.0,97.0,0,11,27,63,0.0,10.6,26.4,63.0,1,5,17,77,1.0,5.4,17.1,76.5
060601,CAJAMARCA,CUTERVO,CUTERVO,100.0,98.3,104,248,282,287,11.3,27.0,30.6,31.1,85,180,350,305,9.3,19.6,38.0,33.2
060602,CAJAMARCA,CUTERVO,CALLAYUC,100.0,97.0,54,65,46,35,27.0,32.6,22.8,17.6,40,57,65,39,19.8,28.3,32.3,19.5
060603,CAJAMARCA,CUTERVO,CHOROS,100.0,96.8,8,7,12,4,24.7,23.1,39.3,12.9,8,4,13,5,26.9,14.0,43.0,16.1
060604,CAJAMARCA,CUTERVO,CUJILLO,100.0,100.0,16,19,8,8,31.4,37.3,15.7,15.7,7,26,8,10,13.7,51.0,15.7,19.6
060605,CAJAMARCA,CUTERVO,LA RAMADA,100.0,99.0,15,28,21,32,15.6,28.7,22.3,33.4,18,16,36,26,18.7,17.0,37.2,27.1
060606,CAJAMARCA,CUTERVO,PIMPINGOS,100.0,97.3,14,38,19,4,18.9,50.0,25.7,5.4,12,27,27,9,16.1,36.3,35.7,12.0
060607,CAJAMARCA,CUTERVO,QUEROCOTILLO,100.0,97.6,78,96,72,50,26.5,32.4,24.3,16.8,63,71,104,58,21.3,23.9,35.1,19.7
060608,CAJAMARCA,CUTERVO,SAN ANDRES DE CUTERVO,100.0,98.9,5,37,33,13,5.7,41.8,37.4,15.1,5,23,45,15,5.9,25.9,50.9,17.3
060609,CAJAMARCA,CUTERVO,SAN JUAN DE CUTERVO,100.0,97.9,8,12,16,11,17.2,25.9,33.3,23.6,5,8,24,10,10.6,17.0,50.3,22.0
060610,CAJAMARCA,CUTERVO,SAN LUIS DE LUCMA,100.0,100.0,8,20,21,9,13.8,34.5,36.2,15.5,8,7,21,22,13.8,12.1,36.2,37.9
060611,CAJAMARCA,CUTERVO,SANTA CRUZ,100.0,96.0,12,28,11,0,23.0,56.0,21.0,0.0,21,17,11,1,41.8,34.9,21.1,2.2
060612,CAJAMARCA,CUTERVO,SANTO DOMINGO DE LA CAPILLA,100.0,98.2,22,29,33,28,19.9,25.6,29.3,25.2,15,33,31,33,13.7,29.2,27.5,29.7
060613,CAJAMARCA,CUTERVO,SANTO TOMAS,100.0,99.4,21,65,48,34,12.8,38.6,28.6,20.1,18,36,70,45,10.5,21.3,41.6,26.6
060614,CAJAMARCA,CUTERVO,SOCOTA,100.0,98.7,24,52,54,29,15.1,32.7,34.0,18.3,16,33,68,43,10.0,20.9,42.4,26.7
060615,CAJAMARCA,CUTERVO,TORIBIO CASANOVA,100.0,87.5,4,6,6,1,25.0,34.4,34.4,6.2,5,9,2,1,28.1,53.1,12.5,6.2
060701,CAJAMARCA,HUALGAYOC,BAMBAMARCA,100.0,98.3,130,328,439,318,10.7,27.0,36.1,26.2,98,235,483,398,8.0,19.4,39.8,32.8
060702,CAJAMARCA,HUALGAYOC,CHUGUR,100.0,100.0,6,11,13,23,11.3,20.7,24.5,43.5,5,10,18,20,9.4,18.8,33.9,37.8
060703,CAJAMARCA,HUALGAYOC,HUALGAYOC,100.0,97.3,42,109,69,44,16.0,41.2,26.3,16.6,33,63,113,55,12.3,24.0,42.8,20.8
060801,CAJAMARCA,JAÉN,JAEN,100.0,97.0,138,402,597,727,7.4,21.6,32.0,39.0,152,302,743,666,8.2,16.2,39.9,35.7
060802,CAJAMARCA,JAÉN,BELLAVISTA,100.0,95.8,57,127,77,47,18.4,41.2,25.0,15.4,74,82,88,64,24.1,26.7,28.4,20.8
060803,CAJAMARCA,JAÉN,CHONTALI,100.0,94.4,15,77,87,36,6.9,35.7,40.7,16.7,17,42,111,45,8.1,19.6,51.5,20.8
060804,CAJAMARCA,JAÉN,COLASAY,100.0,95.1,21,42,40,61,12.9,25.3,24.6,37.3,19,36,58,52,11.4,22.0,35.1,31.5
060805,CAJAMARCA,JAÉN,HUABAL,100.0,97.2,42,74,49,12,23.7,41.7,27.6,7.0,33,58,70,18,18.3,32.5,39.3,10.0
060806,CAJAMARCA,JAÉN,LAS PIRIAS,100.0,93.8,6,29,26,5,8.5,44.6,39.1,7.8,9,24,26,7,13.3,36.2,39.5,10.9
060807,CAJAMARCA,JAÉN,POMAHUACA,100.0,97.5,38,53,48,22,23.6,33.0,29.7,13.6,34,50,58,18,21.5,31.2,36.2,11.1
060808,CAJAMARCA,JAÉN,PUCARA,100.0,92.1,34,47,31,28,24.4,33.5,22.1,19.9,36,34,47,23,25.6,24.4,33.3,16.7
060809,CAJAMARCA,JAÉN,SALLIQUE,100.0,98.7,38,56,37,28,23.9,35.3,23.1,17.7,35,30,59,35,22.0,18.7,37.1,22.2
060810,CAJAMARCA,JAÉN,SAN FELIPE,100.0,95.7,16,33,29,14,17.5,36.2,31.3,15.1,20,34,28,10,21.3,36.8,30.7,11.2
060811,CAJAMARCA,JAÉN,SAN JOSE DEL ALTO,100.0,97.8,11,43,45,35,8.3,31.7,33.7,26.3,12,26,57,39,9.1,19.6,42.6,28.8
060812,CAJAMARCA,JAÉN,SANTA ROSA,100.0,98.7,25,29,40,63,15.8,18.4,25.7,40.1,24,22,47,63,15.5,14.2,30.3,40.0
060901,CAJAMARCA,SAN IGNACIO,SAN IGNACIO,100.0,97.6,43,158,276,266,5.8,21.2,37.1,35.8,45,120,338,240,6.1,16.1,45.5,32.3
060902,CAJAMARCA,SAN IGNACIO,CHIRINOS,100.0,98.2,35,81,106,115,10.4,24.2,31.4,34.0,38,62,111,126,11.4,18.4,33.0,37.2
060903,CAJAMARCA,SAN IGNACIO,HUARANGO,100.0,98.7,34,93,89,103,10.6,29.2,27.9,32.4,41,56,107,113,12.9,17.7,33.8,35.6
060904,CAJAMARCA,SAN IGNACIO,LA COIPA,100.0,97.1,70,162,150,106,14.3,33.2,30.7,21.8,69,135,180,103,14.2,27.7,36.9,21.2
060905,CAJAMARCA,SAN IGNACIO,NAMBALLE,100.0,99.5,29,77,65,44,13.5,35.8,30.2,20.6,32,52,92,38,15.0,24.4,42.8,17.8
060906,CAJAMARCA,SAN IGNACIO,SAN JOSE DE LOURDES,100.0,97.1,45,118,114,108,11.8,30.6,29.6,28.0,43,96,151,94,11.2,24.9,39.4,24.5
060907,CAJAMARCA,SAN IGNACIO,TABACONAS,97.2,92.0,34,95,139,115,8.8,24.7,36.5,30.0,37,62,173,111,9.7,16.2,45.1,29.0
061001,CAJAMARCA,SAN MARCOS,PEDRO GALVEZ,100.0,94.6,47,83,103,119,13.4,23.6,29.2,33.8,51,64,123,114,14.6,18.3,34.8,32.3
061002,CAJAMARCA,SAN MARCOS,CHANCAY,100.0,96.9,19,25,17,4,28.7,38.8,26.0,6.5,25,16,21,3,38.5,24.2,32.4,4.9
061003,CAJAMARCA,SAN MARCOS,EDUARDO VILLANUEVA,100.0,94.2,12,19,15,6,23.7,36.3,29.2,10.8,17,16,12,7,33.2,30.9,23.2,12.7
061004,CAJAMARCA,SAN MARCOS,GREGORIO PITA,100.0,96.6,21,39,20,10,23.6,43.1,22.6,10.7,16,31,28,15,18.1,34.4,30.9,16.6
061005,CAJAMARCA,SAN MARCOS,ICHOCAN,100.0,100.0,2,9,8,3,9.1,40.9,36.4,13.7,1,2,11,8,4.5,9.1,50.0,36.4
061006,CAJAMARCA,SAN MARCOS,JOSE MANUEL QUIROZ,100.0,100.0,6,26,22,25,7.6,32.9,27.9,31.6,1,20,32,26,1.3,25.4,40.5,32.8
061007,CAJAMARCA,SAN MARCOS,JOSE SABOGAL,100.0,96.3,159,91,74,28,45.1,25.8,21.1,8.0,119,86,102,46,33.8,24.4,28.8,13.0
061101,CAJAMARCA,SAN MIGUEL,SAN MIGUEL,100.0,94.4,17,47,86,49,8.7,23.4,43.1,24.7,11,42,97,50,5.4,20.8,48.7,25.0
061102,CAJAMARCA,SAN MIGUEL,BOLIVAR,100.0,100.0,1,2,11,2,6.3,12.5,68.8,12.5,0,1,8,7,0.0,6.3,50.0,43.7
061103,CAJAMARCA,SAN MIGUEL,CALQUIS,100.0,97.5,2,15,13,10,5.6,36.9,32.5,25.0,3,0,26,12,6.3,0.0,63.7,30.0
061104,CAJAMARCA,SAN MIGUEL,CATILLUC,100.0,100.0,0,6,7,36,0.0,12.2,14.3,73.5,0,2,11,36,0.0,4.1,22.4,73.5
061105,CAJAMARCA,SAN MIGUEL,EL PRADO,100.0,95.3,2,8,15,18,4.7,18.6,34.9,41.8,2,3,19,19,4.7,7.0,44.2,44.2
061106,CAJAMARCA,SAN MIGUEL,LA FLORIDA,100.0,96.4,1,1,10,16,4.1,3.6,35.1,57.3,0,2,11,15,0.0,8.8,39.7,51.5
061107,CAJAMARCA,SAN MIGUEL,LLAPA,100.0,95.7,2,10,11,47,2.9,14.0,16.1,67.0,0,3,14,53,0.0,4.3,20.5,75.2
061108,CAJAMARCA,SAN MIGUEL,NANCHOC,100.0,100.0,3,7,8,2,15.0,35.0,40.0,10.0,6,5,6,3,30.0,25.0,30.0,15.0
061109,CAJAMARCA,SAN MIGUEL,NIEPOS,100.0,91.1,2,18,35,1,3.6,32.8,61.7,2.0,2,8,39,7,3.9,13.4,69.9,12.8
