"Resultados a nivel de distrito, de la Evaluación Censal de Estudiantes 2016 - Cuarto de primaria",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,Comprensión Lectora,,,,,,,,Matemática,,,,,,,
CODGEO,REGION,PROVINCIA,DISTRITO,Cobertura ie,Cobertura estudiantes,N° Estud. Previo al inicio,N° Estud.      En inicio,N° Estud. En proceso,N° Estud. Satisfactorio,% Previo al inicio,% En inicio,% En proceso,% Satisfactorio,N° Estud. Previo al inicio,N° Estud.      En inicio,N° Estud. En proceso,N° Estud. Satisfactorio,% Previo al inicio,% En inicio,% En proceso,% Satisfactorio
010505,AMAZONAS,LUYA,CONILA,100.0,95.7,1,4,13,5,4.5,18.2,54.5,22.7,3,4,8,7,13.6,18.2,36.4,31.8
010507,AMAZONAS,LUYA,LONGUITA,100.0,95.5,0,3,4,15,0.0,13.6,19.3,67.0,0,1,13,9,0.0,4.5,56.8,38.6
010508,AMAZONAS,LUYA,LONYA CHICO,100.0,100.0,3,7,3,2,20.0,46.7,20.0,13.3,1,7,5,2,6.7,46.7,33.3,13.3
010509,AMAZONAS,LUYA,LUYA,100.0,98.9,3,39,33,16,3.3,42.4,36.6,17.6,4,20,48,19,4.4,22.2,52.5,21.0
010510,AMAZONAS,LUYA,LUYA VIEJO,100.0,100.0,0,0,6,4,0.0,0.0,60.0,40.0,0,0,4,6,0.0,0.0,40.0,60.0
010511,AMAZONAS,LUYA,MARIA,100.0,93.3,0,4,5,5,0.0,28.6,35.7,35.7,0,3,9,3,0.0,21.4,57.1,21.4
010512,AMAZONAS,LUYA,OCALLI,100.0,97.1,8,20,31,11,11.2,29.0,43.7,16.1,5,25,32,8,7.1,36.3,45.1,11.4
010513,AMAZONAS,LUYA,OCUMAL,100.0,98.3,13,16,20,10,22.3,27.3,33.4,16.9,12,19,15,14,20.4,31.0,25.1,23.4
010514,AMAZONAS,LUYA,PISUQUIA,100.0,98.2,2,45,39,26,1.8,39.7,35.1,23.4,8,26,50,28,7.1,23.5,44.2,25.1
010515,AMAZONAS,LUYA,PROVIDENCIA,100.0,94.1,6,6,11,10,17.6,18.8,33.5,30.0,5,7,12,10,14.7,20.6,36.5,28.2
010516,AMAZONAS,LUYA,SAN CRISTOBAL,100.0,100.0,1,1,4,4,10.0,10.0,40.0,40.0,0,1,4,5,0.0,10.0,40.0,50.0
010517,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,100.0,100.0,0,2,6,1,0.0,22.2,66.7,11.1,0,4,4,1,0.0,44.4,44.4,11.1
010519,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,100.0,100.0,0,2,2,1,0.0,40.0,40.0,20.0,0,1,3,1,0.0,20.0,60.0,20.0
010520,AMAZONAS,LUYA,SANTA CATALINA,100.0,100.0,10,18,14,4,21.7,39.1,30.4,8.7,12,12,19,3,26.1,26.1,41.3,6.5
010521,AMAZONAS,LUYA,SANTO TOMAS,100.0,98.5,14,16,20,14,21.8,25.3,30.7,22.3,9,14,28,13,14.3,21.9,43.1,20.6
010522,AMAZONAS,LUYA,TINGO,100.0,92.3,0,1,6,6,0.0,9.1,45.5,45.5,0,0,7,6,0.0,0.0,54.5,45.5
010523,AMAZONAS,LUYA,TRITA,100.0,100.0,3,11,10,4,10.7,39.3,35.7,14.3,4,4,18,2,14.3,14.3,64.3,7.1
010601,AMAZONAS,RODRÍGUEZ DE MENDOZA,SAN NICOLAS,100.0,99.2,3,15,26,76,2.5,12.7,21.8,63.0,5,16,41,59,4.3,13.4,33.7,48.6
010602,AMAZONAS,RODRÍGUEZ DE MENDOZA,CHIRIMOTO,100.0,100.0,5,12,12,7,13.9,33.3,33.3,19.4,6,12,14,4,16.7,33.3,38.9,11.1
010603,AMAZONAS,RODRÍGUEZ DE MENDOZA,COCHAMAL,100.0,100.0,0,4,5,5,0.0,28.6,35.7,35.7,0,0,4,10,0.0,0.0,28.6,71.4
010604,AMAZONAS,RODRÍGUEZ DE MENDOZA,HUAMBO,100.0,100.0,0,5,5,6,0.0,31.3,31.3,37.5,1,3,8,4,6.3,18.8,50.0,25.0
010605,AMAZONAS,RODRÍGUEZ DE MENDOZA,LIMABAMBA,100.0,100.0,0,7,10,1,0.0,38.9,55.6,5.6,1,8,8,1,5.6,44.4,44.4,5.6
010606,AMAZONAS,RODRÍGUEZ DE MENDOZA,LONGAR,100.0,96.0,0,3,11,11,0.0,12.5,42.1,45.3,0,3,16,6,0.0,12.8,62.9,24.3
010609,AMAZONAS,RODRÍGUEZ DE MENDOZA,OMIA,100.0,96.3,33,86,79,45,13.7,35.3,32.5,18.4,36,66,96,45,14.9,27.2,39.4,18.5
010610,AMAZONAS,RODRÍGUEZ DE MENDOZA,SANTA ROSA,100.0,100.0,0,2,2,1,0.0,40.0,40.0,20.0,0,1,1,3,0.0,20.0,20.0,60.0
010612,AMAZONAS,RODRÍGUEZ DE MENDOZA,VISTA ALEGRE,100.0,100.0,5,14,9,5,15.2,42.4,27.3,15.2,6,10,14,3,18.2,30.3,42.4,9.1
010701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,100.0,95.7,88,291,403,244,8.6,28.4,39.2,23.8,85,210,453,280,8.2,20.4,44.1,27.3
010702,AMAZONAS,UTCUBAMBA,CAJARURO,100.0,97.6,44,134,147,90,10.6,32.3,35.5,21.7,50,99,168,97,12.0,24.0,40.6,23.4
010703,AMAZONAS,UTCUBAMBA,CUMBA,100.0,98.7,18,43,56,36,12.0,28.0,36.6,23.4,16,37,64,36,10.7,23.9,41.7,23.7
010704,AMAZONAS,UTCUBAMBA,EL MILAGRO,100.0,97.5,24,28,25,4,29.9,35.1,30.3,4.7,24,26,29,2,29.3,32.5,35.7,2.5
010705,AMAZONAS,UTCUBAMBA,JAMALCA,100.0,97.3,13,49,40,12,11.1,43.1,35.1,10.8,21,39,44,9,18.3,34.8,38.7,8.2
010706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,100.0,98.0,9,37,51,50,6.0,25.4,34.7,33.9,17,23,52,55,11.7,15.8,35.2,37.4
010707,AMAZONAS,UTCUBAMBA,YAMON,100.0,98.4,9,16,18,18,14.8,26.6,29.9,28.8,10,15,25,11,16.4,24.8,40.6,18.2
020101,ÁNCASH,HUARAZ,HUARAZ,100.0,98.9,50,234,338,372,5.1,23.5,34.0,37.4,52,199,408,335,5.3,20.0,41.0,33.7
020102,ÁNCASH,HUARAZ,COCHABAMBA,100.0,94.1,13,4,12,4,38.8,12.6,36.4,12.1,13,6,8,7,38.6,16.6,23.9,21.0
020104,ÁNCASH,HUARAZ,HUANCHAY,100.0,88.5,7,7,6,6,27.0,27.0,22.6,23.4,5,8,9,4,20.6,29.3,35.7,14.4
020105,ÁNCASH,HUARAZ,INDEPENDENCIA,100.0,98.8,54,306,524,495,3.9,22.2,38.0,35.9,69,251,641,419,5.0,18.2,46.4,30.4
020106,ÁNCASH,HUARAZ,JANGAS,100.0,100.0,15,16,10,5,32.0,34.8,22.1,11.2,19,16,11,0,40.4,35.4,24.2,0.0
020107,ÁNCASH,HUARAZ,LA LIBERTAD,100.0,100.0,2,11,3,2,11.1,61.1,16.7,11.1,5,8,4,1,27.8,44.4,22.2,5.6
020108,ÁNCASH,HUARAZ,OLLEROS,100.0,100.0,11,10,5,0,42.3,38.5,19.2,0.0,10,11,4,1,38.5,42.3,15.4,3.8
020109,ÁNCASH,HUARAZ,PAMPAS GRANDE,100.0,90.9,2,6,2,1,20.0,50.0,20.0,10.0,4,4,1,1,40.0,40.0,10.0,10.0
020110,ÁNCASH,HUARAZ,PARIACOTO,100.0,100.0,44,33,20,8,41.9,31.4,19.1,7.6,45,27,29,4,42.8,25.7,27.6,3.8
020111,ÁNCASH,HUARAZ,PIRA,100.0,95.6,40,22,5,1,58.2,33.0,7.4,1.5,45,16,6,1,65.6,24.1,8.9,1.5
020112,ÁNCASH,HUARAZ,TARICA,100.0,100.0,17,37,23,21,17.4,37.8,23.5,21.4,13,28,44,13,13.3,28.6,44.9,13.3
020201,ÁNCASH,AIJA,AIJA,100.0,100.0,11,6,9,10,30.5,16.7,25.0,27.8,9,8,12,7,25.0,22.2,33.3,19.5
020202,ÁNCASH,AIJA,CORIS,100.0,93.3,14,12,3,1,46.3,39.7,10.7,3.3,15,10,4,1,49.8,32.8,14.0,3.3
020203,ÁNCASH,AIJA,HUACLLAN,100.0,100.0,0,2,4,1,0.0,28.6,57.1,14.3,1,2,3,1,14.3,28.6,42.9,14.3
020204,ÁNCASH,AIJA,LA MERCED,100.0,100.0,4,16,5,4,14.2,53.9,17.7,14.2,10,9,8,2,32.8,32.3,28.0,6.9
020205,ÁNCASH,AIJA,SUCCHA,100.0,100.0,1,2,4,1,12.5,25.0,50.0,12.5,0,1,4,3,0.0,12.5,50.0,37.5
020301,ÁNCASH,ANTONIO RAIMONDI,LLAMELLIN,100.0,96.8,14,23,25,2,21.5,36.2,39.1,3.2,14,20,24,6,21.5,31.3,37.4,9.8
020302,ÁNCASH,ANTONIO RAIMONDI,ACZO,100.0,100.0,4,11,12,6,12.1,33.3,36.4,18.2,7,11,14,1,21.2,33.3,42.4,3.0
020303,ÁNCASH,ANTONIO RAIMONDI,CHACCHO,100.0,100.0,10,20,9,2,24.7,48.5,22.0,4.9,15,18,7,1,36.9,43.6,17.1,2.4
020304,ÁNCASH,ANTONIO RAIMONDI,CHINGAS,100.0,100.0,3,2,16,16,8.1,5.4,43.3,43.3,3,4,15,15,8.1,10.8,40.6,40.6
020305,ÁNCASH,ANTONIO RAIMONDI,MIRGAS,100.0,100.0,24,42,3,0,34.8,60.9,4.4,0.0,21,20,21,7,30.4,29.0,30.5,10.1
020306,ÁNCASH,ANTONIO RAIMONDI,SAN JUAN DE RONTOY,100.0,100.0,21,9,1,1,65.6,28.1,3.1,3.1,21,8,3,0,65.6,25.0,9.4,0.0
020401,ÁNCASH,ASUNCIÓN,CHACAS,100.0,97.2,11,29,43,23,10.2,27.1,40.7,22.0,12,21,51,23,11.6,19.3,47.8,21.2
020402,ÁNCASH,ASUNCIÓN,ACOCHACA,100.0,100.0,15,23,15,4,26.3,40.4,26.3,7.0,13,20,19,5,22.8,35.1,33.3,8.8
020501,ÁNCASH,BOLOGNESI,CHIQUIAN,100.0,98.8,2,13,36,29,2.5,16.5,44.5,36.4,4,12,36,28,5.1,15.3,44.4,35.2
020504,ÁNCASH,BOLOGNESI,AQUIA,100.0,100.0,2,8,14,5,6.9,27.6,48.3,17.2,2,9,14,4,6.9,31.0,48.3,13.8
020505,ÁNCASH,BOLOGNESI,CAJACAY,100.0,100.0,2,11,7,5,8.0,44.0,28.0,20.0,2,5,15,3,8.0,20.0,60.0,12.0
020507,ÁNCASH,BOLOGNESI,COLQUIOC,100.0,93.5,2,8,10,11,7.0,24.6,33.4,35.1,0,9,11,11,0.0,28.4,35.8,35.8
020508,ÁNCASH,BOLOGNESI,HUALLANCA,100.0,100.0,27,57,44,33,16.7,35.4,27.3,20.5,48,35,45,33,29.8,21.8,28.0,20.5
020509,ÁNCASH,BOLOGNESI,HUASTA,100.0,100.0,1,8,9,5,4.3,34.8,39.1,21.7,2,4,9,8,8.7,17.4,39.1,34.8
020511,ÁNCASH,BOLOGNESI,LA PRIMAVERA,100.0,100.0,3,1,1,0,60.0,20.0,20.0,0.0,3,2,0,0,60.0,40.0,0.0,0.0
020513,ÁNCASH,BOLOGNESI,PACLLON,100.0,100.0,4,3,6,1,28.6,21.4,42.9,7.1,2,5,7,0,14.3,35.7,50.0,0.0
020514,ÁNCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI,100.0,100.0,1,2,0,2,20.0,40.0,0.0,40.0,1,2,2,0,20.0,40.0,40.0,0.0
020515,ÁNCASH,BOLOGNESI,TICLLOS,100.0,100.0,1,2,6,4,7.7,15.4,46.2,30.8,0,3,7,3,0.0,23.1,53.8,23.1
020601,ÁNCASH,CARHUAZ,CARHUAZ,100.0,99.7,40,100,78,78,13.5,33.8,26.4,26.4,55,84,92,65,18.6,28.4,31.1,22.0
020602,ÁNCASH,CARHUAZ,ACOPAMPA,100.0,100.0,6,27,6,2,13.9,66.7,13.9,5.6,6,10,23,2,13.9,25.0,55.6,5.6
020603,ÁNCASH,CARHUAZ,AMASHCA,100.0,93.3,9,12,10,0,28.3,40.0,31.7,0.0,15,14,2,0,48.3,45.0,6.7,0.0
020604,ÁNCASH,CARHUAZ,ANTA,100.0,100.0,4,10,13,2,13.8,34.5,44.8,6.9,6,9,11,3,20.7,31.0,37.9,10.3
020605,ÁNCASH,CARHUAZ,ATAQUERO,100.0,89.3,21,5,2,0,75.0,17.9,7.1,0.0,23,4,0,1,82.1,14.3,0.0,3.6
020606,ÁNCASH,CARHUAZ,MARCARA,100.0,97.4,57,82,40,14,29.3,42.5,20.8,7.4,79,57,46,10,41.1,29.7,23.9,5.3
020607,ÁNCASH,CARHUAZ,PARIAHUANCA,100.0,96.2,2,6,11,6,8.0,24.0,44.0,24.0,5,6,11,3,20.0,24.0,44.0,12.0
020608,ÁNCASH,CARHUAZ,SAN MIGUEL DE ACO,100.0,100.0,3,5,3,1,25.0,41.7,25.0,8.3,1,7,3,1,8.3,58.3,25.0,8.3
020609,ÁNCASH,CARHUAZ,SHILLA,100.0,100.0,17,15,5,3,42.5,37.5,12.5,7.5,7,17,13,3,17.5,42.5,32.5,7.5
020610,ÁNCASH,CARHUAZ,TINCO,100.0,100.0,4,11,12,4,12.9,35.5,38.7,12.9,6,11,12,2,19.4,35.5,38.7,6.5
020611,ÁNCASH,CARHUAZ,YUNGAR,100.0,91.4,6,14,14,1,15.8,40.8,40.3,3.1,5,10,16,4,12.8,28.2,46.6,12.4
020701,ÁNCASH,CARLOS FERMÍN FITZCARRAL,SAN LUIS,100.0,100.0,35,82,59,37,16.5,38.3,27.8,17.4,34,69,64,45,16.2,32.6,30.1,21.2
020702,ÁNCASH,CARLOS FERMÍN FITZCARRAL,SAN NICOLAS,100.0,100.0,11,21,5,1,29.0,55.2,13.2,2.6,13,7,16,2,34.2,18.4,42.1,5.3
020703,ÁNCASH,CARLOS FERMÍN FITZCARRAL,YAUYA,100.0,98.8,46,21,14,4,53.9,24.9,16.5,4.7,46,21,12,6,54.0,24.8,14.1,7.1
020801,ÁNCASH,CASMA,CASMA,100.0,96.7,46,171,209,149,8.1,29.8,36.3,25.9,56,130,253,137,9.7,22.6,43.9,23.7
020802,ÁNCASH,CASMA,BUENA VISTA ALTA,100.0,95.9,20,21,24,8,27.7,29.0,32.5,10.8,22,15,26,9,29.7,21.1,36.2,12.9
020803,ÁNCASH,CASMA,COMANDANTE NOEL,100.0,100.0,1,9,5,4,5.3,47.4,26.3,21.1,6,7,4,2,31.6,36.9,21.1,10.5
020804,ÁNCASH,CASMA,YAUTAN,100.0,96.3,21,65,53,26,12.7,39.4,32.1,15.8,23,41,73,27,14.1,25.2,44.4,16.3
020901,ÁNCASH,CORONGO,CORONGO,100.0,100.0,0,4,10,10,0.0,16.7,41.7,41.7,1,3,10,10,4.2,12.5,41.7,41.7
020902,ÁNCASH,CORONGO,ACO,100.0,100.0,3,1,1,0,60.0,20.0,20.0,0.0,3,1,1,0,60.0,20.0,20.0,0.0
020904,ÁNCASH,CORONGO,CUSCA,100.0,100.0,6,24,9,5,13.6,54.5,20.5,11.4,5,15,17,7,11.4,34.1,38.6,15.9
020905,ÁNCASH,CORONGO,LA PAMPA,100.0,100.0,4,11,6,1,18.2,50.0,27.3,4.5,5,9,6,2,22.7,40.9,27.3,9.1
020907,ÁNCASH,CORONGO,YUPAN,100.0,100.0,4,0,1,0,80.0,0.0,20.0,0.0,3,2,0,0,60.0,40.0,0.0,0.0
021001,ÁNCASH,HUARI,HUARI,100.0,99.3,17,51,41,42,11.1,33.6,27.4,27.9,21,42,51,37,13.9,28.0,33.5,24.6
021002,ÁNCASH,HUARI,ANRA,100.0,100.0,18,11,12,3,40.9,25.0,27.3,6.8,18,10,13,3,40.9,22.7,29.6,6.8
021003,ÁNCASH,HUARI,CAJAY,100.0,93.5,12,14,6,0,37.6,44.6,17.7,0.0,14,14,3,0,45.1,44.6,10.2,0.0
021004,ÁNCASH,HUARI,CHAVIN DE HUANTAR,100.0,100.0,25,39,29,7,25.1,38.5,29.3,7.1,33,34,28,4,33.3,34.3,28.3,4.1
021005,ÁNCASH,HUARI,HUACACHI,100.0,100.0,3,11,6,1,14.3,52.4,28.6,4.8,6,4,9,2,28.5,19.1,42.9,9.5
021006,ÁNCASH,HUARI,HUACCHIS,100.0,96.2,2,13,8,3,7.7,48.3,32.1,12.0,4,2,8,12,15.4,7.9,32.3,44.5
021007,ÁNCASH,HUARI,HUACHIS,100.0,100.0,9,19,23,16,13.4,28.4,34.3,23.9,19,14,17,17,28.4,20.9,25.4,25.4
021008,ÁNCASH,HUARI,HUANTAR,100.0,100.0,7,19,3,1,23.3,63.3,10.0,3.3,9,12,7,2,30.0,40.0,23.3,6.7
021009,ÁNCASH,HUARI,MASIN,100.0,100.0,0,0,13,5,0.0,0.0,72.2,27.8,0,1,12,5,0.0,5.6,66.7,27.8
021010,ÁNCASH,HUARI,PAUCAS,100.0,97.4,19,16,1,2,50.7,41.0,2.8,5.6,20,10,5,2,53.1,27.5,13.8,5.6
021011,ÁNCASH,HUARI,PONTO,100.0,100.0,2,4,5,0,18.2,36.4,45.5,0.0,1,2,6,2,9.1,18.2,54.5,18.2
021012,ÁNCASH,HUARI,RAHUAPAMPA,100.0,94.1,0,1,11,5,0.0,6.3,62.5,31.3,0,1,13,3,0.0,6.3,75.0,18.8
021013,ÁNCASH,HUARI,RAPAYAN,100.0,100.0,10,19,8,1,26.3,50.0,21.1,2.6,6,14,12,6,15.8,36.9,31.6,15.8
021014,ÁNCASH,HUARI,SAN MARCOS,100.0,100.0,35,65,61,32,18.1,33.8,31.3,16.7,40,53,82,18,20.8,27.6,42.2,9.4
021015,ÁNCASH,HUARI,SAN PEDRO DE CHANA,100.0,93.2,16,17,10,1,35.2,39.1,23.4,2.3,17,15,4,8,38.2,33.9,9.8,18.2
021016,ÁNCASH,HUARI,UCO,100.0,100.0,1,2,2,0,20.0,40.0,40.0,0.0,1,3,0,1,20.0,60.0,0.0,20.0
021101,ÁNCASH,HUARMEY,HUARMEY,100.0,97.4,19,101,156,146,4.4,23.9,37.0,34.6,30,87,200,103,7.1,20.8,47.6,24.5
021102,ÁNCASH,HUARMEY,COCHAPETI,100.0,100.0,3,4,1,0,37.5,50.0,12.5,0.0,5,2,1,0,62.5,25.0,12.5,0.0
021103,ÁNCASH,HUARMEY,CULEBRAS,100.0,96.6,1,12,15,1,3.7,41.2,51.5,3.7,3,15,8,2,10.6,53.1,29.2,7.1
021104,ÁNCASH,HUARMEY,HUAYAN,100.0,100.0,3,7,6,5,14.3,33.3,28.6,23.8,5,8,5,3,23.8,38.1,23.8,14.3
021201,ÁNCASH,HUAYLAS,CARAZ,100.0,96.8,95,181,152,105,17.8,34.0,28.5,19.7,108,155,197,73,20.3,29.0,36.9,13.8
021202,ÁNCASH,HUAYLAS,HUALLANCA,100.0,100.0,1,5,1,2,11.1,55.6,11.1,22.2,1,5,2,1,11.1,55.6,22.2,11.1
021203,ÁNCASH,HUAYLAS,HUATA,100.0,100.0,26,4,0,0,86.7,13.3,0.0,0.0,23,7,0,0,76.7,23.3,0.0,0.0
021204,ÁNCASH,HUAYLAS,HUAYLAS,100.0,100.0,5,11,4,1,25.0,50.0,20.0,5.0,3,9,6,2,15.0,45.0,30.0,10.0
021205,ÁNCASH,HUAYLAS,MATO,100.0,100.0,5,11,5,3,20.8,45.8,20.8,12.5,9,6,8,1,37.5,25.0,33.3,4.2
021206,ÁNCASH,HUAYLAS,PAMPAROMAS,100.0,97.4,26,37,10,4,34.3,47.5,12.6,5.6,24,21,22,10,31.4,27.2,28.8,12.7
021207,ÁNCASH,HUAYLAS,PUEBLO LIBRE,100.0,98.7,13,41,22,3,16.5,51.4,28.2,3.9,20,25,25,8,25.5,32.2,32.1,10.2
021208,ÁNCASH,HUAYLAS,SANTA CRUZ,100.0,93.7,49,35,9,2,51.7,36.5,9.7,2.1,44,26,23,2,45.8,27.4,24.7,2.1
021209,ÁNCASH,HUAYLAS,SANTO TORIBIO,100.0,100.0,7,8,4,3,31.2,36.8,18.2,13.8,7,3,10,3,30.8,13.4,41.5,14.2
021210,ÁNCASH,HUAYLAS,YURACMARCA,100.0,94.9,13,16,10,0,33.8,40.5,25.7,0.0,8,15,16,0,20.5,37.9,41.5,0.0
021302,ÁNCASH,MARISCAL LUZURIAGA,CASCA,100.0,100.0,16,14,1,0,51.6,45.2,3.2,0.0,13,7,11,0,41.9,22.6,35.5,0.0
