Año,Nacional,Evaluación,Grado,Competencia,Medida Promedio,ee: MP,Nivel de Logro: En inicio,Nivel de Logro: En proceso,Nivel de Logro: Satisfactorio,ee: En inicio,ee: En proceso,ee: Satisfactorio
2015,Nacional,ECE2015,SEGUNDO,LECTURA,592,"0,8","6,5","43,8","49,8","0,1","0,4","0,4"
2015,Nacional,ECE2015,SEGUNDO,MATEMÁTICA,575,"1,2",31,"42,3","26,6","0,4","0,3","0,4"
