"Resultados a nivel de distrito, de la Evaluación Censal de Estudiantes 2016 - Segundo grado de primaria",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Lectura,,,,,,Matemática,,,,,
CODGEO,REGION,PROVINCIA,DISTRITO,Cobertura ie,Cobertura estudiantes,N° Estud.      En inicio,N° Estud. En proceso,N° Estud. Satisfactorio,% En inicio,% En proceso,% Satisfactorio,N° Estud.      En inicio,N° Estud. En proceso,N° Estud. Satisfactorio,% En inicio,% En proceso,% Satisfactorio
021307,ÁNCASH,MARISCAL LUZURIAGA,LUCMA,100.0,97.3,23,42,7,31.9,58.3,9.7,51,15,6,70.8,20.8,8.3
021401,ÁNCASH,OCROS,OCROS,100.0,92.3,0,11,1,0.0,91.7,8.3,5,6,1,41.7,50.0,8.3
021402,ÁNCASH,OCROS,ACAS,100.0,120.0,2,4,0,33.3,66.7,0.0,5,1,0,83.3,16.7,0.0
021406,ÁNCASH,OCROS,CONGAS,100.0,100.0,6,9,1,37.5,56.3,6.3,13,3,0,81.3,18.8,0.0
021407,ÁNCASH,OCROS,LLIPA,100.0,100.0,2,5,0,28.6,71.4,0.0,6,1,0,85.7,14.3,0.0
021408,ÁNCASH,OCROS,SAN CRISTOBAL DE RAJAN,100.0,100.0,0,3,2,0.0,60.0,40.0,0,3,2,0.0,60.0,40.0
021501,ÁNCASH,PALLASCA,CABANA,100.0,94.6,1,19,33,1.9,35.8,62.3,3,15,35,5.7,28.3,66.0
021502,ÁNCASH,PALLASCA,BOLOGNESI,100.0,100.0,3,11,3,17.6,64.7,17.6,8,8,1,47.1,47.1,5.9
021503,ÁNCASH,PALLASCA,CONCHUCOS,100.0,96.4,11,106,97,5.1,49.5,45.3,62,72,80,29.0,33.6,37.4
021504,ÁNCASH,PALLASCA,HUACASCHUQUE,100.0,92.9,0,12,1,0.0,92.3,7.7,7,4,2,53.8,30.8,15.4
021505,ÁNCASH,PALLASCA,HUANDOVAL,100.0,92.3,0,4,8,0.0,33.3,66.7,0,4,8,0.0,33.3,66.7
021506,ÁNCASH,PALLASCA,LACABAMBA,100.0,100.0,0,3,2,0.0,60.0,40.0,1,1,3,20.0,20.0,60.0
021507,ÁNCASH,PALLASCA,LLAPO,100.0,90.0,0,6,3,0.0,66.7,33.3,1,4,4,11.1,44.4,44.4
021508,ÁNCASH,PALLASCA,PALLASCA,100.0,100.0,3,40,13,5.4,71.4,23.2,23,18,15,41.1,32.1,26.8
021509,ÁNCASH,PALLASCA,PAMPAS,100.0,97.1,3,64,33,3.0,64.0,33.0,20,45,35,20.0,45.0,35.0
021510,ÁNCASH,PALLASCA,SANTA ROSA,100.0,100.0,1,2,2,20.0,40.0,40.0,2,1,2,40.0,20.0,40.0
021511,ÁNCASH,PALLASCA,TAUCA,100.0,98.2,6,22,28,10.7,39.3,50.0,14,20,22,25.0,35.7,39.3
021601,ÁNCASH,POMABAMBA,POMABAMBA,100.0,96.5,25,80,33,18.1,58.0,23.9,65,49,24,47.1,35.5,17.4
021602,ÁNCASH,POMABAMBA,HUAYLLAN,100.0,100.0,8,11,0,42.1,57.9,0.0,19,0,0,100.0,0.0,0.0
021603,ÁNCASH,POMABAMBA,PAROBAMBA,100.0,96.6,20,34,0,37.0,63.0,0.0,34,20,0,63.0,37.0,0.0
021604,ÁNCASH,POMABAMBA,QUINUABAMBA,100.0,100.0,17,4,0,81.0,19.0,0.0,20,0,1,95.2,0.0,4.8
021701,ÁNCASH,RECUAY,RECUAY,100.0,100.0,1,34,38,1.4,46.6,52.1,9,15,49,12.3,20.5,67.1
021702,ÁNCASH,RECUAY,CATAC,100.0,97.8,2,46,38,2.3,53.5,44.2,15,31,40,17.4,36.0,46.5
021703,ÁNCASH,RECUAY,COTAPARACO,100.0,91.7,1,4,6,9.1,36.4,54.5,2,6,3,18.2,54.5,27.3
021705,ÁNCASH,RECUAY,LLACLLIN,100.0,100.0,2,11,0,15.4,84.6,0.0,7,6,0,53.8,46.2,0.0
021706,ÁNCASH,RECUAY,MARCA,100.0,80.0,3,4,1,37.5,50.0,12.5,7,1,0,87.5,12.5,0.0
021708,ÁNCASH,RECUAY,PARARIN,100.0,100.0,0,9,3,0.0,75.0,25.0,6,5,1,50.0,41.7,8.3
021710,ÁNCASH,RECUAY,TICAPAMPA,100.0,97.7,0,14,29,0.0,32.6,67.4,2,10,31,4.7,23.3,72.1
021801,ÁNCASH,SANTA,CHIMBOTE,100.0,94.9,120,1568,1715,3.5,46.1,50.4,991,1353,1058,29.1,39.8,31.1
021802,ÁNCASH,SANTA,CACERES DEL PERU,100.0,94.5,5,37,10,9.6,71.2,19.2,28,18,6,53.8,34.6,11.5
021803,ÁNCASH,SANTA,COISHCO,100.0,92.5,18,157,105,6.4,56.1,37.5,106,103,71,37.9,36.8,25.4
021804,ÁNCASH,SANTA,MACATE,100.0,96.3,6,14,6,23.1,53.8,23.1,16,6,4,61.5,23.1,15.4
021805,ÁNCASH,SANTA,MORO,100.0,94.6,16,98,26,11.4,70.0,18.6,71,48,21,50.7,34.3,15.0
021806,ÁNCASH,SANTA,NEPEÑA,100.0,95.5,4,116,132,1.6,46.0,52.4,40,97,115,15.9,38.5,45.6
021807,ÁNCASH,SANTA,SAMANCO,100.0,97.2,1,36,33,1.4,51.4,47.1,14,28,28,20.0,40.0,40.0
021808,ÁNCASH,SANTA,SANTA,100.0,95.4,46,418,326,5.8,52.9,41.3,249,317,224,31.5,40.1,28.4
021809,ÁNCASH,SANTA,NUEVO CHIMBOTE,100.0,95.3,73,1265,1486,2.6,44.8,52.6,743,1077,1001,26.3,38.2,35.5
021901,ÁNCASH,SIHUAS,SIHUAS,100.0,100.0,0,44,64,0.0,40.7,59.3,15,45,48,13.9,41.7,44.4
021902,ÁNCASH,SIHUAS,ACOBAMBA,100.0,97.9,11,33,2,23.9,71.7,4.3,27,17,2,58.7,37.0,4.3
021903,ÁNCASH,SIHUAS,ALFONSO UGARTE,100.0,100.0,2,7,1,20.0,70.0,10.0,3,5,2,30.0,50.0,20.0
021904,ÁNCASH,SIHUAS,CASHAPAMPA,100.0,96.8,2,25,3,6.7,83.3,10.0,10,17,3,33.3,56.7,10.0
021905,ÁNCASH,SIHUAS,CHINGALPO,100.0,100.0,3,16,2,14.3,76.2,9.5,16,5,0,76.2,23.8,0.0
021906,ÁNCASH,SIHUAS,HUAYLLABAMBA,100.0,97.2,24,44,1,34.8,63.8,1.4,59,7,3,85.5,10.1,4.3
021907,ÁNCASH,SIHUAS,QUICHES,100.0,100.0,13,24,13,26.0,48.0,26.0,26,12,12,52.0,24.0,24.0
021908,ÁNCASH,SIHUAS,RAGASH,100.0,100.0,8,27,3,21.1,71.1,7.9,13,20,5,34.2,52.6,13.2
021909,ÁNCASH,SIHUAS,SAN JUAN,100.0,97.7,32,43,11,37.2,50.0,12.8,53,29,4,61.6,33.7,4.7
022001,ÁNCASH,YUNGAY,YUNGAY,100.0,94.9,52,216,121,13.4,55.5,31.1,134,148,107,34.4,38.0,27.5
022002,ÁNCASH,YUNGAY,CASCAPARA,100.0,100.0,17,35,0,32.7,67.3,0.0,40,11,1,76.9,21.2,1.9
022003,ÁNCASH,YUNGAY,MANCOS,100.0,98.8,18,45,20,21.7,54.2,24.1,41,24,18,49.4,28.9,21.7
022004,ÁNCASH,YUNGAY,MATACOTO,100.0,100.0,0,15,5,0.0,75.0,25.0,9,9,2,45.0,45.0,10.0
022005,ÁNCASH,YUNGAY,QUILLO,100.0,97.4,82,166,18,30.8,62.4,6.8,182,70,13,68.7,26.4,4.9
022006,ÁNCASH,YUNGAY,RANRAHIRCA,100.0,97.7,5,27,10,11.9,64.3,23.8,19,18,5,45.2,42.9,11.9
022007,ÁNCASH,YUNGAY,SHUPLUY,100.0,96.8,7,23,0,23.3,76.7,0.0,25,4,1,83.3,13.3,3.3
022008,ÁNCASH,YUNGAY,YANAMA,100.0,98.6,23,91,29,16.1,63.6,20.3,67,52,24,46.9,36.4,16.8
030101,APURÍMAC,ABANCAY,ABANCAY,100.0,98.5,39,526,851,2.8,37.1,60.1,237,479,700,16.7,33.8,49.4
030102,APURÍMAC,ABANCAY,CHACOCHE,100.0,100.0,0,15,20,0.0,42.9,57.1,4,16,15,11.4,45.7,42.9
030103,APURÍMAC,ABANCAY,CIRCA,100.0,100.0,1,16,5,4.5,72.7,22.7,6,7,9,27.3,31.8,40.9
030104,APURÍMAC,ABANCAY,CURAHUASI,100.0,97.1,60,214,58,18.1,64.5,17.5,165,132,35,49.7,39.8,10.5
030105,APURÍMAC,ABANCAY,HUANIPACA,100.0,97.1,1,18,15,2.9,52.9,44.1,4,16,14,11.8,47.1,41.2
030106,APURÍMAC,ABANCAY,LAMBRAMA,100.0,90.9,4,16,0,20.0,80.0,0.0,10,8,2,50.0,40.0,10.0
030107,APURÍMAC,ABANCAY,PICHIRHUA,100.0,100.0,5,12,1,27.8,66.7,5.6,12,5,1,66.7,27.8,5.6
030108,APURÍMAC,ABANCAY,SAN PEDRO DE CACHORA,100.0,95.5,26,32,6,40.6,50.0,9.4,43,12,9,67.2,18.8,14.1
030109,APURÍMAC,ABANCAY,TAMBURCO,100.0,100.0,1,43,45,1.1,48.3,50.6,11,46,32,12.4,51.7,36.0
030201,APURÍMAC,ANDAHUAYLAS,ANDAHUAYLAS,100.0,98.2,62,391,472,6.7,42.3,51.0,212,268,445,22.9,29.0,48.1
030202,APURÍMAC,ANDAHUAYLAS,ANDARAPA,100.0,98.1,9,40,3,17.3,76.9,5.8,21,27,4,40.4,51.9,7.7
030204,APURÍMAC,ANDAHUAYLAS,HUANCARAMA,100.0,96.2,3,30,17,6.0,60.0,34.0,15,19,16,30.0,38.0,32.0
030205,APURÍMAC,ANDAHUAYLAS,HUANCARAY,100.0,100.0,18,49,5,25.0,68.1,6.9,48,20,4,66.7,27.8,5.6
030206,APURÍMAC,ANDAHUAYLAS,HUAYANA,100.0,100.0,0,5,2,0.0,71.4,28.6,5,1,1,71.4,14.3,14.3
030207,APURÍMAC,ANDAHUAYLAS,KISHUARA,100.0,98.9,27,57,6,30.0,63.3,6.7,70,19,1,77.8,21.1,1.1
030208,APURÍMAC,ANDAHUAYLAS,PACOBAMBA,100.0,100.0,3,14,0,17.6,82.4,0.0,5,12,0,29.4,70.6,0.0
030209,APURÍMAC,ANDAHUAYLAS,PACUCHA,100.0,95.6,11,51,24,12.8,59.3,27.9,26,27,33,30.2,31.4,38.4
030210,APURÍMAC,ANDAHUAYLAS,PAMPACHIRI,100.0,95.0,14,23,1,36.8,60.5,2.6,33,3,2,86.8,7.9,5.3
030211,APURÍMAC,ANDAHUAYLAS,POMACOCHA,100.0,85.7,0,9,3,0.0,75.0,25.0,2,7,3,16.7,58.3,25.0
030212,APURÍMAC,ANDAHUAYLAS,SAN ANTONIO DE CACHI,100.0,100.0,8,0,0,100.0,0.0,0.0,8,0,0,100.0,0.0,0.0
030213,APURÍMAC,ANDAHUAYLAS,SAN JERONIMO,100.0,98.7,43,186,221,9.6,41.3,49.1,111,125,214,24.7,27.8,47.6
030214,APURÍMAC,ANDAHUAYLAS,SAN MIGUEL DE CHACCRAMPA,100.0,97.0,4,25,2,12.9,80.6,6.5,12,14,5,38.7,45.2,16.1
030215,APURÍMAC,ANDAHUAYLAS,SANTA MARIA DE CHICMO,100.0,98.3,22,130,19,12.9,76.0,11.1,73,64,34,42.7,37.4,19.9
030216,APURÍMAC,ANDAHUAYLAS,TALAVERA,100.0,97.6,18,156,193,4.9,42.5,52.6,65,131,171,17.7,35.7,46.6
030218,APURÍMAC,ANDAHUAYLAS,TURPO,100.0,98.2,12,28,15,21.8,50.9,27.3,19,25,11,34.5,45.5,20.0
030219,APURÍMAC,ANDAHUAYLAS,KAQUIABAMBA,100.0,100.0,1,14,3,5.6,77.8,16.7,6,9,3,33.3,50.0,16.7
030220,APURÍMAC,ANDAHUAYLAS,JOSE MARIA ARGUEDAS,100.0,100.0,5,77,14,5.2,80.2,14.6,23,49,24,24.0,51.0,25.0
030301,APURÍMAC,ANTABAMBA,ANTABAMBA,100.0,98.8,3,50,27,3.8,62.5,33.8,14,30,37,17.3,37.0,45.7
030302,APURÍMAC,ANTABAMBA,EL ORO,100.0,88.9,0,8,0,0.0,100.0,0.0,2,6,0,25.0,75.0,0.0
030303,APURÍMAC,ANTABAMBA,HUAQUIRCA,100.0,100.0,3,26,0,10.3,89.7,0.0,13,13,3,44.8,44.8,10.3
030304,APURÍMAC,ANTABAMBA,JUAN ESPINOZA MEDRANO,100.0,97.3,0,15,18,0.0,45.5,54.5,4,16,13,12.1,48.5,39.4
030305,APURÍMAC,ANTABAMBA,OROPESA,100.0,97.6,17,23,1,41.5,56.1,2.4,31,8,2,75.6,19.5,4.9
030306,APURÍMAC,ANTABAMBA,PACHACONAS,100.0,100.0,0,19,2,0.0,90.5,9.5,8,11,2,38.1,52.4,9.5
030307,APURÍMAC,ANTABAMBA,SABAINO,100.0,100.0,0,22,2,0.0,91.7,8.3,4,13,7,16.7,54.2,29.2
030401,APURÍMAC,AYMARAES,CHALHUANCA,100.0,95.0,4,38,53,4.2,40.0,55.8,12,26,57,12.6,27.4,60.0
030403,APURÍMAC,AYMARAES,CARAYBAMBA,100.0,100.0,1,5,7,7.7,38.5,53.8,2,3,8,15.4,23.1,61.5
030404,APURÍMAC,AYMARAES,CHAPIMARCA,100.0,96.4,1,23,3,3.7,85.2,11.1,7,13,7,25.9,48.1,25.9
030405,APURÍMAC,AYMARAES,COLCABAMBA,100.0,100.0,1,10,2,7.7,76.9,15.4,3,9,1,23.1,69.2,7.7
030406,APURÍMAC,AYMARAES,COTARUSE,100.0,97.4,3,26,9,7.9,68.4,23.7,12,15,11,31.6,39.5,28.9
030408,APURÍMAC,AYMARAES,JUSTO APU SAHUARAURA,100.0,100.0,6,8,0,42.9,57.1,0.0,11,3,0,78.6,21.4,0.0
030409,APURÍMAC,AYMARAES,LUCRE,100.0,100.0,7,10,8,28.0,40.0,32.0,10,6,9,40.0,24.0,36.0
030411,APURÍMAC,AYMARAES,SAN JUAN DE CHACÑA,100.0,100.0,0,2,5,0.0,28.6,71.4,0,1,6,0.0,14.3,85.7
030412,APURÍMAC,AYMARAES,SAÑAYCA,100.0,100.0,3,6,0,33.3,66.7,0.0,4,4,1,44.4,44.4,11.1
030413,APURÍMAC,AYMARAES,SORAYA,100.0,100.0,2,13,4,10.5,68.4,21.1,10,7,3,50.0,35.0,15.0
030414,APURÍMAC,AYMARAES,TAPAIRIHUA,100.0,100.0,1,6,0,14.3,85.7,0.0,4,3,0,57.1,42.9,0.0
030415,APURÍMAC,AYMARAES,TINTAY,100.0,100.0,11,23,10,25.0,52.3,22.7,15,16,13,34.1,36.4,29.5
030417,APURÍMAC,AYMARAES,YANACA,100.0,85.7,0,4,2,0.0,66.7,33.3,2,4,0,33.3,66.7,0.0
030501,APURÍMAC,COTABAMBAS,TAMBOBAMBA,100.0,97.1,61,101,42,29.9,49.5,20.6,111,45,48,54.4,22.1,23.5
030502,APURÍMAC,COTABAMBAS,COTABAMBAS,100.0,85.4,4,20,11,11.4,57.1,31.4,9,13,13,25.7,37.1,37.1
030503,APURÍMAC,COTABAMBAS,COYLLURQUI,100.0,97.3,11,41,19,15.5,57.7,26.8,22,28,21,31.0,39.4,29.6
030504,APURÍMAC,COTABAMBAS,HAQUIRA,100.0,96.9,28,114,15,17.8,72.6,9.6,69,69,19,43.9,43.9,12.1
030505,APURÍMAC,COTABAMBAS,MARA,100.0,100.0,2,13,3,11.1,72.2,16.7,6,11,1,33.3,61.1,5.6
030506,APURÍMAC,COTABAMBAS,CHALLHUAHUACHO,100.0,99.0,30,121,42,15.5,62.7,21.8,100,74,19,51.8,38.3,9.8
030601,APURÍMAC,CHINCHEROS,CHINCHEROS,100.0,91.8,3,44,31,3.8,56.4,39.7,14,24,40,17.9,30.8,51.3
030602,APURÍMAC,CHINCHEROS,ANCO_HUALLO,100.0,98.2,1,114,102,0.5,52.5,47.0,16,94,107,7.4,43.3,49.3
030603,APURÍMAC,CHINCHEROS,COCHARCAS,100.0,100.0,0,19,10,0.0,65.5,34.5,11,6,12,37.9,20.7,41.4
030604,APURÍMAC,CHINCHEROS,HUACCANA,100.0,100.0,18,68,15,17.8,67.3,14.9,41,30,30,40.6,29.7,29.7
030605,APURÍMAC,CHINCHEROS,OCOBAMBA,100.0,96.9,12,84,25,9.9,69.4,20.7,35,60,26,28.9,49.6,21.5
030606,APURÍMAC,CHINCHEROS,ONGOY,100.0,94.1,1,13,1,6.7,86.7,6.7,5,10,0,33.3,66.7,0.0
030607,APURÍMAC,CHINCHEROS,URANMARCA,100.0,100.0,12,26,12,24.0,52.0,24.0,28,12,10,56.0,24.0,20.0
030608,APURÍMAC,CHINCHEROS,RANRACANCHA,100.0,100.0,15,48,20,18.1,57.8,24.1,32,31,20,38.6,37.3,24.1
030609,APURÍMAC,CHINCHEROS,ROCCHACC,100.0,100.0,0,7,0,0.0,100.0,0.0,3,4,0,42.9,57.1,0.0
030701,APURÍMAC,GRAU,CHUQUIBAMBILLA,100.0,98.9,2,40,49,2.2,44.0,53.8,8,34,49,8.8,37.4,53.8
030702,APURÍMAC,GRAU,CURPAHUASI,100.0,100.0,6,28,5,15.4,71.8,12.8,22,9,8,56.4,23.1,20.5
030703,APURÍMAC,GRAU,GAMARRA,100.0,100.0,8,10,0,44.4,55.6,0.0,17,1,0,94.4,5.6,0.0
030704,APURÍMAC,GRAU,HUAYLLATI,100.0,100.0,0,5,4,0.0,55.6,44.4,2,6,1,22.2,66.7,11.1
030705,APURÍMAC,GRAU,MAMARA,100.0,100.0,1,6,9,6.3,37.5,56.3,3,5,8,18.8,31.3,50.0
030706,APURÍMAC,GRAU,MICAELA BASTIDAS,100.0,100.0,0,5,3,0.0,62.5,37.5,2,5,1,25.0,62.5,12.5
030707,APURÍMAC,GRAU,PATAYPAMPA,100.0,95.2,0,18,2,0.0,90.0,10.0,3,12,5,15.0,60.0,25.0
030708,APURÍMAC,GRAU,PROGRESO,100.0,98.0,5,29,16,10.0,58.0,32.0,13,32,5,26.0,64.0,10.0
030709,APURÍMAC,GRAU,SAN ANTONIO,100.0,100.0,1,4,0,20.0,80.0,0.0,2,2,1,40.0,40.0,20.0
030710,APURÍMAC,GRAU,SANTA ROSA,100.0,100.0,0,5,0,0.0,100.0,0.0,2,3,0,40.0,60.0,0.0
030711,APURÍMAC,GRAU,TURPAY,100.0,100.0,0,9,0,0.0,100.0,0.0,2,6,1,22.2,66.7,11.1
030712,APURÍMAC,GRAU,VILCABAMBA,100.0,100.0,0,15,11,0.0,57.7,42.3,0,6,20,0.0,23.1,76.9
030713,APURÍMAC,GRAU,VIRUNDO,100.0,100.0,0,3,9,0.0,25.0,75.0,0,3,9,0.0,25.0,75.0
030714,APURÍMAC,GRAU,CURASCO,100.0,100.0,1,9,1,9.1,81.8,9.1,8,3,0,72.7,27.3,0.0
040101,AREQUIPA,AREQUIPA,AREQUIPA,100.0,98.5,32,777,1951,1.2,28.2,70.7,476,1003,1280,17.3,36.4,46.4
040102,AREQUIPA,AREQUIPA,ALTO SELVA ALEGRE,100.0,97.6,16,380,579,1.6,39.0,59.4,241,356,377,24.7,36.6,38.7
040103,AREQUIPA,AREQUIPA,CAYMA,100.0,98.1,22,501,920,1.5,34.7,63.8,295,517,631,20.4,35.8,43.7
040104,AREQUIPA,AREQUIPA,CERRO COLORADO,100.0,97.0,64,1186,1771,2.1,39.3,58.6,709,1143,1168,23.5,37.8,38.7
040105,AREQUIPA,AREQUIPA,CHARACATO,100.0,100.0,5,38,29,6.9,52.8,40.3,21,34,17,29.2,47.2,23.6
040106,AREQUIPA,AREQUIPA,CHIGUATA,100.0,92.9,2,18,6,7.7,69.2,23.1,11,11,4,42.3,42.3,15.4
040107,AREQUIPA,AREQUIPA,JACOBO HUNTER,100.0,97.5,10,322,444,1.3,41.5,57.2,195,318,263,25.1,41.0,33.9
040108,AREQUIPA,AREQUIPA,LA JOYA,100.0,96.7,20,344,305,3.0,51.4,45.6,177,285,206,26.5,42.7,30.8
040109,AREQUIPA,AREQUIPA,MARIANO MELGAR,100.0,96.1,10,341,669,1.0,33.4,65.6,206,403,411,20.2,39.5,40.3
040110,AREQUIPA,AREQUIPA,MIRAFLORES,100.0,97.1,8,267,486,1.1,35.1,63.9,174,296,291,22.9,38.9,38.2
040111,AREQUIPA,AREQUIPA,MOLLEBAYA,100.0,90.5,0,16,3,0.0,84.2,15.8,10,6,3,52.6,31.6,15.8
040112,AREQUIPA,AREQUIPA,PAUCARPATA,100.0,97.8,33,655,1094,1.9,36.8,61.4,391,691,700,21.9,38.8,39.3
040114,AREQUIPA,AREQUIPA,POLOBAYA,100.0,85.7,0,5,1,0.0,83.3,16.7,4,2,0,66.7,33.3,0.0
040115,AREQUIPA,AREQUIPA,QUEQUEÑA,100.0,100.0,0,1,4,0.0,20.0,80.0,0,3,2,0.0,60.0,40.0
040116,AREQUIPA,AREQUIPA,SABANDIA,100.0,92.9,0,10,29,0.0,25.6,74.4,1,15,23,2.6,38.5,59.0
040117,AREQUIPA,AREQUIPA,SACHACA,100.0,98.3,5,170,283,1.1,37.1,61.8,92,181,185,20.1,39.5,40.4
040118,AREQUIPA,AREQUIPA,SAN JUAN DE SIGUAS,100.0,100.0,0,12,6,0.0,66.7,33.3,5,7,6,27.8,38.9,33.3
040119,AREQUIPA,AREQUIPA,SAN JUAN DE TARUCANI,100.0,100.0,1,5,3,11.1,55.6,33.3,4,4,1,44.4,44.4,11.1
040120,AREQUIPA,AREQUIPA,SANTA ISABEL DE SIGUAS,100.0,88.9,0,5,3,0.0,62.5,37.5,3,2,3,37.5,25.0,37.5
040121,AREQUIPA,AREQUIPA,SANTA RITA DE SIGUAS,100.0,99.2,4,56,69,3.1,43.4,53.5,27,54,48,20.9,41.9,37.2
040122,AREQUIPA,AREQUIPA,SOCABAYA,100.0,97.3,18,367,645,1.7,35.6,62.6,235,425,369,22.8,41.3,35.9
040123,AREQUIPA,AREQUIPA,TIABAYA,100.0,98.2,3,115,206,0.9,35.5,63.6,64,130,130,19.8,40.1,40.1
040124,AREQUIPA,AREQUIPA,UCHUMAYO,100.0,95.5,8,85,99,4.2,44.3,51.6,72,73,47,37.5,38.0,24.5
040125,AREQUIPA,AREQUIPA,VITOR,100.0,97.8,1,28,15,2.3,63.6,34.1,3,24,17,6.8,54.5,38.6
040126,AREQUIPA,AREQUIPA,YANAHUARA,100.0,97.4,5,125,278,1.2,30.6,68.1,76,163,169,18.6,40.0,41.4
040127,AREQUIPA,AREQUIPA,YARABAMBA,100.0,84.0,0,7,14,0.0,33.3,66.7,4,8,9,19.0,38.1,42.9
040128,AREQUIPA,AREQUIPA,YURA,100.0,99.2,14,266,337,2.3,43.1,54.6,128,228,261,20.7,37.0,42.3
040129,AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO,100.0,99.1,14,417,842,1.1,32.8,66.1,259,505,508,20.4,39.7,39.9
040201,AREQUIPA,CAMANÁ,CAMANA,100.0,98.4,9,151,279,2.1,34.4,63.6,67,179,192,15.3,40.9,43.8
040202,AREQUIPA,CAMANÁ,JOSE MARIA QUIMPER,100.0,97.3,0,19,17,0.0,52.8,47.2,1,20,15,2.8,55.6,41.7
040203,AREQUIPA,CAMANÁ,MARIANO NICOLAS VALCARCEL,100.0,96.3,4,103,103,1.9,49.0,49.0,49,88,73,23.3,41.9,34.8
040204,AREQUIPA,CAMANÁ,MARISCAL CACERES,100.0,102.1,0,13,35,0.0,27.1,72.9,7,21,20,14.6,43.8,41.7
040205,AREQUIPA,CAMANÁ,NICOLAS DE PIEROLA,100.0,97.0,1,53,76,0.8,40.8,58.5,26,59,45,20.0,45.4,34.6
040206,AREQUIPA,CAMANÁ,OCOÑA,100.0,98.2,6,24,26,10.7,42.9,46.4,18,14,24,32.1,25.0,42.9
040207,AREQUIPA,CAMANÁ,QUILCA,100.0,91.7,0,3,8,0.0,27.3,72.7,1,8,2,9.1,72.7,18.2
040208,AREQUIPA,CAMANÁ,SAMUEL PASTOR,100.0,94.4,5,93,138,2.1,39.4,58.5,42,80,113,17.9,34.0,48.1
040301,AREQUIPA,CARAVELÍ,CARAVELI,100.0,95.9,0,22,49,0.0,31.0,69.0,7,21,43,9.9,29.6,60.6
040302,AREQUIPA,CARAVELÍ,ACARI,100.0,100.0,2,33,78,1.8,29.2,69.0,23,44,46,20.4,38.9,40.7
040303,AREQUIPA,CARAVELÍ,ATICO,100.0,96.3,2,41,60,1.9,39.8,58.3,24,35,44,23.3,34.0,42.7
040305,AREQUIPA,CARAVELÍ,BELLA UNION,100.0,95.0,1,28,9,2.6,73.7,23.7,21,14,3,55.3,36.8,7.9
040306,AREQUIPA,CARAVELÍ,CAHUACHO,100.0,100.0,1,4,0,20.0,80.0,0.0,5,0,0,100.0,0.0,0.0
040307,AREQUIPA,CARAVELÍ,CHALA,100.0,97.0,2,84,107,1.0,43.5,55.4,37,96,60,19.2,49.7,31.1
040308,AREQUIPA,CARAVELÍ,CHAPARRA,100.0,98.3,1,29,29,1.7,49.2,49.2,14,19,26,23.7,32.2,44.1
040309,AREQUIPA,CARAVELÍ,HUANUHUANU,100.0,100.0,1,31,22,1.9,57.4,40.7,9,36,9,16.7,66.7,16.7
040310,AREQUIPA,CARAVELÍ,JAQUI,100.0,100.0,0,7,19,0.0,26.9,73.1,4,14,8,15.4,53.8,30.8
040311,AREQUIPA,CARAVELÍ,LOMAS,100.0,103.1,1,14,18,3.0,42.4,54.5,7,19,6,21.9,59.4,18.8
040312,AREQUIPA,CARAVELÍ,QUICACHA,100.0,95.7,3,18,24,6.7,40.0,53.3,15,10,20,33.3,22.2,44.4
040313,AREQUIPA,CARAVELÍ,YAUCA,100.0,100.0,0,19,18,0.0,51.4,48.6,7,17,13,18.9,45.9,35.1
040401,AREQUIPA,CASTILLA,APLAO,100.0,97.3,4,54,124,2.2,29.7,68.1,17,60,105,9.3,33.0,57.7
040402,AREQUIPA,CASTILLA,ANDAGUA,100.0,100.0,3,6,0,33.3,66.7,0.0,8,1,0,88.9,11.1,0.0
040404,AREQUIPA,CASTILLA,CHACHAS,100.0,100.0,5,25,8,13.2,65.8,21.1,19,10,9,50.0,26.3,23.7
040405,AREQUIPA,CASTILLA,CHILCAYMARCA,100.0,100.0,0,13,6,0.0,68.4,31.6,0,9,10,0.0,47.4,52.6
040407,AREQUIPA,CASTILLA,HUANCARQUI,100.0,100.0,0,1,13,0.0,7.1,92.9,0,3,11,0.0,21.4,78.6
040408,AREQUIPA,CASTILLA,MACHAGUAY,100.0,100.0,0,3,3,0.0,50.0,50.0,2,3,1,33.3,50.0,16.7
040409,AREQUIPA,CASTILLA,ORCOPAMPA,100.0,101.4,2,80,141,0.9,35.9,63.2,35,107,81,15.7,48.0,36.3
040410,AREQUIPA,CASTILLA,PAMPACOLCA,100.0,94.6,3,14,18,8.6,40.0,51.4,7,15,13,20.0,42.9,37.1
040413,AREQUIPA,CASTILLA,URACA,100.0,99.1,0,45,70,0.0,39.1,60.9,18,48,49,15.7,41.7,42.6
040414,AREQUIPA,CASTILLA,VIRACO,100.0,87.0,1,14,5,5.0,70.0,25.0,11,8,1,55.0,40.0,5.0
040501,AREQUIPA,CAYLLOMA,CHIVAY,100.0,100.0,0,56,69,0.0,44.8,55.2,24,51,50,19.2,40.8,40.0
040502,AREQUIPA,CAYLLOMA,ACHOMA,100.0,88.9,0,3,5,0.0,37.5,62.5,1,5,2,12.5,62.5,25.0
040503,AREQUIPA,CAYLLOMA,CABANACONDE,100.0,100.0,0,5,18,0.0,21.7,78.3,0,5,18,0.0,21.7,78.3
