"Resultados a nivel de distrito, de la Evaluación Censal de Estudiantes 2016 - Segundo grado de primaria",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Lectura,,,,,,Matemática,,,,,
CODGEO,REGION,PROVINCIA,DISTRITO,Cobertura ie,Cobertura estudiantes,N° Estud.      En inicio,N° Estud. En proceso,N° Estud. Satisfactorio,% En inicio,% En proceso,% Satisfactorio,N° Estud.      En inicio,N° Estud. En proceso,N° Estud. Satisfactorio,% En inicio,% En proceso,% Satisfactorio
010514,AMAZONAS,LUYA,PISUQUIA,100.0,99.2,11,83,33,8.7,65.4,26.0,30,56,41,23.6,44.1,32.3
010515,AMAZONAS,LUYA,PROVIDENCIA,100.0,100.0,0,19,5,0.0,79.2,20.8,13,8,3,54.2,33.3,12.5
010516,AMAZONAS,LUYA,SAN CRISTOBAL,100.0,100.0,1,6,5,8.3,50.0,41.7,2,5,5,16.7,41.7,41.7
010517,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,100.0,100.0,0,4,4,0.0,50.0,50.0,3,1,4,37.5,12.5,50.0
010519,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,100.0,87.5,1,6,0,14.3,85.7,0.0,3,3,1,42.9,42.9,14.3
010520,AMAZONAS,LUYA,SANTA CATALINA,100.0,98.1,8,36,9,15.1,67.9,17.0,18,19,16,34.0,35.8,30.2
010521,AMAZONAS,LUYA,SANTO TOMAS,100.0,96.4,13,44,23,16.3,55.0,28.8,28,37,15,35.0,46.3,18.8
010522,AMAZONAS,LUYA,TINGO,100.0,100.0,0,17,6,0.0,73.9,26.1,1,10,12,4.3,43.5,52.2
010523,AMAZONAS,LUYA,TRITA,100.0,93.3,2,29,11,4.8,69.0,26.2,14,17,11,33.3,40.5,26.2
010601,AMAZONAS,RODRÍGUEZ DE MENDOZA,SAN NICOLAS,100.0,98.1,1,38,66,1.0,36.2,62.9,10,27,68,9.5,25.7,64.8
010602,AMAZONAS,RODRÍGUEZ DE MENDOZA,CHIRIMOTO,100.0,98.3,7,36,14,12.3,63.2,24.6,27,16,14,47.4,28.1,24.6
010603,AMAZONAS,RODRÍGUEZ DE MENDOZA,COCHAMAL,100.0,100.0,0,0,6,0.0,0.0,100.0,0,0,6,0.0,0.0,100.0
010604,AMAZONAS,RODRÍGUEZ DE MENDOZA,HUAMBO,100.0,100.0,1,15,17,3.0,45.5,51.5,4,11,18,12.1,33.3,54.5
010605,AMAZONAS,RODRÍGUEZ DE MENDOZA,LIMABAMBA,100.0,100.0,2,3,10,13.3,20.0,66.7,3,6,6,20.0,40.0,40.0
010606,AMAZONAS,RODRÍGUEZ DE MENDOZA,LONGAR,100.0,96.6,0,13,15,0.0,46.4,53.6,2,10,16,7.1,35.7,57.1
010607,AMAZONAS,RODRÍGUEZ DE MENDOZA,MARISCAL BENAVIDES,100.0,100.0,0,3,8,0.0,27.3,72.7,2,1,8,18.2,9.1,72.7
010609,AMAZONAS,RODRÍGUEZ DE MENDOZA,OMIA,100.0,96.5,30,124,94,12.1,50.0,37.9,79,84,85,31.9,33.9,34.3
010612,AMAZONAS,RODRÍGUEZ DE MENDOZA,VISTA ALEGRE,100.0,94.2,4,32,13,8.2,65.3,26.5,13,19,17,26.5,38.8,34.7
010701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,100.0,96.3,66,520,501,6.1,47.8,46.1,213,400,474,19.6,36.8,43.6
010702,AMAZONAS,UTCUBAMBA,CAJARURO,100.0,97.2,29,234,186,6.5,52.1,41.4,75,185,189,16.7,41.2,42.1
010703,AMAZONAS,UTCUBAMBA,CUMBA,100.0,97.6,18,86,56,11.3,53.8,35.0,56,42,62,35.0,26.3,38.8
010704,AMAZONAS,UTCUBAMBA,EL MILAGRO,100.0,92.1,17,77,22,14.7,66.4,19.0,55,46,15,47.4,39.7,12.9
010705,AMAZONAS,UTCUBAMBA,JAMALCA,100.0,95.4,17,75,54,11.6,51.4,37.0,46,51,49,31.5,34.9,33.6
010706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,100.0,95.4,10,76,101,5.3,40.6,54.0,30,60,97,16.0,32.1,51.9
010707,AMAZONAS,UTCUBAMBA,YAMON,100.0,94.0,5,41,17,7.9,65.1,27.0,22,22,19,34.9,34.9,30.2
020101,ÁNCASH,HUARAZ,HUARAZ,100.0,97.8,38,396,535,3.9,40.9,55.2,254,341,374,26.2,35.2,38.6
020102,ÁNCASH,HUARAZ,COCHABAMBA,100.0,96.9,14,12,5,45.2,38.7,16.1,20,7,4,64.5,22.6,12.9
020104,ÁNCASH,HUARAZ,HUANCHAY,100.0,100.0,1,4,9,7.1,28.6,64.3,3,6,5,21.4,42.9,35.7
