"Resultados a nivel de distrito, de la Evaluación Censal de Estudiantes 2016 - Segundo grado de secundaria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Comprensión Lectora,,,,,,,,Matemática,,,,,,,,HGE,,,,,,,
CODGEO,REGION,PROVINCIA,DISTRITO,Cobertura ie,Cobertura estudiantes,N° Estud. Previo al inicio,N° Estud.      En inicio,N° Estud. En proceso,N° Estud. Satisfactorio,% Previo al inicio,% En inicio,% En proceso,% Satisfactorio,N° Estud. Previo al inicio,N° Estud.      En inicio,N° Estud. En proceso,N° Estud. Satisfactorio,% Previo al inicio,% En inicio,% En proceso,% Satisfactorio,N° Estud. Previo al inicio,N° Estud.      En inicio,N° Estud. En proceso,N° Estud. Satisfactorio,% Previo al inicio,% En inicio,% En proceso,% Satisfactorio
050112,Ayacucho,Huamanga,Socos,100.0,98.0,60,34,8,0,59.1,32.9,8.0,.0,63,32,5,2,61.9,31.1,5.0,2.0,48,38,10,6,46.6,37.3,10.0,6.0
050113,Ayacucho,Huamanga,Tambillo,100.0,100.0,39,34,8,0,48.2,42.0,9.9,.0,45,29,6,1,55.6,35.8,7.4,1.2,37,25,17,2,45.7,30.9,21.0,2.5
050114,Ayacucho,Huamanga,Vinchos,100.0,99.6,201,74,7,2,70.7,26.1,2.5,.7,198,72,14,1,69.6,25.1,5.0,.4,172,79,29,4,60.5,27.9,10.2,1.4
050115,Ayacucho,Huamanga,Jesus Nazareno,100.0,100.0,52,109,75,14,20.8,43.6,30.0,5.6,89,110,36,15,35.6,44.0,14.4,6.0,51,87,92,21,20.2,34.7,36.7,8.4
050201,Ayacucho,Cangallo,Cangallo,100.0,99.0,14,41,28,20,13.6,39.8,27.1,19.5,24,40,21,18,23.3,38.9,20.4,17.5,23,21,45,14,22.4,20.4,43.7,13.5
050202,Ayacucho,Cangallo,Chuschi,100.0,96.5,64,89,18,0,37.4,52.2,10.4,.0,65,68,29,8,38.3,40.0,16.9,4.8,68,68,29,5,39.8,40.1,17.1,3.0
050203,Ayacucho,Cangallo,Los Morochucos,100.0,99.4,52,74,27,8,32.5,45.6,16.9,5.0,79,55,18,9,48.8,34.4,11.3,5.6,51,59,42,8,32.0,36.6,26.3,5.2
050204,Ayacucho,Cangallo,Maria Parado de Bellido,100.0,98.4,31,28,3,0,49.9,45.1,5.0,.0,35,22,4,0,56.8,36.7,6.6,.0,35,22,4,0,56.6,36.8,6.7,.0
050205,Ayacucho,Cangallo,Paras,100.0,97.4,85,25,6,1,72.3,21.6,5.2,.9,92,20,3,2,78.3,17.3,2.6,1.7,83,24,8,2,70.6,20.8,6.9,1.7
050206,Ayacucho,Cangallo,Totos,100.0,98.9,39,42,7,2,43.2,46.6,8.0,2.3,45,32,9,3,50.2,36.3,10.2,3.4,33,34,18,4,36.4,38.5,20.5,4.5
050301,Ayacucho,Huanca Sancos,Sancos,100.0,100.0,9,25,20,7,14.8,41.0,32.8,11.5,15,27,11,8,24.6,44.3,18.0,13.1,11,14,30,6,18.0,23.0,49.2,9.8
050302,Ayacucho,Huanca Sancos,Carapo,100.0,100.0,16,15,3,0,47.1,44.1,8.8,.0,17,14,3,0,50.0,41.2,8.8,.0,16,8,10,0,47.1,23.5,29.4,.0
050303,Ayacucho,Huanca Sancos,Sacsamarca,100.0,95.5,7,9,3,3,29.6,41.6,15.2,13.6,8,12,1,2,34.1,52.3,4.5,9.1,4,9,8,1,18.2,39.4,37.9,4.5
050304,Ayacucho,Huanca Sancos,Santiago de Lucanamarca,100.0,96.4,26,19,9,2,46.0,34.6,15.5,3.9,18,20,14,3,32.6,36.1,25.4,5.8,15,23,16,2,26.6,41.9,27.8,3.8
050401,Ayacucho,Huanta,Huanta,100.0,94.8,212,558,341,137,17.0,44.8,27.3,11.0,298,492,270,188,23.9,39.4,21.7,15.0,276,400,434,137,22.2,32.1,34.8,11.0
050402,Ayacucho,Huanta,Ayahuanco,100.0,88.6,17,24,4,0,37.7,53.7,8.6,.0,30,11,3,0,68.4,25.3,6.4,.0,17,20,6,1,39.6,44.5,13.6,2.3
050403,Ayacucho,Huanta,Huamanguilla,100.0,98.2,27,49,28,6,24.9,44.4,25.1,5.6,38,53,10,9,34.3,48.2,9.3,8.3,19,46,37,8,16.8,42.0,33.7,7.4
050404,Ayacucho,Huanta,Iguain,100.0,100.0,5,19,6,0,16.7,63.3,20.0,.0,13,13,3,1,43.4,43.3,10.0,3.3,12,11,7,0,40.0,36.6,23.4,.0
050405,Ayacucho,Huanta,Luricocha,100.0,98.8,43,29,8,0,53.8,35.9,10.3,.0,46,31,2,1,57.7,38.5,2.5,1.3,35,26,18,2,43.5,32.0,21.9,2.6
050406,Ayacucho,Huanta,Santillana,100.0,97.3,59,48,5,1,52.2,42.3,4.6,.9,49,45,12,7,43.7,39.4,10.7,6.2,72,29,10,2,63.7,25.5,9.0,1.8
050408,Ayacucho,Huanta,Llochegua,100.0,93.2,46,107,34,6,24.0,55.4,17.4,3.2,72,100,15,5,37.5,52.2,7.7,2.6,69,69,49,6,35.7,35.7,25.4,3.3
050409,Ayacucho,Huanta,Canayre,100.0,90.3,17,34,10,1,26.9,55.2,16.1,1.8,24,33,2,2,39.4,53.5,3.6,3.6,18,27,18,0,28.6,42.8,28.6,.0
050410,Ayacucho,Huanta,Uchuraccay,100.0,93.1,65,6,1,0,90.3,8.3,1.4,.0,65,5,1,1,89.7,7.6,1.4,1.4,57,12,3,0,79.4,16.5,4.2,.0
050411,Ayacucho,Huanta,Pucacolpa,100.0,97.5,59,19,3,0,72.4,23.8,3.7,.0,66,13,1,1,81.3,16.2,1.2,1.2,59,19,2,1,72.3,24.0,2.5,1.2
050412,Ayacucho,Huanta,Chaca,100.0,98.0,33,15,2,0,65.4,30.5,4.1,.0,31,17,2,0,61.3,34.7,4.0,.0,32,13,5,0,63.3,26.6,10.1,.0
050501,Ayacucho,La Mar,San Miguel,100.0,98.9,109,122,43,10,38.2,43.0,15.3,3.5,147,94,34,9,51.8,33.0,12.0,3.2,102,97,68,17,35.8,34.3,23.8,6.1
050502,Ayacucho,La Mar,Anco,100.0,99.5,81,108,16,7,38.1,50.9,7.6,3.3,78,114,14,5,37.1,53.9,6.7,2.4,92,80,38,1,43.6,37.7,18.1,.5
050503,Ayacucho,La Mar,Ayna,100.0,96.1,133,146,27,4,42.8,47.0,8.8,1.3,155,128,24,4,49.9,41.0,7.6,1.4,152,106,48,5,48.7,34.1,15.5,1.6
050504,Ayacucho,La Mar,Chilcas,100.0,100.0,10,13,1,1,40.0,52.0,4.0,4.0,11,10,3,1,44.0,40.0,12.0,4.0,11,11,3,0,44.0,44.0,12.0,.0
050505,Ayacucho,La Mar,Chungui,100.0,98.0,66,59,11,12,44.5,39.7,7.6,8.2,78,46,17,6,53.0,31.3,11.6,4.1,56,54,21,16,38.3,36.8,13.9,10.9
050506,Ayacucho,La Mar,Luis Carranza,100.0,100.0,9,9,2,0,45.0,45.0,10.0,.0,14,3,3,0,70.0,15.0,15.0,.0,8,8,3,1,40.0,40.0,15.0,5.0
050507,Ayacucho,La Mar,Santa Rosa,100.0,99.6,85,139,48,9,30.2,49.5,17.2,3.2,133,121,20,7,47.4,42.9,7.1,2.5,96,101,77,7,34.0,35.9,27.5,2.5
050508,Ayacucho,La Mar,Tambo,100.0,98.6,100,124,50,7,35.4,44.3,17.8,2.5,130,101,31,19,46.3,36.0,10.9,6.9,103,99,66,13,36.7,35.1,23.5,4.7
050509,Ayacucho,La Mar,Samugari,100.0,99.2,53,128,45,10,22.6,54.0,19.2,4.3,60,140,28,9,25.2,59.1,11.9,3.8,69,79,81,8,29.2,33.4,34.0,3.4
050510,Ayacucho,La Mar,Anchihuay,100.0,92.7,46,53,9,1,42.3,48.5,8.3,.9,41,56,6,6,37.8,50.9,5.7,5.7,56,38,14,1,51.3,34.7,13.0,1.0
050601,Ayacucho,Lucanas,Puquio,100.0,99.2,56,126,95,80,15.6,35.3,26.7,22.4,91,111,57,98,25.5,31.0,15.9,27.5,63,85,128,80,17.8,23.9,35.9,22.4
050602,Ayacucho,Lucanas,Aucara,100.0,100.0,5,21,7,1,14.7,61.8,20.6,2.9,10,10,13,1,29.4,29.4,38.2,2.9,7,14,13,0,20.6,41.2,38.2,.0
050603,Ayacucho,Lucanas,Cabana,100.0,100.0,4,16,5,4,13.8,55.2,17.2,13.8,5,14,7,3,17.2,48.3,24.1,10.3,3,9,14,3,10.3,31.0,48.3,10.3
050604,Ayacucho,Lucanas,Carmen Salcedo,100.0,100.0,2,9,4,1,12.5,56.3,25.0,6.3,2,8,4,2,12.5,50.0,25.0,12.5,0,9,5,2,.0,56.3,31.3,12.5
050605,Ayacucho,Lucanas,Chaviña,100.0,98.0,13,27,8,2,26.5,53.1,16.3,4.1,6,26,9,9,12.2,51.0,18.4,18.4,15,19,11,4,30.6,38.8,22.4,8.2
050606,Ayacucho,Lucanas,Chipao,100.0,96.3,24,24,2,4,44.1,44.1,4.2,7.7,22,24,7,2,40.1,44.1,12.1,3.7,23,16,11,4,43.1,29.1,19.7,8.1
050607,Ayacucho,Lucanas,Huac-huas,100.0,100.0,5,6,1,0,41.7,50.0,8.3,.0,7,5,0,0,58.4,41.6,.0,.0,3,8,1,0,25.0,66.7,8.3,.0
050608,Ayacucho,Lucanas,Laramate,100.0,91.3,9,7,7,1,38.8,28.3,28.3,4.6,10,9,1,3,42.8,38.8,4.6,13.8,7,2,12,2,28.9,9.8,52.0,9.2
050609,Ayacucho,Lucanas,Leoncio Prado,100.0,100.0,1,5,0,0,20.0,80.0,.0,.0,0,2,4,0,.0,40.0,60.0,.0,2,2,1,0,40.0,40.0,20.0,.0
050610,Ayacucho,Lucanas,Llauta,100.0,100.0,0,4,3,0,.0,57.1,42.9,.0,1,5,1,0,14.3,71.4,14.3,.0,0,2,4,1,.0,28.6,57.1,14.3
050611,Ayacucho,Lucanas,Lucanas,100.0,98.7,27,37,13,2,34.2,46.9,15.9,3.0,31,31,11,6,39.8,39.5,13.4,7.3,22,36,14,7,27.8,45.7,17.8,8.7
050612,Ayacucho,Lucanas,Ocaña,100.0,100.0,21,23,8,0,40.5,43.9,15.7,.0,25,23,2,3,47.7,42.6,3.8,5.9,24,21,7,1,45.3,39.6,13.2,1.9
050613,Ayacucho,Lucanas,Otoca,100.0,92.0,8,12,5,0,30.1,48.3,21.6,.0,9,12,3,1,34.8,48.4,12.8,4.0,5,8,10,2,20.7,31.6,39.7,8.0
050614,Ayacucho,Lucanas,Saisa,100.0,100.0,1,1,2,3,14.3,14.3,28.6,42.9,1,1,1,4,14.3,14.3,14.3,57.1,1,1,3,2,14.3,14.3,42.9,28.6
050615,Ayacucho,Lucanas,San Cristobal,100.0,95.1,11,18,12,1,25.6,43.3,28.5,2.6,9,17,8,6,22.9,41.0,20.6,15.5,12,12,14,3,29.2,28.3,34.5,8.0
050616,Ayacucho,Lucanas,San Juan,100.0,100.0,0,5,0,1,.0,83.3,.0,16.7,2,2,2,0,33.3,33.3,33.3,.0,1,2,2,1,16.7,33.3,33.3,16.7
050617,Ayacucho,Lucanas,San Pedro,100.0,91.8,34,23,4,0,55.3,37.6,7.1,.0,42,15,5,0,68.1,24.4,7.5,.0,41,12,8,0,67.7,19.3,13.1,.0
050618,Ayacucho,Lucanas,San Pedro de Palco,100.0,100.0,7,16,7,0,23.3,53.4,23.3,.0,10,15,4,1,33.3,50.0,13.3,3.3,9,5,12,4,30.0,16.7,40.0,13.3
050619,Ayacucho,Lucanas,Sancos,100.0,96.7,34,26,24,8,37.1,28.4,25.8,8.7,35,25,13,19,38.2,27.0,13.7,21.1,32,21,29,10,34.9,22.9,31.1,11.0
050620,Ayacucho,Lucanas,Santa Ana de Huaycahuacho,100.0,100.0,1,1,6,3,9.1,9.1,54.5,27.3,2,5,4,0,18.2,45.5,36.4,.0,0,2,4,5,.0,18.2,36.4,45.5
050621,Ayacucho,Lucanas,Santa Lucia,100.0,100.0,3,5,7,3,16.7,27.8,38.9,16.6,6,8,3,1,33.3,44.5,16.7,5.5,3,5,8,2,16.7,27.8,44.5,11.1
050701,Ayacucho,Parinacochas,Coracora,100.0,98.7,64,118,71,51,21.0,39.0,23.3,16.7,80,105,63,55,26.4,34.6,20.7,18.2,74,80,97,52,24.3,26.3,32.1,17.3
050702,Ayacucho,Parinacochas,Chumpi,100.0,100.0,6,19,6,2,18.2,57.6,18.2,6.1,15,15,2,1,45.4,45.5,6.1,3.0,11,11,9,2,33.3,33.3,27.3,6.1
050703,Ayacucho,Parinacochas,Coronel Castañeda,100.0,100.0,5,5,0,0,50.0,50.0,.0,.0,8,2,0,0,80.0,20.0,.0,.0,8,2,0,0,80.0,20.0,.0,.0
050704,Ayacucho,Parinacochas,Pacapausa,100.0,100.0,1,3,1,1,16.7,50.0,16.7,16.7,2,2,1,1,33.3,33.3,16.7,16.7,2,2,1,1,33.3,33.3,16.7,16.7
050705,Ayacucho,Parinacochas,Pullo,100.0,97.8,21,39,22,10,22.4,42.2,24.4,11.0,32,40,9,11,34.7,43.3,9.9,12.1,28,28,28,9,30.1,30.1,29.9,9.9
050706,Ayacucho,Parinacochas,Puyusca,100.0,97.4,7,17,10,4,18.5,44.6,26.4,10.5,9,17,9,3,23.8,44.4,23.8,7.9,7,13,14,4,18.6,34.2,36.6,10.6
050707,Ayacucho,Parinacochas,San Francisco de Ravacayco,100.0,100.0,3,2,0,0,60.0,40.0,.0,.0,4,1,0,0,80.0,20.0,.0,.0,1,4,0,0,20.0,80.0,.0,.0
050708,Ayacucho,Parinacochas,Upahuacho,100.0,94.1,8,8,1,0,48.3,45.9,5.9,.0,13,2,2,0,76.5,11.7,11.7,.0,7,5,3,1,42.4,31.8,20.0,5.9
050801,Ayacucho,Paucar Del Sara Sara,Pausa,100.0,96.8,8,24,18,14,12.2,37.5,27.9,22.4,10,18,16,19,15.4,28.5,25.4,30.7,6,16,26,15,10.1,24.9,40.8,24.2
050802,Ayacucho,Paucar Del Sara Sara,Colta,100.0,100.0,4,3,0,0,57.1,42.9,.0,.0,4,3,0,0,57.1,42.9,.0,.0,2,1,4,0,28.6,14.3,57.1,.0
050803,Ayacucho,Paucar Del Sara Sara,Corculla,100.0,100.0,2,4,4,1,18.2,36.4,36.4,9.1,4,4,2,1,36.4,36.4,18.2,9.1,3,2,5,1,27.3,18.2,45.5,9.1
050804,Ayacucho,Paucar Del Sara Sara,Lampa,100.0,100.0,6,21,14,3,13.6,47.8,31.8,6.8,8,19,13,4,18.2,43.2,29.5,9.1,7,9,18,10,15.9,20.5,40.9,22.7
050805,Ayacucho,Paucar Del Sara Sara,Marcabamba,100.0,92.9,0,3,3,7,.0,25.0,25.0,50.0,0,3,7,3,.0,25.0,50.0,25.0,0,2,7,5,.0,16.7,50.0,33.3
050806,Ayacucho,Paucar Del Sara Sara,Oyolo,100.0,88.0,12,8,5,0,46.9,31.9,21.2,.0,17,6,2,0,66.0,25.5,8.5,.0,12,7,4,2,46.9,27.7,17.0,8.5
050807,Ayacucho,Paucar Del Sara Sara,Pararca,100.0,100.0,4,3,1,1,44.4,33.3,11.1,11.1,3,4,2,0,33.3,44.4,22.2,.0,2,3,3,1,22.2,33.3,33.3,11.1
050808,Ayacucho,Paucar Del Sara Sara,San Javier de Alpabamba,100.0,100.0,0,5,0,0,.0,100.0,.0,.0,3,2,0,0,60.0,40.0,.0,.0,0,2,2,1,.0,40.0,40.0,20.0
050809,Ayacucho,Paucar Del Sara Sara,San Jose de Ushua,100.0,88.9,3,6,0,0,37.5,62.5,.0,.0,2,6,0,1,25.0,62.5,.0,12.5,3,3,2,0,37.5,37.5,25.0,.0
050810,Ayacucho,Paucar Del Sara Sara,Sara Sara,100.0,100.0,2,3,6,2,15.4,23.1,46.2,15.4,4,6,3,0,30.8,46.2,23.1,.0,2,2,6,3,15.4,15.4,46.2,23.1
050901,Ayacucho,Sucre,Querobamba,100.0,100.0,20,39,10,5,27.1,52.7,13.5,6.7,20,24,10,20,27.0,32.5,13.5,27.0,21,26,19,8,28.4,35.2,25.7,10.8
050903,Ayacucho,Sucre,Chalcos,100.0,100.0,3,5,2,1,27.3,45.5,18.2,9.1,3,6,2,0,27.3,54.5,18.2,.0,3,2,4,2,27.3,18.2,36.4,18.2
050904,Ayacucho,Sucre,Chilcayoc,100.0,100.0,8,2,2,0,66.7,16.7,16.7,.0,8,3,1,0,66.7,25.0,8.3,.0,6,3,3,0,50.0,25.0,25.0,.0
050905,Ayacucho,Sucre,Huacaña,100.0,100.0,2,4,7,2,13.3,26.7,46.7,13.3,1,4,6,4,6.7,26.7,40.0,26.7,2,2,6,5,13.3,13.3,40.0,33.3
050906,Ayacucho,Sucre,Morcolla,100.0,95.0,8,6,4,1,42.5,31.3,20.6,5.6,10,5,3,1,51.9,25.6,16.9,5.6,9,2,9,0,43.1,10.0,46.9,.0
050907,Ayacucho,Sucre,Paico,100.0,100.0,6,6,3,0,40.0,40.0,20.0,.0,3,9,1,2,20.1,60.0,6.7,13.3,4,7,4,0,26.7,46.7,26.6,.0
050908,Ayacucho,Sucre,San Pedro de Larcay,100.0,100.0,10,3,6,2,47.7,14.3,28.5,9.5,5,7,5,4,23.8,33.3,23.8,19.0,7,7,3,4,33.4,33.3,14.3,19.0
050909,Ayacucho,Sucre,San Salvador de Quije,100.0,100.0,5,10,0,0,33.3,66.7,.0,.0,7,6,2,0,46.7,40.0,13.3,.0,7,6,2,0,46.7,40.0,13.3,.0
050910,Ayacucho,Sucre,Santiago de Paucaray,100.0,100.0,2,6,4,2,14.3,42.9,28.6,14.3,2,7,1,4,14.3,50.0,7.1,28.6,3,4,6,1,21.4,28.6,42.9,7.1
050911,Ayacucho,Sucre,Soras,100.0,100.0,6,14,4,2,23.1,53.8,15.4,7.7,10,6,6,4,38.5,23.1,23.1,15.4,8,5,10,3,30.8,19.2,38.5,11.5
051001,Ayacucho,Victor Fajardo,Huancapi,100.0,100.0,2,17,10,4,6.1,51.5,30.3,12.1,3,14,8,8,9.1,42.4,24.2,24.2,3,9,12,9,9.1,27.3,36.4,27.3
051002,Ayacucho,Victor Fajardo,Alcamenca,100.0,100.0,18,6,3,0,66.7,22.2,11.1,.0,13,12,1,1,48.1,44.4,3.7,3.7,10,9,7,1,37.0,33.3,25.9,3.7
051003,Ayacucho,Victor Fajardo,Apongo,100.0,100.0,1,3,1,0,20.0,60.0,20.0,.0,1,4,0,0,20.0,80.0,.0,.0,2,0,2,1,40.0,.0,40.0,20.0
051004,Ayacucho,Victor Fajardo,Asquipata,100.0,100.0,1,3,1,0,20.0,60.0,20.0,.0,3,2,0,0,60.0,40.0,.0,.0,1,3,1,0,20.0,60.0,20.0,.0
051005,Ayacucho,Victor Fajardo,Canaria,100.0,100.0,15,21,18,1,26.4,38.8,33.0,1.8,20,21,10,3,37.0,38.8,18.8,5.4,16,22,15,2,29.1,40.0,27.2,3.6
051006,Ayacucho,Victor Fajardo,Cayara,100.0,100.0,7,7,7,0,33.3,33.3,33.3,.0,8,11,2,0,38.1,52.4,9.5,.0,3,11,7,0,14.3,52.4,33.3,.0
051007,Ayacucho,Victor Fajardo,Colca,100.0,100.0,4,5,0,0,44.4,55.6,.0,.0,6,3,0,0,66.7,33.3,.0,.0,4,2,2,1,44.4,22.2,22.2,11.1
051008,Ayacucho,Victor Fajardo,Huamanquiquia,100.0,100.0,4,13,2,1,20.0,65.0,10.0,5.0,9,10,1,0,45.0,50.0,5.0,.0,6,4,8,2,30.0,20.0,40.0,10.0
051009,Ayacucho,Victor Fajardo,Huancaraylla,100.0,100.0,10,10,8,2,33.3,33.4,26.7,6.7,10,10,7,3,33.3,33.4,23.3,10.0,8,11,9,2,26.7,36.7,30.0,6.7
051010,Ayacucho,Victor Fajardo,Huaya,100.0,100.0,15,23,12,1,29.4,45.1,23.5,2.0,18,21,8,4,35.3,41.2,15.7,7.8,15,15,15,6,29.4,29.4,29.4,11.8
051011,Ayacucho,Victor Fajardo,Sarhua,100.0,100.0,44,34,5,0,53.1,40.9,6.0,.0,35,36,7,5,42.2,43.4,8.4,6.0,45,28,10,0,54.3,33.7,12.0,.0
051012,Ayacucho,Victor Fajardo,Vilcanchos,100.0,94.2,57,21,8,1,65.8,24.1,9.0,1.2,61,15,6,4,70.4,17.5,7.0,5.1,53,21,10,2,61.7,24.8,11.1,2.3
051101,Ayacucho,Vilcas Huaman,Vilcas Huaman,100.0,98.0,91,84,22,5,44.9,41.5,11.1,2.5,76,94,26,6,37.7,46.3,13.0,3.0,80,67,50,5,39.7,33.0,24.8,2.5
051102,Ayacucho,Vilcas Huaman,Accomarca,100.0,100.0,6,7,2,1,37.5,43.7,12.5,6.2,4,10,2,0,25.0,62.5,12.5,.0,6,5,4,1,37.5,31.2,25.0,6.2
051103,Ayacucho,Vilcas Huaman,Carhuanca,100.0,100.0,5,7,4,2,27.8,38.9,22.2,11.1,6,5,5,2,33.3,27.8,27.8,11.1,7,6,4,1,38.9,33.3,22.2,5.6
051104,Ayacucho,Vilcas Huaman,Concepcion,100.0,96.7,16,7,7,0,52.6,23.5,23.9,.0,10,15,4,1,31.8,51.1,13.5,3.5,13,10,4,3,41.8,34.3,13.9,10.0
051105,Ayacucho,Vilcas Huaman,Huambalpa,100.0,95.0,5,15,0,0,26.5,73.5,.0,.0,9,11,1,0,42.5,52.5,5.0,.0,4,11,3,2,21.0,52.5,16.0,10.5
051106,Ayacucho,Vilcas Huaman,Independencia,100.0,100.0,4,13,5,0,18.2,59.1,22.7,.0,7,8,3,4,31.9,36.4,13.6,18.2,4,7,10,1,18.2,31.8,45.5,4.5
051107,Ayacucho,Vilcas Huaman,Saurama,100.0,95.8,8,9,5,1,34.8,39.1,21.7,4.3,13,10,0,1,52.2,43.5,.0,4.3,11,9,1,2,47.8,39.1,4.3,8.7
051108,Ayacucho,Vilcas Huaman,Vischongo,100.0,98.8,36,33,13,3,41.9,39.0,15.6,3.5,37,30,14,4,43.8,34.8,16.8,4.7,34,31,16,4,39.6,36.3,19.3,4.7
060101,Cajamarca,Cajamarca,Cajamarca,100.0,98.8,470,1531,1420,860,11.0,35.8,33.2,20.1,828,1766,997,689,19.3,41.3,23.3,16.1,553,1082,1784,861,12.9,25.3,41.7,20.1
060102,Cajamarca,Cajamarca,Asuncion,100.0,98.6,61,63,20,2,41.6,43.1,13.9,1.4,78,56,10,2,53.5,38.2,6.9,1.4,46,48,45,8,31.2,32.7,30.5,5.5
060103,Cajamarca,Cajamarca,Chetilla,100.0,100.0,55,28,1,0,65.5,33.3,1.2,.0,64,17,3,0,76.2,20.2,3.6,.0,44,34,6,0,52.6,40.1,7.3,.0
060104,Cajamarca,Cajamarca,Cospan,100.0,94.2,116,48,7,2,66.9,27.5,4.3,1.3,117,41,12,3,67.5,23.7,6.9,1.9,87,51,33,2,50.1,29.6,19.0,1.2
060105,Cajamarca,Cajamarca,Encañada,100.0,94.7,195,134,28,2,54.3,37.3,7.8,.6,177,138,39,5,49.2,38.4,11.0,1.4,144,123,81,11,40.1,34.3,22.6,3.0
060106,Cajamarca,Cajamarca,Jesus,100.0,95.4,146,81,29,4,56.1,31.0,11.3,1.6,144,88,17,11,55.4,34.0,6.3,4.3,104,85,61,10,40.1,32.7,23.3,3.9
060107,Cajamarca,Cajamarca,Llacanora,100.0,100.0,19,31,11,2,30.2,49.2,17.5,3.2,30,24,5,4,47.6,38.1,7.9,6.4,27,18,15,3,42.9,28.6,23.8,4.8
060109,Cajamarca,Cajamarca,Magdalena,100.0,100.0,71,86,32,5,36.6,44.3,16.5,2.6,77,74,32,11,39.7,38.1,16.5,5.7,50,75,57,12,26.0,38.5,29.4,6.2
060110,Cajamarca,Cajamarca,Matara,100.0,100.0,22,28,9,2,36.1,45.9,14.8,3.3,16,27,13,5,26.2,44.3,21.3,8.2,15,19,21,6,24.6,31.1,34.4,9.8
060111,Cajamarca,Cajamarca,Namora,100.0,94.8,97,54,19,2,56.4,31.2,11.2,1.2,93,60,11,8,54.1,34.7,6.5,4.7,79,52,37,5,45.7,30.1,21.3,2.9
060112,Cajamarca,Cajamarca,San Juan,100.0,98.9,46,34,8,2,50.8,38.1,8.9,2.2,53,27,9,1,58.9,30.0,10.0,1.1,35,26,24,5,38.7,29.1,26.7,5.6
060201,Cajamarca,Cajabamba,Cajabamba,100.0,99.1,166,291,153,83,23.9,42.0,22.1,11.9,202,276,129,86,29.1,39.8,18.6,12.4,110,229,246,108,15.8,33.0,35.5,15.6
060202,Cajamarca,Cajabamba,Cachachi,100.0,92.6,265,160,31,6,57.4,34.6,6.6,1.4,281,144,32,4,61.0,31.1,7.0,.9,198,170,80,13,43.0,36.9,17.4,2.7
060203,Cajamarca,Cajabamba,Condebamba,100.0,92.9,141,67,16,2,62.3,29.7,7.1,.9,150,58,13,5,66.4,25.6,5.7,2.3,102,81,38,5,45.0,35.9,16.7,2.4
060204,Cajamarca,Cajabamba,Sitacocha,100.0,95.1,61,53,23,6,42.3,37.4,16.1,4.2,82,46,12,3,57.3,32.2,8.4,2.1,51,43,37,12,35.5,30.0,26.1,8.4
060301,Cajamarca,Celendin,Celendin,100.0,97.8,153,261,125,42,26.4,44.9,21.5,7.2,197,271,78,34,34.0,46.8,13.5,5.8,138,185,197,60,23.8,31.9,33.9,10.3
060302,Cajamarca,Celendin,Chumuch,100.0,81.5,65,14,3,0,79.6,17.0,3.4,.0,57,23,1,0,69.8,28.6,1.6,.0,37,27,6,11,46.0,32.7,7.9,13.5
060303,Cajamarca,Celendin,Cortegana,100.0,97.4,134,48,7,0,70.9,25.4,3.7,.0,134,49,4,2,70.9,25.9,2.1,1.1,108,57,22,2,57.1,30.2,11.6,1.1
060304,Cajamarca,Celendin,Huasmin,100.0,97.3,151,66,6,2,67.3,29.1,2.7,.9,146,70,8,1,64.9,31.0,3.6,.4,125,73,27,0,55.7,32.3,12.0,.0
060306,Cajamarca,Celendin,Jose Galvez,100.0,100.0,12,18,13,2,26.4,39.9,28.7,4.9,21,13,11,1,44.7,28.5,24.4,2.5,8,20,13,4,17.4,44.3,29.0,9.3
060307,Cajamarca,Celendin,Miguel Iglesias,100.0,81.3,81,15,0,0,84.1,15.9,.0,.0,74,20,2,0,76.7,21.0,2.3,.0,60,34,2,0,62.8,35.0,2.2,.0
060308,Cajamarca,Celendin,Oxamarca,100.0,92.6,81,29,10,2,66.1,23.9,8.4,1.6,84,34,2,2,68.7,28.0,1.6,1.6,67,35,15,5,54.6,28.6,12.6,4.2
060309,Cajamarca,Celendin,Sorochuco,100.0,88.0,105,65,10,2,57.5,35.6,5.7,1.2,121,53,9,1,65.9,28.7,4.8,.6,91,63,29,1,49.4,34.3,15.6,.6
060310,Cajamarca,Celendin,Sucre,100.0,95.7,45,34,11,3,48.6,36.4,11.8,3.2,39,40,9,5,42.1,42.7,9.8,5.4,30,33,24,6,32.7,35.1,25.5,6.7
060311,Cajamarca,Celendin,Utco,100.0,100.0,7,10,4,0,33.3,47.6,19.0,.0,10,11,0,0,47.6,52.4,.0,.0,3,10,7,1,14.3,47.6,33.3,4.8
060312,Cajamarca,Celendin,La Libertad de Pallan,100.0,96.1,93,55,7,0,59.8,35.5,4.7,.0,65,73,12,5,42.1,47.1,7.5,3.3,62,46,44,3,40.2,29.6,28.2,2.0
060401,Cajamarca,Chota,Chota,100.0,98.5,218,451,220,77,22.6,46.7,22.8,8.0,263,425,176,101,27.3,44.0,18.3,10.5,186,307,340,132,19.3,31.8,35.2,13.7
060402,Cajamarca,Chota,Anguia,100.0,93.9,56,40,2,0,56.9,40.8,2.2,.0,61,32,2,2,62.4,33.1,2.2,2.2,42,36,21,0,42.7,36.3,21.0,.0
