"Resultados a nivel de distrito, de la Evaluación Censal de Estudiantes 2016 - Segundo grado de secundaria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Comprensión Lectora,,,,,,,,Matemática,,,,,,,,HGE,,,,,,,
CODGEO,REGION,PROVINCIA,DISTRITO,Cobertura ie,Cobertura estudiantes,N° Estud. Previo al inicio,N° Estud.      En inicio,N° Estud. En proceso,N° Estud. Satisfactorio,% Previo al inicio,% En inicio,% En proceso,% Satisfactorio,N° Estud. Previo al inicio,N° Estud.      En inicio,N° Estud. En proceso,N° Estud. Satisfactorio,% Previo al inicio,% En inicio,% En proceso,% Satisfactorio,N° Estud. Previo al inicio,N° Estud.      En inicio,N° Estud. En proceso,N° Estud. Satisfactorio,% Previo al inicio,% En inicio,% En proceso,% Satisfactorio
010401,Amazonas,Condorcanqui,Nieva,100.0,88.7,440,90,22,7,78.7,16.1,3.9,1.3,491,57,6,5,87.8,10.2,1.1,.9,407,102,45,5,72.7,18.2,8.1,1.0
010402,Amazonas,Condorcanqui,El Cenepa,100.0,81.9,407,13,1,0,96.7,3.1,.3,.0,419,2,0,0,99.5,.5,.0,.0,375,46,0,0,89.2,10.8,.0,.0
010403,Amazonas,Condorcanqui,Rio Santiago,100.0,92.0,400,47,3,0,88.8,10.5,.7,.0,437,12,1,0,97.2,2.6,.2,.0,376,59,15,0,83.5,13.0,3.4,.0
010501,Amazonas,Luya,Lamud,100.0,98.6,7,33,22,9,9.9,46.5,31.0,12.7,6,34,12,19,8.5,47.9,16.9,26.8,7,21,31,13,10.1,29.0,43.5,17.4
010502,Amazonas,Luya,Camporredondo,100.0,97.1,24,79,32,5,17.0,56.5,22.8,3.7,50,68,19,4,35.4,48.3,13.4,2.9,43,48,46,4,30.5,34.0,32.7,2.9
010503,Amazonas,Luya,Cocabamba,100.0,89.1,11,29,4,1,24.9,63.6,8.7,2.8,9,23,9,5,19.6,49.4,20.1,10.9,10,11,21,4,22.0,24.1,45.2,8.7
010504,Amazonas,Luya,Colcamar,100.0,93.3,3,13,10,4,10.7,42.9,32.1,14.3,3,18,8,1,10.7,60.7,25.0,3.6,2,6,18,3,7.1,21.4,60.7,10.7
010505,Amazonas,Luya,Conila,100.0,100.0,8,17,6,1,25.0,53.1,18.8,3.1,11,15,1,5,34.4,46.9,3.1,15.6,8,10,10,3,25.8,32.3,32.3,9.7
010506,Amazonas,Luya,Inguilpata,100.0,100.0,0,7,2,1,.0,66.7,22.2,11.1,3,7,0,0,33.3,66.7,.0,.0,2,3,4,0,22.2,33.3,44.4,.0
010507,Amazonas,Luya,Longuita,100.0,93.3,3,9,1,2,21.4,57.1,7.1,14.3,4,4,5,1,28.6,28.6,35.7,7.1,3,5,6,0,21.4,35.7,42.9,.0
010508,Amazonas,Luya,Lonya Chico,100.0,100.0,2,4,3,0,22.2,44.4,33.3,.0,2,2,3,2,22.2,22.2,33.3,22.2,1,5,3,0,11.1,55.6,33.3,.0
010509,Amazonas,Luya,Luya,100.0,97.8,14,34,26,17,15.6,36.9,28.7,18.7,26,36,15,15,27.9,39.0,16.6,16.6,10,28,36,18,11.1,30.3,38.7,19.8
010511,Amazonas,Luya,Maria,100.0,100.0,4,9,6,2,19.0,42.9,28.6,9.5,8,10,3,0,38.1,47.6,14.3,.0,3,5,9,4,14.3,23.8,42.9,19.0
010512,Amazonas,Luya,Ocalli,100.0,100.0,4,30,15,7,7.1,53.6,26.8,12.5,9,29,12,6,16.1,51.8,21.4,10.7,6,15,25,9,10.8,27.4,45.5,16.2
010513,Amazonas,Luya,Ocumal,100.0,100.0,18,58,23,8,17.0,53.9,21.6,7.5,31,47,21,7,29.3,44.3,19.8,6.6,18,37,39,13,16.8,34.6,36.4,12.1
010514,Amazonas,Luya,Pisuquia,100.0,89.0,31,62,18,8,26.2,52.2,15.0,6.6,36,53,21,8,30.8,44.9,17.8,6.5,31,43,33,10,26.6,36.6,28.1,8.7
010515,Amazonas,Luya,Providencia,100.0,100.0,12,12,10,0,35.3,35.3,29.4,.0,7,19,4,4,20.6,55.9,11.8,11.8,11,7,12,4,32.4,20.6,35.3,11.8
010516,Amazonas,Luya,San Cristobal,100.0,100.0,3,9,0,0,25.0,75.0,.0,.0,5,5,2,0,41.7,41.7,16.7,.0,2,2,7,1,18.2,18.2,54.5,9.1
010517,Amazonas,Luya,San Francisco Del Yeso,100.0,100.0,1,3,1,0,20.0,60.0,20.0,.0,4,1,0,0,80.0,20.0,.0,.0,0,2,3,0,.0,40.0,60.0,.0
010519,Amazonas,Luya,San Juan de Lopecancha,100.0,100.0,7,7,0,0,50.0,50.0,.0,.0,6,7,1,0,42.9,50.0,7.1,.0,7,5,2,0,50.0,35.7,14.3,.0
010520,Amazonas,Luya,Santa Catalina,100.0,93.8,11,19,2,0,34.4,59.4,6.3,.0,20,11,1,0,63.8,33.1,3.1,.0,9,12,9,2,27.5,38.8,27.5,6.3
010521,Amazonas,Luya,Santo Tomas,100.0,97.7,3,22,15,4,7.1,49.2,34.5,9.2,10,19,5,9,23.6,44.2,11.6,20.6,7,11,21,4,16.4,25.8,48.7,9.1
010522,Amazonas,Luya,Tingo,100.0,100.0,2,8,7,2,10.5,42.1,36.8,10.5,1,8,7,3,5.3,42.1,36.8,15.8,1,2,10,6,5.3,10.5,52.6,31.6
010523,Amazonas,Luya,Trita,100.0,96.2,7,11,7,2,25.0,41.7,25.0,8.3,8,12,3,3,29.2,45.8,12.5,12.5,3,9,12,2,12.5,33.3,45.8,8.3
010601,Amazonas,Rodriguez de Mendoza,San Nicolas,100.0,99.3,10,46,47,37,7.2,32.9,33.6,26.4,15,56,38,31,10.7,40.0,27.1,22.2,11,22,63,45,7.9,15.3,44.9,31.8
010602,Amazonas,Rodriguez de Mendoza,Chirimoto,100.0,100.0,5,12,11,2,16.7,40.0,36.7,6.7,5,15,7,3,16.7,50.0,23.3,10.0,4,12,11,3,13.3,40.0,36.7,10.0
010603,Amazonas,Rodriguez de Mendoza,Cochamal,100.0,100.0,3,13,5,1,13.6,59.1,22.7,4.5,4,13,2,3,18.2,59.1,9.1,13.6,2,9,9,2,9.1,40.9,40.9,9.1
010604,Amazonas,Rodriguez de Mendoza,Huambo,100.0,100.0,0,10,17,5,.0,32.3,51.6,16.1,6,13,9,3,19.4,41.9,29.0,9.7,0,6,18,8,.0,19.4,54.8,25.8
010605,Amazonas,Rodriguez de Mendoza,Limabamba,100.0,100.0,0,3,9,13,.0,12.0,36.0,52.0,1,8,7,9,4.0,32.0,28.0,36.0,2,0,12,11,8.0,.0,48.0,44.0
010606,Amazonas,Rodriguez de Mendoza,Longar,100.0,90.9,0,6,13,3,.0,25.0,60.0,15.0,0,3,8,11,.0,15.0,35.0,50.0,0,2,11,9,.0,10.0,50.0,40.0
010607,Amazonas,Rodriguez de Mendoza,Mariscal Benavides,100.0,96.0,1,7,11,5,4.2,29.2,45.8,20.8,1,6,8,9,4.2,25.0,33.3,37.5,1,7,10,6,4.2,29.2,41.7,25.0
