,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Gender,Age,Personal_Income,Financial_Situation,Bill_Payments,Education,Credit_Debt,Additional_Income_Private_Investment,Additional_Income_Property,Additional_Income_Business_Ownership,Additional_Income_Retirement_Plan,Loss_Awareness,Loss_Intuition,Country,Duration_in_seconds,Language,Sample,Duration_Minutes,YoB,Awareness_of_Loss_Aversion,Financial_Stress,Presentation_Order
20,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Female,31,37000.0,Has not changed,I paid everything but saved nothing,University Undergraduate,I never purchase anything on credit or take on debt,0,0,0,0,1,,Bulgaria,426,Bulgarian,Direct,7.1,1988,1,,14|16|4|12|6|18|7|11|13|2|5|9|17|3|1|15|8|10
21,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,Female,42,20.0,Has not changed,I paid everything but saved nothing,University Masters,I never purchase anything on credit or take on debt,0,1,0,0,1,,Bulgaria,472,Bulgarian,Direct,7.866666666666666,1977,1,,2|12|10|17|15|18|1|11|4|13|9|16|14|7|3|6|5|8
22,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,Male,22,1700.0,Became a little better,"I paid everything, saved some, and paid down other debts",Secondary school,I pay off any balances every month,0,0,0,0,1,,Bulgaria,593,Bulgarian,Direct,9.883333333333333,1997,1,,11|1|7|5|14|18|10|2|17|4|8|9|3|6|16|15|13|12
23,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,Female,40,5000.0,Became much worse,I could not pay all my bills last month,Vocational school,I generally pay off the interest but not the balance,0,0,0,0,1,,Bulgaria,635,Bulgarian,Direct,10.583333333333334,1979,1,,10|16|2|3|4|18|17|6|13|12|8|1|7|9|11|5|14|15
24,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,Male,52,10000.0,Became a little worse,I could not pay all my bills last month,University Undergraduate,I make the minimum payment and the interest is charged,0,1,0,0,0,1.0,Bulgaria,780,Bulgarian,Direct,13.0,1967,3,,13|1|17|2|3|18|15|8|12|10|16|4|7|5|9|14|6|11
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,29,18000.0,Became a little better,I paid everything but saved nothing,University Masters,I never purchase anything on credit or take on debt,0,0,0,0,0,,Bulgaria,4508,Bulgarian,Direct,75.13333333333334,1990,2,,12|7|11|3|15|18|4|10|8|14|1|16|9|13|17|2|5|6
26,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Male,60,20000.0,Became a little better,"Everything is paid off and I have enough to save, invest, or spend freely",University MBA,I never purchase anything on credit or take on debt,0,0,1,0,1,,Bulgaria,1945,Bulgarian,Direct,32.416666666666664,1959,1,,15|17|14|7|6|18|10|3|8|13|9|2|5|4|1|16|11|12
27,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,Female,20,0.0,Became a little better,I paid everything but saved nothing,Secondary school,I never purchase anything on credit or take on debt,0,0,0,0,1,,Bulgaria,351,Bulgarian,Direct,5.85,1999,1,,8|12|17|5|14|18|6|7|1|13|16|9|11|2|15|3|4|10
28,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,Male,39,20000.0,Has not changed,I paid everything and saved some,University Undergraduate,I pay off any balances every month,0,0,0,0,0,1.0,Bulgaria,935,Bulgarian,Direct,15.583333333333334,1980,3,,12|8|10|17|4|18|16|2|15|14|13|6|5|7|3|9|1|11
29,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Female,23,30000.0,Became much worse,I could not pay all my bills last month,University Undergraduate,I never purchase anything on credit or take on debt,0,0,0,0,1,,Bulgaria,202,Bulgarian,Direct,3.3666666666666667,1996,1,,5|12|17|4|10|18|16|1|11|8|6|14|13|2|3|7|15|9
30,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Female,23,4000.0,Became a little better,I had to take on some debt to pay them,Secondary school,I never purchase anything on credit or take on debt,0,0,0,0,1,,Bulgaria,391,Bulgarian,Direct,6.516666666666667,1996,1,,2|3|7|4|8|18|5|9|17|13|6|12|11|14|15|16|1|10
31,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,Male,28,1500.0,Became a little better,I paid everything but saved nothing,University Masters,I never purchase anything on credit or take on debt,0,0,0,0,0,1.0,Bulgaria,565,Bulgarian,Direct,9.416666666666666,1991,3,,2|5|8|13|14|18|6|12|17|4|10|16|3|7|15|11|1|9
32,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Male,33,28000.0,Became much better,"Everything is paid off and I have enough to save, invest, or spend freely",University Masters,I never purchase anything on credit or take on debt,0,0,0,0,0,1.0,Bulgaria,694,Bulgarian,Direct,11.566666666666666,1986,3,,5|14|15|4|6|18|2|7|13|9|12|1|11|10|8|3|17|16
33,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,Male,29,22000.0,Became a little better,"Everything is paid off and I have enough to save, invest, or spend freely",University Masters,I never purchase anything on credit or take on debt,0,0,0,0,0,1.0,Bulgaria,632,Bulgarian,Direct,10.533333333333333,1990,3,,11|6|14|4|16|18|5|2|3|9|13|8|1|7|17|10|15|12
34,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,Other,27,18000.0,Has not changed,"Everything is paid off and I have enough to save, invest, or spend freely",University Masters,I pay off any balances every month,0,0,0,0,0,1.0,Bulgaria,761,Bulgarian,Direct,12.683333333333334,1992,3,,8|15|12|5|2|18|11|4|17|7|1|16|6|9|14|10|13|3
35,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,Female,30,20000.0,Became a little better,I paid everything but saved nothing,University MBA,I pay off much of the balance,0,0,0,0,1,,Bulgaria,651,Bulgarian,Direct,10.85,1989,1,,3|2|14|9|15|18|17|1|13|12|16|5|10|8|11|6|7|4
36,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,Male,37,18000.0,Became much better,I paid everything but saved nothing,University Masters,I pay off any balances every month,0,0,0,0,0,0.0,Bulgaria,1443,Bulgarian,Direct,24.05,1982,4,,9|14|1|2|15|18|16|8|4|17|6|10|12|11|3|13|5|7
37,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,Female,24,0.0,Has not changed,I paid everything but saved nothing,University Undergraduate,I never purchase anything on credit or take on debt,0,0,0,0,1,,Bulgaria,449,Bulgarian,Direct,7.483333333333333,1995,1,,11|14|15|7|4|18|9|8|5|12|13|10|1|2|3|17|16|6
38,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,Male,57,10000.0,Became a little better,I paid everything and saved some,Vocational school,I never purchase anything on credit or take on debt,0,1,0,0,0,1.0,Bulgaria,743,Bulgarian,Direct,12.383333333333333,1962,3,,12|4|5|15|17|18|11|1|2|14|13|3|8|10|6|9|7|16
39,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,Male,27,20000.0,Became a little worse,I paid everything but saved nothing,University Masters,I pay off any balances every month,0,0,0,0,1,,Bulgaria,439,Bulgarian,Direct,7.316666666666666,1992,1,,14|13|5|15|9|18|2|17|3|16|4|8|11|1|10|12|6|7
40,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,Male,32,24000.0,Became much better,"Everything is paid off and I have enough to save, invest, or spend freely",University Masters,I never purchase anything on credit or take on debt,0,0,0,0,0,1.0,Bulgaria,555,Bulgarian,Direct,9.25,1987,3,,8|14|7|6|11|18|4|12|3|15|13|5|9|17|1|2|10|16
41,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,Female,32,2500.0,Has not changed,"I paid everything, saved some, and paid down other debts",University Masters,I pay off any balances every month,0,0,0,0,0,1.0,Bulgaria,2373,Bulgarian,Direct,39.55,1987,3,,12|10|17|9|6|18|11|13|5|16|14|3|2|7|1|15|4|8
42,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,Female,40,33000.0,Has not changed,"Everything is paid off and I have enough to save, invest, or spend freely",University Masters,I pay off any balances every month,0,0,0,0,1,,Bulgaria,1072,Bulgarian,Direct,17.866666666666667,1979,1,,5|1|16|3|12|18|7|11|8|17|14|15|4|13|6|2|10|9
43,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,Male,26,6000.0,Became a little better,I paid everything and saved some,University Undergraduate,I make the minimum payment and the interest is charged,0,0,0,0,0,1.0,Bulgaria,439,Bulgarian,Direct,7.316666666666666,1993,3,,14|6|7|9|12|18|10|13|16|15|11|3|17|8|2|1|5|4
44,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,Female,67,30000.0,Became a little worse,I paid everything but saved nothing,University Masters,I never purchase anything on credit or take on debt,0,1,0,0,1,,Bulgaria,727,Bulgarian,Direct,12.116666666666667,1952,1,,12|17|9|7|11|18|6|1|2|3|5|14|4|10|16|13|8|15
45,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Male,26,0.0,Became a little better,"Everything is paid off and I have enough to save, invest, or spend freely",University Masters,I never purchase anything on credit or take on debt,0,0,0,0,0,0.0,Bulgaria,310,Bulgarian,Direct,5.166666666666667,1993,4,,4|7|12|3|10|18|2|5|14|8|11|16|9|6|1|15|17|13
46,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,Male,37,200000.0,Became a little better,"Everything is paid off and I have enough to save, invest, or spend freely",University Masters,I never purchase anything on credit or take on debt,1,0,0,0,0,,Bulgaria,447,Bulgarian,Direct,7.45,1982,2,,3|13|14|17|2|18|10|8|12|15|6|9|16|5|7|4|1|11
47,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,Female,38,14000.0,Has not changed,I paid everything but saved nothing,University Masters,I pay off any balances every month,0,0,0,0,1,,Bulgaria,685,Bulgarian,Direct,11.416666666666666,1981,1,,3|5|8|7|16|18|17|9|4|6|2|10|13|15|11|14|12|1
48,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,Male,29,15000.0,Has not changed,I paid everything but saved nothing,University MBA,I never purchase anything on credit or take on debt,0,0,0,0,1,,Bulgaria,628,Bulgarian,Direct,10.466666666666667,1990,1,,1|12|10|4|8|18|9|13|2|17|14|11|16|6|3|7|15|5
49,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,Female,46,10000.0,Became a little better,I paid everything and saved some,University Masters,I never purchase anything on credit or take on debt,0,0,0,0,0,1.0,Bulgaria,1020,Bulgarian,Direct,17.0,1973,3,,8|4|12|11|2|18|10|1|6|17|13|14|15|16|7|5|3|9
50,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,Male,54,28000.0,Became a little better,I paid everything and saved some,University Undergraduate,I never purchase anything on credit or take on debt,0,0,0,0,1,,Bulgaria,1372,Bulgarian,Direct,22.866666666666667,1965,1,,4|17|9|13|1|18|11|14|6|12|8|10|15|16|3|7|5|2
51,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,Female,36,14400.0,Became a little better,I paid everything but saved nothing,University Masters,I pay off any balances every month,0,0,0,0,1,,Bulgaria,1665,Bulgarian,Direct,27.75,1983,1,,5|7|17|10|9|18|15|1|16|13|4|2|3|6|11|14|8|12
52,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,Female,26,10000.0,Has not changed,I paid everything but saved nothing,University Masters,I make the minimum payment and the interest is charged,0,0,0,0,1,,Bulgaria,314,Bulgarian,Direct,5.233333333333333,1993,1,,13|14|11|10|4|18|5|1|16|3|7|12|2|8|6|9|17|15
53,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Female,24,10000.0,Has not changed,I paid everything but saved nothing,University Masters,I never purchase anything on credit or take on debt,0,0,0,0,1,,Bulgaria,404,Bulgarian,Direct,6.733333333333333,1995,1,,13|4|7|2|17|18|6|8|15|14|11|1|9|3|10|12|16|5
54,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,Female,30,19000.0,Became a little better,I paid everything and saved some,University Masters,I never purchase anything on credit or take on debt,1,0,0,0,1,,Bulgaria,379,Bulgarian,Direct,6.316666666666666,1989,1,,15|1|14|6|11|18|2|10|17|9|13|12|16|8|4|5|7|3
55,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,Female,35,12000.0,Became a little worse,I paid everything but saved nothing,University Undergraduate,I pay off any balances every month,0,0,0,0,0,1.0,Bulgaria,252,Bulgarian,Direct,4.2,1984,3,,6|7|16|5|11|18|2|17|9|14|15|12|10|1|13|8|3|4
56,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,Male,26,25000.0,Became a little worse,I paid everything but saved nothing,University Undergraduate,My debts increase beyond what I earn in a given month,0,0,0,0,0,1.0,Bulgaria,451,Bulgarian,Direct,7.516666666666667,1993,3,,3|7|15|4|14|18|6|17|2|12|9|5|13|8|10|1|11|16
57,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,Male,32,40000.0,Has not changed,"Everything is paid off and I have enough to save, invest, or spend freely",University Masters,I never purchase anything on credit or take on debt,0,0,1,0,0,1.0,Bulgaria,527,Bulgarian,Direct,8.783333333333333,1987,3,,15|2|1|16|17|18|9|6|12|14|3|13|7|5|11|10|4|8
58,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,Male,52,14000.0,Has not changed,I had to take on a lot of debt to pay bills last month,University Masters,I generally pay off the interest but not the balance,0,0,0,0,1,,Bulgaria,942,Bulgarian,Direct,15.7,1967,1,,17|14|1|15|4|18|5|3|6|10|13|12|16|8|2|11|7|9
59,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,20,0.0,Has not changed,I paid everything but saved nothing,Secondary school,I make the minimum payment and the interest is charged,0,0,0,0,0,1.0,Bulgaria,489,Bulgarian,Direct,8.15,1999,3,,16|4|11|5|17|18|12|15|9|13|2|6|3|10|14|8|7|1
60,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,Female,20,0.0,Has not changed,I had to take on some debt to pay them,Secondary school,I never purchase anything on credit or take on debt,0,0,0,0,1,,Bulgaria,394,Bulgarian,Direct,6.566666666666666,1999,1,,8|5|2|10|13|18|15|6|3|14|9|16|12|7|1|11|17|4
61,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Female,23,3200.0,Became a little better,I paid everything but saved nothing,University Undergraduate,I never purchase anything on credit or take on debt,0,0,0,0,1,,Bulgaria,568,Bulgarian,Direct,9.466666666666667,1996,1,,4|14|8|5|15|18|6|17|13|9|11|7|16|2|3|10|1|12
62,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,Female,39,18000.0,Has not changed,I paid everything and saved some,University Masters,I never purchase anything on credit or take on debt,0,1,0,0,1,,Bulgaria,663,Bulgarian,Direct,11.05,1980,1,,3|10|4|13|5|18|6|1|7|15|14|2|12|11|9|8|16|17
63,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,Male,37,36000.0,Has not changed,I paid everything but saved nothing,University Masters,I never purchase anything on credit or take on debt,0,0,0,0,0,1.0,Bulgaria,503,Bulgarian,Direct,8.383333333333333,1982,3,,8|3|7|1|14|18|2|11|13|5|15|16|4|10|6|12|17|9
64,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Female,43,11000.0,Has not changed,I paid everything but saved nothing,University Masters,I never purchase anything on credit or take on debt,0,1,0,0,0,0.0,Bulgaria,701,Bulgarian,Direct,11.683333333333334,1976,4,,17|15|5|4|2|18|16|14|12|3|13|7|10|8|11|6|9|1
65,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,Male,23,8000.0,Became a little worse,I paid everything but saved nothing,Secondary school,I pay off any balances every month,0,0,0,0,1,,Bulgaria,488,Bulgarian,Direct,8.133333333333333,1996,1,,12|3|13|15|11|18|8|2|5|17|10|6|14|9|7|1|4|16
66,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,Female,18,500.0,Became a little worse,I paid everything but saved nothing,Secondary school,I never purchase anything on credit or take on debt,0,0,0,0,1,,Bulgaria,476,Bulgarian,Direct,7.933333333333334,2001,1,,4|17|5|14|2|18|10|6|8|9|1|15|3|11|7|12|16|13
